################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-03-21 - 2021-0321 AM- Associate Pastor Carlos E. Torres - El Sistema de la Simiente #2 - Carlos Torres.txt
Video ID: SU15q94G5JA
Segments: 1779
URL: https://www.youtube.com/watch?v=SU15q94G5JA
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:11] [Música]
[1:00] y
[1:07] ah
[1:15] ah
[1:22] ah
[1:25] ay
[1:36] ah
[1:45] [Música]
[1:50] y
[1:54] ah
[1:56] [Música]
[2:04] ah
[2:10] y
[2:17] ah
[2:19] [Música]
[2:23] y
[2:27] y
[2:31] y
[2:37] [Música]
[3:06] ah
[3:08] ah
[3:19] i
[3:29] i
[3:33] [Música]
[3:59] ah
[4:01] [Música]
[4:16] y
[4:22] [Música]
[4:27] ah
[4:29] ah
[4:33] y
[4:35] [Música]
[5:03] ah
[5:07] a
[5:29] ah
[5:35] no
[5:44] a
[6:01] ah
[6:04] ah
[6:10] ah
[6:18] mal
[6:21] [Música]
[6:33] ah
[6:36] [Música]
[6:40] ah
[6:46] [Música]
[6:58] ah
[7:01] [Música]
[7:03] i
[7:05] bien
[7:07] [Música]
[7:16] ah
[7:19] más
[7:26] ah
[7:29] i
[7:37] ah
[7:43] a
[7:45] ah
[7:50] ah
[7:52] ah
[7:54] [Música]
[7:59] hoy
[8:02] [Música]
[8:10] y
[8:12] [Música]
[8:22] ah
[8:24] [Música]
[8:28] ah
[8:30] ah
[8:35] ah
[8:38] ah
[8:44] ah
[8:46] ah
[8:47] [Música]
[8:56] ah
[8:59] i
[9:02] [Música]
[9:08] e
[9:11] [Música]
[9:39] ah
[9:42] ah
[9:45] ah
[9:48] [Música]
[10:01] ah
[10:06] ah
[10:07] [Música]
[10:20] ah
[10:26] ah
[10:27] [Música]
[10:32] i
[10:35] [Música]
[10:44] ah
[10:48] ah
[10:50] a
[10:53] [Música]
[10:57] y
[10:58] [Música]
[11:19] más
[11:22] ah
[11:27] [Música]
[11:45] ah
[11:47] [Música]
[12:07] ah
[12:08] ah
[12:12] ah
[12:16] [Música]
[12:20] a
[12:23] ah
[12:29] [Música]
[12:32] ah
[12:36] ah
[12:42] [Música]
[12:52] ah
[12:54] [Música]
[13:04] ah
[13:05] [Música]
[13:17] a
[13:22] ah
[13:24] [Música]
[13:43] y
[13:52] ah
[13:55] [Música]
[14:03] ah
[14:07] [Música]
[14:10] ah
[14:13] ah
[14:16] [Música]
[14:27] ah
[14:29] ah
[14:34] [Música]
[15:13] puede no estar en la casa del señor
[15:15] honores más es que vamos a quedar de pie
[15:18] vamos a estar orando a dios
[15:22] [Música]
[15:25] amado padre celestial gracias señor lo
[15:32] maravilloso que es que su misericordia
[15:36] señor si neymar silva tiene límites para
[15:39] el asno lemes las gracias por todo lo
[15:41] que es con nosotros
[15:43] tuvo una mejor ahora le queremos ver en
[15:44] esta mañana gobernamos con a estos
[15:46] jóvenes con los de nuestros corazones
[15:47] you know arts nuestras fallas nuestras
[15:50] debilidades señor suar witnesses logre a
[15:52] veces lo que queremos hacer en sánchez
[15:54] we want to be lovers sabemos señor mira
[15:56] un dvd lo que no queremos hacer lo
[15:59] haremos padre le pedimos que nos
[16:01] perdonen esta mañana va a seguir activas
[16:03] de smolny él nos miren con esos ojos de
[16:05] misericordia si disfrutas a starsailor
[16:07] ni queremos sentirnos libres en esta
[16:09] mañana o fredes morning donde pedimos
[16:11] que nos ayude en este servicio
[16:15] [Música]
[16:17] el total control de todas las cosas me
[16:19] hice con clic en sólo voz y al final
[16:21] toda la gloria
[16:23] difícil donde el señor jesucristo
[16:26] si estáis también en
[16:30] y la antigua historia hoy la antigua
[16:35] historia como un salvador de gloria
[16:39] sovena en el calvario o redimir me ames
[16:45] hoy después
[16:50] ahora
[16:51] [Música]
[16:53] no muestran el triunfo al cáncer
[16:59] victoria en cristo el salvador por si él
[17:06] me buscó y me salvó con precio sin igual
[17:12] mi amor sin conocerte con todo quiero
[17:16] amarte mejor o no de triunfo bajo su
[17:22] relación e más
[17:25] fue como esa nave con su poder limpiaban
[17:31] con al poco andar también y al ciego dar
[17:36] la luz
[17:38] dejé mi vida
[17:42] mi alma heridas
[17:44] todo allí voy a quedarme en vitoria
[17:51] la historia de cristo de salvador por
[17:57] sigo él me buscó y meshal compras yo sin
[18:02] igual
[18:04] me up o sin conocerte con todo quiero
[18:09] amar les mejor o no debió con bajo sus
[18:14] redes m
[18:20] d
[18:22] por eso estoy en las calles de oro son y
[18:27] el mar es de cristal hay ángeles
[18:32] cantando y santos alabando con día y yo
[18:38] cantaré el cántico otro para victoria su
[18:44] victoria en crespo de salvador por
[18:49] siglos el me gustó y me salvó con precio
[18:54] sin igual
[18:56] me amo sin conocerme con todo quiero
[19:01] amarte me coronó de triunfo bajo
[19:06] victoria
[19:08] [Música]
[19:10] victoria en cristo salvador por siglos
[19:16] me buscó y me salvó con precios sin
[19:21] igual me amó sin conocerte con sólo
[19:26] quiero amarle mejor o no de dios
[19:31] bajo su redención víctor es un hecho es
[19:38] para sí mismas
[19:44] es más
[19:49] 26 que debe de poder
[19:58] [Música]
[20:03] es más les damos la bienvenida consiguen
[20:05] muy bohemio vamos a pasar a leerlos las
[20:08] peticiones
[20:10] y
[20:11] los siguientes son agradecimientos por
[20:13] cumpleaños
[20:14] [Música]
[20:16] rosalba guzmán da gracias a dios
[20:19] vengo de sus hijos
[20:23] roberto alba y celeste
[20:30] roberto bernal da alba y se les familia
[20:34] cuadro de la gracia a dios por los
[20:35] cumpleaños de magín juárez luz suárez y
[20:38] josé cervantes
[20:40] [Música]
[20:43] josé cervantes gracia
[20:46] [Música]
[20:50] en túnez
[20:55] decisiones son agradecimientos al señor
[20:57] [Música]
[20:59] los siguientes hermanos de sangre por
[21:02] todas sus bendiciones baldwin werder en
[21:04] orden y dolores robert leasings mano
[21:06] francisco moreno hermana rosalba guzmán
[21:08] familias reyes hermanos mini leticia
[21:11] lópez familia pérez emilia juárez y el
[21:14] hermano sergio en turno
[21:17] con las siguientes peticiones son por
[21:19] sanidad
[21:22] por lisa y sus nietos
[21:27] familia pérez pido oración por sanidad
[21:29] para su hija andrea pérez
[21:35] andrea pérez los siguientes son
[21:37] peticiones muy señor conoce es por mi
[21:39] hermano francisco moreno cuando de
[21:42] francisco moreno y la hermana rosa la
[21:44] última vez éste rosalba guzmán
[21:47] los últimos son por hora
[21:49] hermano francisco moreno pide de las
[21:52] restauraciones por sus familias
[21:56] y les pide por ese récord ya hacia la
[22:00] familia registrando yasky es asco
[22:03] enfermeros y waterfill y hermanos
[22:05] joaquín y letizia no despiden de
[22:07] nuestras oraciones por su familia en
[22:09] roles joaquín en leticia lópez a los
[22:11] compradores por el cambio y por último
[22:13] yo quisiera pedir oración por mi familia
[22:14] hilton teclas que todos le digan su
[22:17] caminar cristiano
[22:21] [Música]
[22:24] escritas
[22:25] [Música]
[22:36] al creador de los cielos y la tierra
[22:41] venimos con un corazón lleno de
[22:43] agradecimiento que muchos futbolistas
[22:45] escriben porque hemos podido levantarnos
[22:47] en esta mañana los pretendientes morning
[22:50] no solamente con nuestra salud señor tan
[22:52] solitario al fútbol pero como
[22:56] sabiendo que usted tiene control de
[22:58] todas las cosas
[23:01] empezamos en esta mañana que llamamos el
[23:04] castillo de huila vio señor pedimos que
[23:07] perdone todas nuestras fallas de borde y
[23:10] fue quien colaboró las nuestras
[23:11] iniquidades o labor ni con el señor las
[23:14] ponemos
[23:16] sangre rojas colisionando y enfrentó el
[23:19] árbol que nos cubra de covers y nos la
[23:22] visita de clientes ajenos santifique
[23:25] para decente países lo ahora señor
[23:27] ponemos en tus manos en hablar inglés
[23:29] jordan cada petición señora hebe
[23:32] petición escrita debemos rendir cada
[23:34] petición de por aquí a mano que guardado
[23:36] y petición de noble termina creyéndosela
[23:39] living ahora que usted va a ser todo lo
[23:42] que usted necesita que hacerse en 2000
[23:45] ahora sea la sanidad de mi hermano me be
[23:47] the healing my pro salida de mi hermana
[23:49] es legítimo maestro la liberación de
[23:52] aquel que la necesitas
[23:53] fring webber es vivirlo porque usted
[23:56] tiene control de todas las cosas en
[23:58] ruido
[23:59] gracias padre dentro declaramos sr
[24:04] a partir de nuestra liberación
[24:07] gracias padre por amarnos empujado por
[24:10] lo ponemos señor todos
