################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-05-23 - 2021-0523 AM- Pastor Dr. Ernest R. Montoya  The Whole Plan of Redemption #2 - Ernest Montoya.txt
Video ID: wP2ob2KzhjY
Segments: 1700
URL: https://www.youtube.com/watch?v=wP2ob2KzhjY
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:06] y
[0:07] ah
[0:09] ah
[0:11] ah
[0:13] vale
[0:20] ah
[0:24] a
[0:37] ah
[0:41] ah
[0:51] ah
[0:56] ah
[1:08] ah
[1:10] a
[1:12] ah
[1:18] i
[1:20] bien
[1:22] ah
[1:24] y
[1:28] ah
[1:31] ah
[1:38] ah
[1:45] ah
[1:46] [Música]
[1:56] más
[2:03] o
[2:05] e
[2:09] [Música]
[2:12] ah
[2:15] ah
[2:23] y
[2:34] [Música]
[2:45] ah
[2:53] i
[3:25] ah
[3:29] a
[3:45] y
[3:47] ah
[3:51] ah
[3:57] y
[3:58] ah
[4:01] ah
[4:13] ah
[4:26] ah
[4:28] i
[4:31] ah
[4:37] aquí
[4:40] ah
[4:43] [Aplausos]
[4:47] ah
[4:48] [Música]
[5:03] ah
[5:05] [Música]
[5:12] ah
[5:17] [Música]
[5:29] a
[5:34] ah
[5:41] [Música]
[5:44] ah
[5:45] [Música]
[5:52] ah
[5:54] ah
[5:56] [Música]
[5:59] ah
[6:03] i
[6:05] [Música]
[6:08] ah
[6:09] [Música]
[6:29] ah
[6:32] ah
[6:34] i
[6:37] ah
[6:44] a
[6:47] ah
[6:50] a él
[6:59] y
[7:01] ah
[7:11] ah
[7:13] [Música]
[7:38] a
[7:51] i
[7:57] y
[8:02] i
[8:12] ah
[8:31] i
[8:39] ah
[8:45] i
[8:51] e
[8:53] i
[8:54] ah
[9:05] ah
[9:08] [Música]
[9:19] ah
[9:25] ah
[9:33] i
[9:39] y
[9:44] ah
[9:46] [Música]
[9:55] ah
[10:01] ah
[10:06] ah
[10:11] i
[10:13] ah
[10:21] ah
[10:35] ah
[10:50] ah
[10:54] ah
[11:05] ah
[11:07] ah
[11:15] ah
[11:21] ah
[11:23] ah
[11:29] ah
[11:31] a
[11:33] i
[11:45] ah
[11:48] y tal
[11:52] i
[11:55] ah
[11:57] [Música]
[12:02] i
[12:05] ah
[12:08] ah
[12:10] ah
[12:12] ah
[12:20] ah
[12:22] ah
[12:26] [Música]
[12:39] ah
[12:43] [Música]
[12:45] ah
[12:46] [Música]
[12:49] ah
[12:52] 1
[12:53] ah
[12:56] [Música]
[13:05] ah
[13:09] a
[13:11] ah
[13:12] [Música]
[13:22] ah
[13:25] ah
[13:28] [Música]
[14:02] ah
[14:06] ah
[14:10] i
[14:12] ah
[14:16] [Música]
[14:31] a
[14:33] ah
[14:38] y
[14:40] o
[14:43] [Música]
[14:52] ah
[14:55] o
[14:59] ah
[15:07] y él
[15:12] yo lo bendiga incapaz yo saludamos una
[15:15] vez más a empresas a nombre de nuestro
[15:16] señor jesucristo
[15:17] hewitt según se quiere no precise de
[15:19] moverlo x sprays es bueno estar una vez
[15:21] más en este lugar
[15:25] de pie willis está interrogando el
[15:28] viprén está poniendo servicio a la
[15:30] demanda de los indios sabe sin agencia
[15:32] para elaborar sobraban el spray llamado
[15:35] y buen padre celestial la bienvenida
[15:37] creador de todas las cosas firewall
[15:40] things damos las gracias señor por we
[15:42] jin kim por lo bueno maravilloso que es
[15:44] con nosotros quiere un buen apoyo huesos
[15:46] como dijo su mensajero ayer messenger
[15:48] sedas algunos tenemos semanas buenas
[15:50] revisamos a pierre weeks otros estamos
[15:52] volando bajo con él pero lo que sí
[15:56] sabemos decir que es el momento
[16:04] queremos pedir por algo incorrecto
[16:15] [Música]
[16:17] por este servicio ya sabes que tome el
[16:21] total control de todas las cosas y te
[16:23] complican trolebús things y de nuestras
[16:25] mentes en ti que implican turnos valdés
[16:27] padre que nos bendiga desde el que abre
[16:30] hasta que cierra la puerta a mi plaza
[16:32] para después de dormir en este servicio
[16:38] podemos
[16:43] el agua que dispone
[16:46] más
[16:47] [Música]
[16:53] desmorone de paz
[16:57] [Música]
[16:59] se ve no mama
[17:05] hoy
[17:06] emma stone o años calor a 4
[17:16] en año
[17:19] de nada
[17:21] [Música]
[17:24] yendo a nada
[17:31] te vas
[17:35] no pierde más ni más
[17:40] ya veremos
[17:46] el deber
[17:49] lo mejor
[17:52] no no no
[17:55] agua
[17:58] guárdame
[18:01] con él
[18:07] con vuestros
[18:10] puede pisar
[18:13] de rojo
[18:23] no está de más
[18:28] [Música]
[18:30] y además
[18:36] i
[18:38] [Música]
[18:44] mejor
[18:47] mejor
[18:49] no no no
[18:51] [Música]
[18:53] no
[18:56] nada
[18:58] [Música]
[19:02] y nada más
[19:07] [Música]
[19:09] hoy
[19:11] [Aplausos]
[19:14] además de mal
[19:17] voy a poner
[19:23] [Aplausos]
[19:26] nos vemos
[19:32] no
[19:37] no hay color
[19:41] entonces por todo vuestro
[19:47] o de perdón
[19:49] [Música]
[19:54] 9 - mamá
[20:00] bueno
[20:02] además de paz
[20:05] [Música]
[20:07] hablar
[20:12] [Música]
[20:18] d
[20:21] [Música]
[20:24] no habla
[20:34] dios bendiga esta mañana hermanos habla
[20:36] si después de invertir o de tomar su
[20:37] lugar es por favor y cristie kerr seeds
[20:39] vamos a dar las peticiones a los
[20:42] agradecimientos binner 120 peticiones
[20:44] nada pero antes queremos mencionar un
[20:46] cumpleaños que tenemos de diputado de
[20:48] fútbol light sigue el proyecto de weinan
[20:51] dice así los dominadores de gracia el
[20:53] señor puede cumplir años de linde
[20:55] actuales
[20:55] [Música]
[20:58] colindres los bendiga a los mejores
[21:01] también con aveline de juárez no hables
[21:03] de juárez y amenazas esté poniendo
[21:05] juárez les deseamos lo mejor y que se le
[21:07] bendiga
[21:08] cargo a decir que si no sea la porción
[21:10] en su vida y dolor vigor por cien de los
[21:14] siguientes hermanos estando gracias a
[21:15] dios por sus bendiciones
[21:17] el werder en kevin james kevin la
[21:20] familia juárez mil reyes nuevos para
[21:23] pérez hermano bonifacio muñoz en nuestra
[21:26] mano es comer
[21:28] tenemos una petición secreta por parte
[21:30] de nuestra mano disco romero y hablamos
[21:32] poco después valverde francisco romero y
[21:35] tenemos
[21:37] peticiones población por los siguientes
[21:38] hermanos oliver drogas kieffer prayer
[21:41] humanos montoya en su mano rosadilla los
[21:45] hermanos un reinado xp nuestro manero hb
[21:47] vida no se van a maricela aparicio
[21:50] ha sido la familia reyes de oración por
[21:52] misericordias por su familia reyes terán
[21:55] y desinformar jefes de familia y también
[21:57] por vibraciones por toda la turbina
[21:59] moreno francisco romero se escribe
[22:01] fraude moreno family esto lo que tenemos
[22:04] aquí en otra hermanos isaui jardín vamos
[22:06] a dar lares pri maternales inclinar sus
[22:08] robos de cerrar sus ojos y su cante
[22:10] placebase incluso gran interés oramos
[22:12] usted tiene una petición en su corazón a
[22:14] un agradecimiento más grave
[22:16] james kevin frayer níjar esto puede
[22:19] indicar levantando su mano y me indique
[22:20] para el escenario gente vamos a poner
[22:22] todas las manos de nuevos en el south
[22:23] uist whiting in the hands all over this
[22:25] morning haremos la spring
[22:28] amoroso y buen padre celestial lobinger
[22:31] heavily father
[22:33] una vez más queremos darte las gracias
[22:34] music y emi latin kings en esta hermosa
[22:37] mañana que nos has conseguido despertar
[22:39] puedes ver formar new kerner asesoras
[22:41] 'troika' padre por todas tus bendiciones
[22:43] que nos has dado once equipo de
[22:45] playstation que penas por la vida y la
[22:47] salud por todo lo que nos rodea
[22:50] [Música]
[22:51] capturadas y nos ha dejado y no si ayer
[22:54] grace estar la cta señor y venimos y
[22:56] aprovechamos esta oportunidad
[22:59] reconociendo que estamos delante de tu
[23:01] presencia
[23:03] otros rostros inclinados mirando hacia
[23:06] el polvo de la tierra al menos formaste
[23:09] formas y fundas con todo señor con un
[23:14] corazón contrito y humillado
[23:17] con mucho temor y temblor
[23:19] [Música]
[23:20] venimos queremos darte las gracias
[23:22] únicamente inc y levantando nuestras
[23:25] manos destino poniente decirte que te
[23:28] amamos
[23:28] we love you y que perder nuestras
[23:30] ofensas en nuestras fallas
[23:33] y venimos en el nombre del señor
[23:35] jesucristo
[23:37] tenemos dolores creyendo padre por el
[23:40] sacrificio que hizo por nosotros tu
[23:42] divina sacrificio mientras nos ha dado
[23:44] el gran privilegio debieran de ti
[23:46] [Música]
[23:48] venimos y presentamos estas peticiones
[23:50] las cuales hemos leído a tu pueblo
[23:52] también presentes
[23:54] equipo sabemos que tú las conoces no hay
[23:57] obra y no duden solamente las estamos
[23:58] expresando william expresiones de lo más
[24:00] profundo de nuestro corazón debes
[24:02] trabajar las ponemos en tus plantas
[24:04] divinas y tracey emín haití find
[24:06] asimismo padre también las manos que han
[24:08] sido levantados de gente que conoces
[24:11] señor las peticiones de cada uno de tus
[24:13] hijos hoy una reunión sin dar
[24:15] explicación de lo que haga el señor en
[24:16] lo más profundo del corazón de tu pueblo
[24:18] y nos mete pesar cada equipo
[24:21] todo esto lo ponemos delante de ti luisa
[24:23] distinto mejor y creyendo con todo
[24:26] nuestro corazón vivir y trabajar tu
[24:28] estás tomando control supremo de todas
[24:30] las cosas y sin control doping y te
[24:32] agradecemos de antemano en with equipo
[24:34] forja porque sabemos we know que tú
[24:36] estás señor ayudar tomando en cuenta
[24:39] todo
[24:40] nuestras peticiones le damos la honda de
[24:43] la gloria señor que vio a dios gracias
[24:45] por escucharnos
[24:46] muchas gracias por todos los que
[24:49] levantamos de esta ofrenda svitlica por
[24:51] los vamos a cantar a ti su vigor y la
[24:54] honra y la gloria todo será para ti se
[24:56] nos damos todas estas cosas señor os
[24:59] pedimos todas estas cosas
[25:01] nombre del señor jesucristo
[25:09] usted se pone de pie hermano
[25:14] cuándo
[25:17] cristo me ayudó
[25:20] [Música]
[25:24] en el pecado
[25:26] [Música]
[25:31] [Aplausos]
[25:33] hacer
[25:37] [Música]
[25:49] una vez más de mano
[25:52] cuando cree esto me hallo
[25:59] d
[26:01] en el pecado
[26:06] no no no no
[26:10] efe
[26:13] se puede ver al mago
[26:16] no
[26:19] gracias
[26:22] y por haber
[26:25] de libertad dos horas
[26:33] ya que ha perdido
[26:39] [Música]
[26:40] con él
[26:42] a lo mejor
[26:48] el dolor
