################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-08-15 - 2021-0815 AM - Associate Pastor Carlos E. Torres  Prosigo a la meta - Carlos Torres.txt
Video ID: Mb29s0X08KA
Segments: 1690
URL: https://www.youtube.com/watch?v=Mb29s0X08KA
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:20] y él
[0:22] ah
[0:26] i
[0:39] ah
[0:41] i
[0:43] ah
[0:58] [Música]
[1:05] a
[1:08] [Música]
[1:22] y
[1:28] a
[1:32] [Música]
[1:45] a
[1:46] [Música]
[1:52] ah
[1:54] hola
[2:03] [Música]
[2:12] [Aplausos]
[2:17] [Música]
[2:24] y
[2:26] ah
[2:31] ah
[2:33] [Música]
[2:38] bien
[2:46] ah
[2:47] [Música]
[2:52] i
[2:52] [Música]
[3:01] i
[3:03] [Música]
[3:22] a
[3:28] ah
[3:36] y
[3:38] [Música]
[3:40] ah
[3:42] [Música]
[4:11] [Aplausos]
[4:14] ah
[4:15] [Música]
[4:18] ah
[4:19] [Música]
[4:24] ah
[4:26] ah
[4:27] [Música]
[4:29] y
[4:33] ah
[4:36] [Música]
[4:38] [Aplausos]
[4:39] [Música]
[4:48] ah
[4:52] [Música]
[5:01] ah
[5:17] [Música]
[5:17] [Aplausos]
[5:21] [Música]
[5:23] y
[5:24] [Música]
[5:27] [Aplausos]
[5:32] ah
[5:35] [Música]
[5:38] ah
[5:39] aquí
[5:40] [Música]
[5:53] ah
[5:58] [Música]
[5:59] sí
[6:00] [Música]
[6:22] [Aplausos]
[6:24] [Música]
[6:26] [Aplausos]
[6:27] [Música]
[6:28] [Aplausos]
[6:30] [Música]
[6:33] ah
[6:36] [Música]
[6:37] ah
[6:44] [Música]
[6:46] y
[6:49] [Música]
[7:18] y más
[7:20] [Música]
[7:22] no
[7:23] [Aplausos]
[7:24] [Música]
[7:37] i
[7:42] [Música]
[7:52] a
[7:57] ah
[7:59] [Música]
[8:06] [Música]
[8:16] [Música]
[8:17] [Aplausos]
[8:20] [Música]
[8:29] [Música]
[8:45] [Aplausos]
[8:45] [Música]
[9:01] a
[9:07] a
[9:09] a
[9:10] [Música]
[9:26] y
[9:27] i
[9:31] ah
