################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-08-30 - 2021-0829 AM - Associate Pastor Javier Villa Jr.  Nuestro Pariente Redentor #2 - Javier Villa Jr.txt
Video ID: H3MXshNVdTw
Segments: 1617
URL: https://www.youtube.com/watch?v=H3MXshNVdTw
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:08] ah
[0:12] [Música]
[0:21] ah
[0:22] [Música]
[0:35] ah
[0:39] [Música]
[1:03] y a
[1:05] [Música]
[1:21] ah
[1:25] [Música]
[1:52] ah
[1:54] bueno
[1:56] i
[2:03] [Música]
[2:04] [Aplausos]
[2:05] [Música]
[2:07] ah
[2:09] [Música]
[2:24] ah
[2:33] ah
[2:34] [Música]
[2:59] ah
[3:01] [Música]
[3:06] ah
[3:12] [Música]
[3:28] ah
[3:32] ah
[3:34] ahora
[3:36] ah
[3:39] a
[3:43] ah
[3:45] ah
[3:54] ah
[4:00] [Música]
[4:13] ah
[4:16] [Música]
[4:23] [Aplausos]
[4:25] ah
[4:30] ah
[4:35] [Música]
[4:49] y
[4:51] ah
[4:56] no
[4:58] [Música]
[5:08] no
[5:13] hola
[5:13] [Música]
[5:20] no no
[5:22] ah
[5:23] [Música]
[5:32] ah
[5:40] i
[5:47] ah
[5:50] e
[5:51] [Música]
[5:57] ah
[6:00] [Música]
[6:03] y
[6:06] [Música]
[6:34] i
[6:37] [Música]
[6:41] ah
[6:42] [Música]
[7:15] ah
[7:18] ah
[7:22] ah
[7:24] [Música]
[7:31] ah
[7:34] [Música]
[7:41] [Aplausos]
[7:42] [Música]
[7:52] i
[8:01] [Música]
[8:33] ah
[8:34] ah
[8:38] ah
[8:44] vale
[8:47] [Música]
[8:53] ah
[8:55] [Aplausos]
[8:56] a
[8:58] ah
[9:02] [Música]
[9:06] ah
[9:10] ah
[9:12] ah
[9:13] [Música]
[9:20] y
[9:21] i
[9:22] [Música]
[9:26] qué
[9:27] [Música]
[9:54] ah
[9:58] [Música]
[9:59] [Aplausos]
[10:01] [Música]
[10:02] y
[10:05] [Música]
[10:12] ah
[10:19] i
[10:26] ah
[10:27] [Música]
[10:36] ah
[10:37] [Música]
[10:42] por qué
[10:44] [Música]
[10:56] ah
[10:59] [Música]
[11:01] ah
[11:05] a
[11:06] [Música]
[11:20] i
[11:21] [Música]
[11:35] [Aplausos]
[11:36] ah
[11:38] ah
