################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-11-01 - 2021-1031 AM - Bro. Manuel Escobar Sr.  El Triple Proposito de Dios - Manuel Escobar Sr.txt
Video ID: Ev6WOv0TrtY
Segments: 1704
URL: https://www.youtube.com/watch?v=Ev6WOv0TrtY
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:08] ah
[0:12] ah
[0:15] [Música]
[0:17] y tal
[0:20] [Música]
[0:23] y
[0:26] y
[0:31] qué tal
[0:33] [Música]
[0:40] ah
[0:43] [Música]
[0:45] mal
[0:47] ah
[0:48] [Música]
[0:55] ah
[1:02] y
[1:05] ah
[1:08] ah
[1:11] [Música]
[1:30] ah
[1:31] [Música]
[1:38] ah
[1:40] [Música]
[1:56] bueno
[1:59] a
[2:01] [Música]
[2:06] y tal
[2:07] ah
[2:14] ah
[2:16] i
[2:17] [Música]
[2:30] [Aplausos]
[2:34] [Música]
[2:37] ah
[2:39] [Música]
[2:44] ah
[2:47] o
[2:49] ah
[2:50] [Música]
[2:56] ah
[2:58] mal
[3:02] [Música]
[3:15] amor
[3:15] [Música]
[3:21] ah
[3:23] no no
[3:26] [Música]
[3:35] i
[3:35] [Música]
[3:40] e
[3:41] [Música]
[3:43] ah
[3:46] ah
[3:50] a
[3:53] [Música]
[4:01] ah
[4:03] a
[4:05] ah
[4:07] ah
[4:10] [Música]
[4:19] ah
[4:20] [Música]
[4:24] i
[4:26] company
[4:31] ah
[4:32] [Música]
[4:37] ah
[4:39] ah
[4:43] ah
[4:44] ah
[4:47] [Música]
[4:56] i
[4:58] [Música]
[5:01] ah
[5:02] [Música]
[5:05] ah
[5:11] a
[5:17] [Música]
[5:25] ah
[5:28] ah
[5:32] [Música]
[5:38] él
[5:39] [Música]
[5:43] a
[5:44] [Música]
[5:49] y
[5:52] y
[5:54] más
[5:56] ah
[5:58] [Música]
[6:00] i
[6:04] ah
[6:09] ah
[6:13] [Música]
[6:15] i
[6:17] [Aplausos]
[6:21] ah
[6:23] no no
[6:25] ah
[6:28] i
[6:30] [Música]
[6:37] ah
[6:40] [Música]
[6:45] ah
[6:45] [Música]
[6:56] ah
[7:00] [Música]
[7:07] ah
[7:12] vamos
[7:19] [Música]
[7:24] ah
[7:27] ah
[7:30] [Música]
[7:48] ah
[7:57] [Música]
[8:00] a
[8:05] ah
[8:11] ah
[8:14] ah
[8:18] él
[8:20] ah
[8:26] y
[8:30] [Música]
[8:40] y tal
[8:42] ah
[8:44] ah
[8:48] ah
[8:51] [Música]
[9:00] y
[9:05] y
[9:06] [Música]
[9:15] ah
[9:21] ah
[9:24] ah
[9:28] ah
[9:31] [Música]
[9:38] no
[9:44] ah
[9:47] ah
[9:49] [Música]
[9:51] [Aplausos]
[9:54] [Música]
[10:01] ah
[10:03] ah
[10:05] [Música]
[10:12] ah
[10:14] [Música]
[10:15] [Aplausos]
[10:18] a
[10:20] [Música]
[10:31] ah
[10:38] ah
[10:40] [Música]
[10:53] y tal
[10:55] [Música]
[11:02] ah
[11:08] [Música]
[11:13] ah
[11:16] ah
[11:18] ah
[11:20] ah
[11:24] ah
[11:25] ah
[11:30] ah
[11:30] [Música]
[11:42] ah
[11:44] i
[11:48] ah
[11:50] [Música]
[12:02] [Aplausos]
[12:06] [Música]
[12:10] ah
[12:11] [Música]
[12:16] [Aplausos]
[12:16] [Música]
[12:28] a
