################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-11-14 - 2021-1114 AM - Associate Pastor Carlos E. Torres  Gods Plan of Redemption #1 - Carlos Torres.txt
Video ID: XijJ5kFKi-I
Segments: 2146
URL: https://www.youtube.com/watch?v=XijJ5kFKi-I
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:07] a
[0:09] ah
[0:15] ah
[0:19] i
[0:26] ah
[0:36] ah
[0:42] ah
[0:58] ah
[1:06] no no
[1:08] a
[1:15] i i
[1:20] ah
[1:23] ah
[1:24] [Música]
[1:26] [Aplausos]
[1:28] [Música]
[1:31] y
[1:37] ah
[1:39] i
[1:42] i
[1:47] y
[1:49] ah
[1:52] ah
[1:59] ah
[2:01] [Música]
[2:10] i
[2:14] ah
[2:15] [Música]
[2:18] ah
[2:20] ah
[2:23] ah
[2:26] ah
[2:29] [Música]
[2:38] ah
[2:41] a
[2:43] [Música]
[2:48] ah
[2:51] aquí
[2:53] [Música]
[3:30] ah
[3:48] a
[3:58] a
[3:59] [Aplausos]
[4:02] [Música]
[4:12] ah
[4:20] ah
[4:21] ah
[4:24] y
[4:28] ah
[4:32] a
[4:33] ah
[4:38] [Música]
[4:45] i
[4:48] a
[4:56] ah
[4:57] [Música]
[5:00] ah
[5:02] [Música]
[5:08] ah
[5:10] y
[5:11] [Aplausos]
[5:12] [Música]
[5:15] ah
[5:17] 2
[5:17] [Música]
[5:30] ah
[5:33] [Música]
[5:46] él
[5:55] ah
[6:01] ah
[6:04] a
[6:12] el día
[6:23] [Música]
[6:32] i
[6:35] ah
[6:36] ah
[6:37] [Música]
[6:48] ah
[6:51] ah
[6:53] [Aplausos]
[6:54] [Música]
[7:10] [Aplausos]
[7:11] [Música]
[7:18] ah
[7:25] no más
[7:29] ah
[7:31] [Música]
[7:39] bueno
[7:42] ah
[7:45] [Música]
[7:51] i
[7:54] [Música]
[8:02] ah
