################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-12-12 - 2021-1212 AM - Associate Pastor Carlos E. Torres - The Plan of Redemption #2 - Carlos Torres.txt
Video ID: qO6IQjrSmF4
Segments: 2160
URL: https://www.youtube.com/watch?v=qO6IQjrSmF4
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:04] ah
[0:08] [Música]
[0:25] ah
[0:33] y
[0:36] a
[0:38] [Música]
[0:39] no
[0:40] [Música]
[0:48] ah
[0:51] [Música]
[0:57] ah
[0:58] [Música]
[1:15] o
[1:19] ah
[1:21] ah
[1:25] [Música]
[1:31] ah
[1:32] [Música]
[1:37] ah
[1:38] [Música]
[1:57] [Aplausos]
[2:00] ah
[2:01] más
[2:07] ah
[2:10] [Música]
[2:24] i
[2:26] ah
[2:27] [Aplausos]
[2:29] [Música]
[2:33] i
[2:38] y
[2:41] a
[2:44] ah
[2:45] [Música]
[2:54] no lo
[2:55] es
[2:58] i
[3:01] hoy
[3:06] [Aplausos]
[3:06] [Música]
[3:15] [Aplausos]
[3:17] ah
[3:23] [Música]
[3:30] ah
[3:33] [Música]
[3:43] y
[3:47] [Música]
[3:55] a
[3:56] [Música]
[4:03] ah
[4:08] a
[4:14] ah
[4:16] ah
[4:18] [Aplausos]
[4:20] [Música]
[4:24] ah
[4:24] [Música]
[4:27] no
[4:29] más
[4:32] [Música]
[4:38] ah
[4:39] [Música]
[4:41] [Aplausos]
[4:43] [Música]
[4:50] a
[4:53] [Música]
[5:11] ah
[5:14] ah
[5:20] ah
[5:27] i
[5:29] ah
[5:35] i
[5:37] y
[5:44] bien
[5:47] ah
[5:51] i
[5:55] ah
[6:00] i
[6:04] e
[6:13] a
[6:16] ah
[6:21] ah
[6:37] i
[6:41] ah
[6:44] [Música]
[6:48] ah
[6:50] [Música]
[6:59] ah
[7:07] ah
[7:10] ah
[7:14] ah
[7:16] ah
[7:24] no
[7:26] [Música]
[7:27] ah
[7:32] ah
[7:37] ah
[7:39] bueno
[7:46] ah
[7:57] y
[8:00] [Aplausos]
[8:02] ah
[8:11] ah
[8:16] ah
[8:28] ah
[8:37] i
[8:52] a
[8:58] y
[9:00] ah
[9:15] m
[9:15] [Música]
[9:19] ah
[9:24] ah
[9:26] [Música]
[9:41] ah
[9:46] [Música]
[10:08] y
[10:10] a
[10:16] jajaja
[10:17] [Música]
[10:26] ah
[10:28] [Música]
[10:39] ah
[10:43] [Música]
[10:44] [Aplausos]
[10:50] [Música]
[11:00] ah
[11:07] ah
[11:11] tú
[11:14] ah
[11:18] 1
[11:21] [Música]
[11:23] a
[11:27] ah
[11:28] [Aplausos]
[11:30] [Música]
[11:34] ellos
[11:37] [Música]
[11:52] ah
[11:56] [Música]
[12:06] [Aplausos]
[12:11] no
[12:13] ah
[12:13] [Música]
[12:22] o no
[12:29] [Música]
[12:32] ah
[12:44] ah
[12:51] andar
[12:52] [Música]
[12:57] ah
[13:06] bien
[13:09] ah
[13:11] ah
[13:15] ah
[13:22] ah
[13:23] [Música]
[13:33] ah
[13:36] [Música]
[13:41] bien
[13:45] ah
[13:46] [Música]
[13:55] ah
[13:57] [Música]
[14:00] ah
[14:02] ah
[14:11] i
[14:16] [Música]
[14:21] i
[14:35] ah
[14:49] a
[14:52] más
[15:11] en parte eso bastó doctor ernesto
[15:13] montoya
[15:14] [Música]
[15:16] algún visitante
[15:19] bienvenido de igual manera a todos los
[15:22] que están bien internet semana dos
[15:23] mochilas donde quiera que estén
[15:25] [Música]
[15:27] de pie
[15:32] la mano de dios
[15:37] amado y buen padre celestial y la gran
[15:39] creador y autor de la vida
[15:42] gracias le damos sr por todo lo bueno
[15:46] que hace con nosotros
[15:49] han pasado muchas cosas
[15:51] quizás nos desviamos un poquito
[15:54] pero hasta el día de hoy
[15:57] usted ha permanecido al lado de nosotros
[16:00] y es algo que estamos profundamente
[16:03] agradecidos padres también sabiendo que
[16:06] un día como hoy
[16:09] resucitó a los muertos
[16:11] llevándose todas nuestras cargas y
[16:13] nuestros pecados
[16:16] y por eso venimos en esta mañana es
[16:18] cualquier falla cualquier error señor lo
[16:22] confesamos en su nombre padre
[16:24] queremos vernos limpios
[16:26] señor también queremos pedir por este
[16:28] servicio que tome el tratar el control
[16:31] de todas las cosas padres que siempre al
