################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2025-03-17 - Restoration Of The Bride Tree #2  Associate Pastor Carlos E. Torres  Phoenix Lighthouse Tabernacle - Carlos Torres.txt
Video ID: yB-mfGnhOP0
Segments: 1969
URL: https://www.youtube.com/watch?v=yB-mfGnhOP0
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:28] al e
[0:52] [Música]
[1:00] [Música]
[1:30] H
[1:35] [Música]
[2:30] i
[2:31] [Música]
[3:15] y
[3:20] [Música]
[4:07] y
[4:15] [Música]
[5:24] [Música]
[7:07] ah
[7:10] [Música]
[8:45] ah
[8:54] [Música]
[9:00] [Música]
[9:07] bu
[9:10] [Música]
[10:07] y
[10:44] [Música]
[11:15] y
[11:28] [Música]
[13:37] y
[13:41] [Música]
[15:15] y
[15:16] [Música]
[16:15] H
[16:25] [Música]
[19:27] H ah
[19:30] [Música]
[20:59] am
[21:04] [Música]
[22:23] [Música]
[22:46] [Música]
[23:28] Oh
[23:44] [Música]
[24:14] y
[24:17] [Música]
[24:44] y
[25:21] [Música]
[25:36] y
[25:37] [Música]
[26:11] u
[26:16] [Música]
[26:35] [Aplausos]
[26:39] am
[26:41] [Música]
[26:50] [Aplausos]
[26:53] [Música]
[26:59] [Aplausos]
[27:01] [Música]
[27:06] al
[27:08] [Música]
[27:32] [Aplausos]
[27:38] [Música]
[27:48] di
[27:51] [Música]
[28:00] k
[28:03] [Música]
[28:09] [Aplausos]
[28:10] [Música]
[28:15] [Aplausos]
[28:21] [Música]
[28:24] [Aplausos]
[28:28] H
[28:30] [Música]
[28:43] [Aplausos]
[28:44] [Música]
[28:58] B
[29:01] [Música]
[29:06] [Aplausos]
[29:13] [Música]
[29:23] [Aplausos]
[29:24] [Música]
[29:28] H
[29:34] [Música]
[29:42] [Aplausos]
[29:43] [Música]
[29:44] [Aplausos]
[29:46] [Música]
[30:05] [Aplausos]
[30:10] [Música]
