################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-03-12 - 2021-0312 Wedding - Bro. Felipe Martinez & Sis. Elisabet Munive - Unknown Speaker.txt
Video ID: FJF5pbcHz9U
Segments: 1264
URL: https://www.youtube.com/watch?v=FJF5pbcHz9U
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Música]
[0:33] [Música]
[0:57] [Música]
[1:27] y
[1:32] [Música]
[2:19] y
[2:24] [Música]
[2:28] y
[2:32] sí no
[2:33] [Música]
[2:46] y
[2:48] [Música]
[2:52] y
[2:55] bien
[2:58] [Música]
[3:01] 2
[3:04] [Música]
[3:57] [Música]
[4:12] 2
[4:17] [Música]
[4:35] [Música]
[5:12] [Música]
[5:56] y
[5:58] [Música]
[5:59] y
[6:04] i
[6:06] sí
[6:10] [Música]
[6:12] y
[6:13] [Música]
[6:15] a
[6:17] y
[6:19] y
[6:19] [Música]
[6:33] y
[6:34] [Música]
[6:52] y
[6:54] [Música]
[6:57] sí
[7:01] ni
[7:02] [Música]
[7:06] y
[7:14] y
[7:16] [Música]
[7:23] y
[7:25] [Música]
[7:30] y
[7:35] y
[7:36] y
[7:37] [Música]
[7:40] y
[7:41] [Música]
[7:48] ah
[7:50] [Música]
[7:53] [Risas]
[7:54] [Música]
[8:13] i
[8:15] [Música]
[8:26] i
[8:27] [Música]
[8:32] y
[8:37] i
[8:39] i
[8:40] bien
[8:41] [Música]
[8:45] y
[8:49] y
[8:53] y
[8:57] y
[8:59] 2
[9:01] y
[9:08] [Música]
[9:18] y
[9:20] [Música]
[9:25] el día
[9:32] y
[9:34] y punto
[9:43] e
[9:53] [Música]
[9:59] e
[10:02] sí
[10:07] i
[10:08] [Música]
[10:20] no
[10:24] [Música]
[10:25] no
[10:27] [Música]
[10:36] i
[10:41] [Música]
[10:55] sí
[10:58] [Música]
[11:50] 2
[11:55] [Música]
[11:57] [Risas]
[12:00] y
[12:03] [Música]
[12:21] e
[12:22] [Música]
[12:38] [Música]
[12:50] e
[12:54] [Música]
[13:05] él
[13:07] [Música]
[13:15] i
[13:20] [Música]
[13:39] [Aplausos]
[13:41] y yo
[13:49] [Música]
[15:05] sí
[15:35] y
[15:44] 2
[15:46] [Música]
[16:39] más
[16:45] [Música]
[17:07] [Música]
[17:15] más
[17:23] [Música]
[17:28] ah
[17:29] [Música]
[17:58] i
[18:03] [Música]
[18:07] aquí
[18:08] [Música]
[18:43] ah
[18:49] [Música]
[18:59] 2
[19:08] ah
[19:19] [Música]
[19:27] [Música]
[19:46] [Música]
[20:17] [Música]
[21:01] [Música]
[21:16] bien
[21:18] [Música]
[22:31] i
[22:38] [Música]
[23:40] [Música]
[24:52] sí
[24:54] [Música]
[25:28] 2
[25:32] i
[25:34] [Música]
[25:42] i
[25:46] [Música]
[25:50] tú
[25:53] no
[25:57] y
