date,status,speaker,title,url,last_checked,language,type,description,duration,church
2025-11-23,Success,Doctrina de las 7 Edades de la Iglesia 6,2025-1119,https://www.youtube.com/watch?v=ppU9xVQwZQ0,2026-01-07,Unknown,Church Service,,,
2025-11-23,Success,Doctrina de las 7 Edades de la Iglesia 5,2025-1112,https://www.youtube.com/watch?v=bZRobsaYNJ0,2026-01-07,Unknown,Church Service,,,
2025-11-02,Success,Doctrina de las Edades 4,2025-1029,https://www.youtube.com/watch?v=ZWZ01xyJvmo,2026-01-07,Unknown,Church Service,,,
2025-10-29,Success,Doctrina de las Edades 3,2025-1022,https://www.youtube.com/watch?v=KSCK50Olgu4,2026-01-07,Unknown,Church Service,,,
2025-10-28,Success,Doctrina de las Edades 2,2025-1015,https://www.youtube.com/watch?v=CFIHOHVuWi8,2026-01-07,Unknown,Church Service,,,
2025-10-15,Success,de la,2025-1008- Doctrina de las Edades 1,https://www.youtube.com/watch?v=yVO4zh9CUi0,2026-01-03,Unknown,Church Service,,,
2025-10-15,Success,de la,2025-1001- Las Siete Edades de la Iglesia 14B,https://www.youtube.com/watch?v=XjVemFkyojk,2026-01-03,Unknown,Church Service,,,
2025-09-30,Success,de la,2025-0924- Las Siete Edades de la Iglesia 14A,https://www.youtube.com/watch?v=omBU5gixOaM,2026-01-03,Unknown,Church Service,,,
2025-09-30,Success,Las Siete Edades de la Iglesia 13B,2025-0917,https://www.youtube.com/watch?v=GBeIcA22jQw,2026-01-07,Unknown,Church Service,,,
2025-09-30,Success,Las Siete Edades de la Iglesia 13A,2025-0910,https://www.youtube.com/watch?v=d8q9sfbeBzY,2026-01-07,Unknown,Church Service,,,
2025-08-24,Success,Las Siete Edades de la Iglesia 11,2025-0820,https://www.youtube.com/watch?v=iHt_T5CnHC0,2026-01-07,Unknown,Church Service,,,
2025-08-18,Success,de la,2025-0813 Las Siete Edades de la Iglesia 10-B,https://www.youtube.com/watch?v=FxToPN8lejk,2026-01-03,Unknown,Church Service,,,
2025-08-12,Success,Las Siete Edades de la Iglesia 10-A,2025-0806,https://www.youtube.com/watch?v=Zz8rZZtthyA,2026-01-07,Unknown,Church Service,,,
2025-08-07,Success,de la,2025-0730 -Las Siete Edades de la Iglesia 9-B,https://www.youtube.com/watch?v=Jysz7b2fJl0,2026-01-03,Unknown,Church Service,,,
2025-07-29,Success,Las Siete Edades de la Iglesia 9-A,2025-0723,https://www.youtube.com/watch?v=pzuZnjF0TP0,2026-01-07,Unknown,Church Service,,,
2025-07-18,Success,de la,2025-0716 PM Las Siete Edades de la Iglesia 8-B,https://www.youtube.com/watch?v=cEAMiPxdHq4,2026-01-03,Unknown,Church Service,,,
2025-07-18,Success,de la,2025-0702 PM Las Siete Edades de la Iglesia 8-A,https://www.youtube.com/watch?v=As-FS4iab5Q,2026-01-03,Unknown,Church Service,,,
2025-07-17,Success,de la,2025-0625 PM Las Siete Edades de la Iglesia 7-B,https://www.youtube.com/watch?v=9q7PxSxRNN0,2026-01-03,Unknown,Church Service,,,
2025-06-25,Success,de la,2025-0618 Las Siete Edades de la Iglesia 7-A,https://www.youtube.com/watch?v=RsMdzRT5QJ0,2026-01-03,Unknown,Church Service,,,
2025-06-25,Success,de la,2025-0611 Las Siete Edades de la Iglesia 6-B,https://www.youtube.com/watch?v=P093MYT4Uoo,2026-01-03,Unknown,Church Service,,,
