################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-02-13 - TEMA EL ESPIRITU SANTO EN CADA EDAD - .txt
Video ID: 0hjUDQ2D2Wg
Segments: 2450
URL: https://www.youtube.com/watch?v=0hjUDQ2D2Wg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:27] i
[0:29] [Música]
[0:39] [Música]
[0:49] um
[0:51] [Música]
[1:35] 2
[1:41] [Música]
[1:43] a él
[1:48] y
[1:51] [Música]
[1:56] ah
[1:59] 2
[2:06] 2
[2:10] no no
[2:14] [Música]
[2:24] y
[2:30] [Música]
[2:33] ah
[2:37] ah
[2:39] [Música]
[2:53] bien
[3:04] y
[3:10] e
[3:15] [Música]
[3:26] e
[3:29] no
[3:31] [Música]
[3:40] e
[3:43] i
[3:47] [Música]
[4:00] i
[4:02] e
[4:03] [Música]
[4:18] i
[4:19] [Música]
[4:25] [Música]
[4:36] y
[4:38] y
[4:40] por aquí
[4:43] e
[4:46] bien
[4:47] [Música]
[4:51] y él
[4:52] [Música]
[5:15] i
[5:20] [Música]
[5:47] i
[6:09] [Música]
[8:04] y
[8:22] [Música]
[9:28] i
[9:30] [Música]
[10:33] y
[10:44] ah
[10:47] [Música]
[11:01] y
[11:25] no
[11:29] 2
[11:31] e
[11:33] y más
[11:39] y
[11:41] [Música]
[11:46] ah
[11:50] ah
[12:01] [Música]
[12:15] [Música]
[12:25] ah
[12:28] [Música]
[12:33] a
[12:40] [Música]
[13:59] más
[14:08] a
[14:17] 2
[14:20] no
[14:21] [Música]
[14:33] más
[14:37] y más
[14:42] 2
[14:43] [Música]
[14:50] a
[14:51] 2
[14:54] d
[14:56] [Música]
[15:10] más
[15:12] [Música]
[15:21] ah
[15:23] y
[15:31] y
[15:33] más
[15:34] [Música]
[15:41] ah
[15:45] ah
[15:49] bueno
[15:51] [Música]
[15:54] ah
[15:56] [Música]
[16:07] ah
[16:10] ah
[16:11] [Música]
[16:15] a
[16:18] 2
[16:40] más
[16:43] [Música]
[16:46] más
[16:49] es
[16:55] [Música]
[17:13] las
[17:18] [Música]
[17:27] ah
[17:31] ah
[17:41] a
[17:51] ah
[17:54] ah
[18:00] ah
[18:02] a mí
[18:08] [Música]
[18:13] y
[18:21] ah
[18:23] ah
[18:27] hola
[18:34] 2
[18:59] [Música]
[19:11] [Música]
[19:21] ah
[19:23] [Música]
[19:26] ah
[19:27] [Música]
[19:30] bueno
[19:32] ah
[19:34] ah
[19:38] [Música]
[19:51] [Música]
[20:20] ah
[20:24] [Música]
[20:30] i
[20:33] i
[20:37] [Música]
[20:41] una
[20:42] más
[20:46] [Música]
[21:10] [Música]
[21:12] ah
[21:14] [Música]
[21:22] a
[21:36] i
[22:02] [Música]
[22:43] i
[22:48] ah
[22:52] ah
[22:56] a
[23:04] i
[23:31] i
[24:17] [Música]
[24:45] [Música]
[24:55] a
[25:01] [Música]
[25:03] ah
[25:07] i
[25:12] y
[25:33] e
[25:41] y
[25:47] i
[26:06] ah
[26:09] más
[26:31] y
[26:35] ah
[27:13] tú
[27:14] [Música]
[27:18] no
[27:18] [Música]
[28:57] [Música]
[29:07] no
