################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-06-30 - Por que no somos una denominacion 4 - Jhon Fredy Pino.txt
Video ID: 2FU__zt3Yog
Segments: 2185
URL: https://www.youtube.com/watch?v=2FU__zt3Yog
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:01] i
[0:03] [Música]
[0:07] i
[0:08] [Música]
[0:14] i
[0:17] [Música]
[0:24] ah
[0:28] [Música]
[0:33] y
[0:34] [Música]
[0:40] y
[0:40] [Música]
[0:43] y
[0:44] 2
[0:46] i
[0:47] [Música]
[0:57] a
[1:02] i
[1:06] [Música]
[1:12] [Música]
[1:31] i
[1:31] [Música]
[1:36] ah
[1:43] [Música]
[1:59] ah
[2:01] [Música]
[2:42] 2
[2:44] [Música]
[2:49] y
[2:52] [Música]
[3:06] y
[3:08] [Música]
[3:20] ah
[3:25] i
[3:27] i
[3:33] ah
[3:37] ah
[3:41] ah
[3:43] [Música]
[4:08] ah
[4:12] no
[4:14] [Música]
[4:20] más
[4:32] ah
[4:33] [Música]
[4:40] aquí
[4:45] ah
[4:49] [Música]
[5:06] i
[5:09] [Música]
[5:19] hoy
[5:21] i
[5:23] bien
[5:25] [Música]
[6:03] y
[6:06] más
[6:10] [Música]
[6:21] i
[6:32] [Música]
[6:35] más
[6:36] [Música]
[6:42] ah
[6:47] ah
[6:57] i
[7:02] [Música]
[7:05] ah
[7:08] [Música]
[7:28] y
[7:30] ah
[7:31] [Música]
[7:41] a
[7:42] [Música]
[7:45] bien
[7:46] [Música]
[7:55] [Música]
[8:16] y
[8:20] [Música]
[8:27] ah
[8:28] [Música]
[8:36] ah
[8:37] [Música]
[8:42] ah
[8:45] i
[8:47] [Música]
[8:49] ah
[8:51] [Música]
[8:57] i
[9:05] ah
[9:10] no
[9:13] ah
[9:16] [Música]
[9:35] [Música]
[9:42] ah
[9:47] [Música]
[9:54] y
[9:56] i
[9:57] [Música]
[10:07] y
[10:14] y
[10:23] [Música]
[10:28] y
[10:29] [Música]
[11:09] y
[11:10] [Música]
[11:56] ah
[12:02] [Música]
[12:20] no
[12:25] [Música]
[12:31] [Música]
[12:41] i
[12:42] y
[12:44] [Música]
[12:58] ah
[13:03] [Música]
[13:16] ah
[13:21] [Música]
[13:27] [Música]
[14:57] y
[14:58] [Música]
[15:06] ah
[15:07] [Música]
[15:13] mal
[15:19] [Música]
[15:28] [Música]
[15:39] y
[15:42] [Música]
[15:51] [Música]
