date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-25,Success,,Sesto sello 1,https://www.youtube.com/watch?v=YfYlAl7GlCY,2026-01-27,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-27,available,
2026-01-23,Success,,Oracion Mundial,https://www.youtube.com/watch?v=23AqbCc7w3w,2026-01-27,Spanish,Church Service,"Oracion Mundial   orando en todo tiempo con toda oración y súplica en el Espíritu, y velando en ello con toda perseverancia y súplica por todos los santos;   . .  #Radioenvivo #Music #Filmes  #Fotografia",25,Radio La Voz Del Tiempo Final,2026-01-24,available,
2026-01-22,Success,,Oracion Mundial,https://www.youtube.com/watch?v=Gy5IrAUgBsw,2026-01-27,Spanish,Church Service,"Oracion Mundial   orando en todo tiempo con toda oración y súplica en el Espíritu, y velando en ello con toda perseverancia y súplica por todos los santos;   . .  #Radioenvivo #Music #Filmes  #Fotografia",35,Radio La Voz Del Tiempo Final,2026-01-24,available,
2026-01-22,Success,,serbicio de oracion,https://www.youtube.com/watch?v=q7HP7OLdjrQ,2026-01-27,Spanish,Church Service,serbicio de oracion  🎙️ ¿Nuevo en la transmisión o buscando mejorar? ¡Consulta StreamYard y obtén un descuento de $10! 😍 https://streamyard.com/pal/d/4897481987457024,92,Radio La Voz Del Tiempo Final,2026-01-22,available,
2026-01-21,Success,,Oracion Mundial,https://www.youtube.com/watch?v=osZTsO4iGFo,2026-01-27,Spanish,Church Service,Oracion Mundial   🎙️ ¿Nuevo en la transmisión o buscando mejorar? ¡Consulta StreamYard y obtén un descuento de $10! 😍 https://streamyard.com/pal/d/4897481987457024,43,Radio La Voz Del Tiempo Final,2026-01-22,available,
2026-01-18,Success,,5 sello parte 4,https://www.youtube.com/watch?v=5LI7wGLc-uQ,2026-01-25,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-25,available,
2026-01-17,Success,,Solicito para l gracia de Dios,https://www.youtube.com/watch?v=8YdkFCs5Wo4,2026-01-24,Spanish,Church Service,Solicito para l gracia de Dios   🎙️ ¿Nuevo en la transmisión o buscando mejorar? ¡Consulta StreamYard y obtén un descuento de $10! 😍 https://streamyard.com/pal/d/4897481987457024,92,Radio La Voz Del Tiempo Final,2026-01-18,available,
2064-07-05,Success,Marrion Branham,64 0705   La Obra Maestra   William Marrion Branham,https://www.youtube.com/watch?v=IZjoNNevsA8,2026-01-22,Spanish,Church Service,64 0705   La Obra Maestra   William Marrion Branham,138,Radio La Voz Del Tiempo Final,2026-01-14,available,
2057-04-20,Success,Marrion Branham,57 0420 La Sepultura William Marrion Branham,https://www.youtube.com/watch?v=wuh55OcdOKE,2026-01-22,Spanish,Church Service,#Cintadeldia 57-0420 | La Sepultura | William Marrion Branham     #mensajedelahora,65,Radio La Voz Del Tiempo Final,2026-01-22,available,
2026-01-15,Success,,servisio de oracion,https://www.youtube.com/watch?v=YDpEf97v1Pk,2026-01-21,Spanish,Church Service,servisio de oracion  🎙️ ¿Nuevo en la transmisión o buscando mejorar? ¡Consulta StreamYard y obtén un descuento de $10! 😍 https://streamyard.com/pal/d/4897481987457024,98,Radio La Voz Del Tiempo Final,2026-01-15,available,
2026-01-11,Success,,5 Sello parte 3,https://www.youtube.com/watch?v=R5-vJoKm3GM,2026-01-18,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-18,available,
2026-01-10,Success,,servisio de viernes,https://www.youtube.com/watch?v=genflcjSE8E,2026-01-16,Unknown,Full Sermon,,0,Radio La Voz Del Tiempo Final,2026-01-16,available,
2025-11-14,No Transcript,,Despertar con Cristo,https://www.youtube.com/watch?v=DJ2fOQ_SICU,2026-01-16,Unknown,Short Clip,Despertar con Cristo   🎙️ ¿Nuevo en la transmisión o buscando mejorar? ¡Consulta StreamYard y obtén un descuento de $10! 😍 https://streamyard.com/pal/d/4939327843074048,0,Radio La Voz Del Tiempo Final,2026-01-16,available,
2025-08-21,No Transcript,,Oracion Mundial,https://www.youtube.com/watch?v=UxJETOxbUvk,2026-01-16,Unknown,Short Clip,Oracion Mundial   🎙️ ¿Nuevo en la transmisión o buscando mejorar? ¡Consulta StreamYard y obtén un descuento de $10! 😍 https://streamyard.com/pal/d/6606125671710720,2,Radio La Voz Del Tiempo Final,2026-01-16,available,
2025-03-07,No Transcript,Yhon Fredy Pino,Alimento Espiritual a Su Debido Tiempo ~ Estudio #4,https://www.youtube.com/watch?v=MYXT0qtVFsA,2026-01-16,Unknown,Short Clip,Servicio de Predicaciòn ~ Alimento Espiritual a Su Debido Tiempo ~ Estudio #4 Ministro: Yhon Fredy Pino  🎙️ ¿Nuevo en la transmisión o buscando mejorar? ¡Consulta StreamYard y obtén un descuento de $10! 😍 https://streamyard.com/pal/d/5865579652710400,1,Radio La Voz Del Tiempo Final,2026-01-16,available,
2024-05-31,No Transcript,Jorge Estrada,SERVICIO DE RESURRECCIÓN,https://www.youtube.com/watch?v=YxGGuiLO4II,2026-01-16,Unknown,Short Clip,SERVICIO DE RESURRECCIÓN-Hno JORGE ESTRADA,0,Radio La Voz Del Tiempo Final,2026-01-16,available,
2024-05-26,No Transcript,Jorge Estrada,SERVICIO DE RESURRECCIÓN,https://www.youtube.com/watch?v=Wr14hdx502U,2026-01-16,Unknown,Short Clip,SERVICIO DE RESURRECCIÓN-Hno JORGE ESTRADA,7,Radio La Voz Del Tiempo Final,2026-01-16,available,
2024-05-26,No Transcript,Jorge Estrada,SERVICIO DE RESURRECCIÓN,https://www.youtube.com/watch?v=8VLREI6envo,2026-01-16,Unknown,Short Clip,SERVICIO DE RESURRECCIÓN-Hno JORGE ESTRADA,0,Radio La Voz Del Tiempo Final,2026-01-16,available,
2024-04-25,No Transcript,Colombia,Despertar con Cristo 25-04-2024,https://www.youtube.com/watch?v=5wTkf6mdjOs,2026-01-16,Unknown,Short Clip,Despertar con Cristo 25-04-2024    #radioenvivo #pamplona #colombia,0,Radio La Voz Del Tiempo Final,2026-01-16,available,
2024-03-23,No Transcript,Colombia,ORACION MUNDIAL 23/03/2024,https://www.youtube.com/watch?v=Ct0EXgoQz68,2026-01-16,Unknown,Short Clip,ORACION MUNDIAL 23/03/2024  #radioenvivo #pamplona #colombia,0,Radio La Voz Del Tiempo Final,2026-01-16,available,
2024-03-09,No Transcript,Colombia,Oración Mundial 09/03/202,https://www.youtube.com/watch?v=Ks6CjslXMbg,2026-01-16,Unknown,Short Clip,Oración Mundial 09/03/202  #radioenvivo #pamplona #colombia,2,Radio La Voz Del Tiempo Final,2026-01-16,available,
2023-11-23,No Transcript,Prueba,pruea,https://www.youtube.com/watch?v=z2YJ8K3uF7g,2026-01-16,Unknown,Short Clip,prueba,1,Radio La Voz Del Tiempo Final,2026-01-16,available,
2023-11-23,No Transcript,Prueba,pruea,https://www.youtube.com/watch?v=8_Egni8rlJ4,2026-01-16,Unknown,Short Clip,prueba,2,Radio La Voz Del Tiempo Final,2026-01-16,available,
2023-11-23,No Transcript,Prueba,pruea,https://www.youtube.com/watch?v=npjddipudJw,2026-01-16,Unknown,Short Clip,prueba,2,Radio La Voz Del Tiempo Final,2026-01-16,available,
