################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-06-05 - 22_05_05 am - Bro Daniel White - The Lamb And The Dove - Daniel White.txt
Video ID: gnVC2-IzdV8
Segments: 2813
URL: https://www.youtube.com/watch?v=gnVC2-IzdV8
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:32] so
[0:35] [Music]
[1:01] so
[1:07] [Music]
[1:15] so
[1:23] [Music]
[1:29] so
[1:31] [Music]
[1:44] so
[1:46] [Music]
[2:10] so
[2:17] [Music]
[2:25] so
[2:34] [Music]
[2:53] so
[2:59] [Music]
[3:21] so
[3:25] [Music]
[3:50] so
[3:55] [Music]
[4:03] so
[4:05] [Music]
[4:12] [Music]
[4:18] do
[4:21] [Music]
[5:04] [Applause]
[5:05] [Music]
[5:15] so
[5:17] [Music]
[5:47] [Applause]
[5:53] [Music]
[6:09] so
[6:15] [Music]
[6:23] so
[6:26] [Music]
[7:24] [Music]
[7:29] [Applause]
[7:32] [Music]
[7:53] [Music]
[8:01] so
[8:06] [Music]
[8:27] [Applause]
[8:28] [Music]
[8:43] so
[8:47] [Music]
[9:13] do
[9:14] [Applause]
[9:18] [Music]
[9:28] [Music]
[11:15] so
[11:16] [Music]
[12:01] [Music]
[12:15] so
[12:21] [Music]
[12:25] so
[12:30] [Music]
[12:55] so
[12:59] [Music]
[13:07] so
[13:12] [Music]
[13:30] [Applause]
[13:30] [Music]
[13:44] [Applause]
[13:46] [Music]
[14:06] so
[14:17] [Applause]
[14:18] [Music]
[14:37] do
[14:43] [Music]
[15:32] so
[15:38] [Music]
[15:43] so
[15:46] [Music]
[15:57] [Applause]
[16:00] [Music]
[16:14] [Music]
[16:24] so
[16:28] [Music]
[16:50] so
[16:52] [Music]
[17:02] [Music]
[17:17] [Music]
[17:27] [Music]
[17:41] [Music]
[18:02] [Applause]
[18:08] [Music]
[18:17] so
[18:18] [Music]
[18:36] [Music]
[18:53] [Music]
[19:03] [Applause]
[19:15] [Music]
[19:26] so
[19:30] [Music]
[19:44] [Music]
[19:55] so
[20:00] [Music]
[20:22] so
[20:29] [Music]
[20:55] [Music]
[21:10] [Music]
[21:18] so
[21:24] [Music]
[22:07] [Music]
[22:11] [Applause]
[22:12] [Music]
[22:14] so
[22:24] [Music]
[22:30] [Music]
[22:47] [Music]
[23:13] so
[23:16] [Music]
[23:21] [Music]
[24:20] so
[24:22] [Music]
[24:41] [Applause]
[24:49] so
[25:07] [Music]
[25:34] [Applause]
[25:34] [Music]
[25:36] [Applause]
[26:00] [Music]
[26:10] [Music]
[26:13] do
[26:16] [Music]
[26:20] [Applause]
[26:22] [Music]
[26:30] [Applause]
[26:32] [Music]
[26:47] [Music]
[26:51] [Applause]
[26:56] do
[26:58] [Music]
[27:05] [Music]
[27:11] [Music]
[27:14] do
[27:16] [Music]
[27:21] [Applause]
[27:22] so
[27:25] [Music]
[27:34] [Applause]
[27:35] [Music]
[27:38] do
[27:42] [Music]
[27:42] [Applause]
[27:46] [Music]
[27:58] good morning everybody god bless you
[28:01] shall we stand
[28:04] we'll start this uh
[28:07] this first song i just um
[28:09] got up this morning haven't been uh too
[28:12] well for the last couple of days
[28:14] praise the lord um but yeah got up this
[28:17] beautiful sunrise this morning and i
[28:18] just thought of this song the first
[28:20] words the sun comes up new day dawning
[28:22] so i thought praise the lord let's sing
[28:24] there
[28:27] the sun
[28:29] comes up it's a new
[28:32] day
[28:33] dawny
[28:36] it's time to sing
[28:38] your song again
[28:42] whatever may
[28:45] pass and whatever lies before
[29:01] is
[29:12] name
[29:16] sing like never before
[29:21] oh my
[29:22] soul
[29:24] i'll worship
[29:29] yes
[29:44] amen
[29:46] for all your
[29:49] goodness
[30:00] thank you
[30:35] and on
[30:36] that day
[30:38] when
[30:44] was nearby
[31:00] 100
[31:28] oh
[31:43] thank you
[31:48] is
[31:53] [Applause]
[32:21] is
[32:31] oh
[32:43] [Music]
[32:46] amen so just a couple of quick notes
[32:49] reminder of the potluck lunch straight
[32:51] afterwards at the war memorial hall
[32:54] um and there's just as we go to open
[32:56] with prayer now
[32:57] if we could also remember brother basil
[33:00] and brother werner as well
[33:02] just lift them to the lord
[33:04] [Music]
[33:06] lord jesus father
[33:09] lord sometimes we feel like we're so
[33:11] needy lord but
[33:12] lord we thank you lord that we know you
[33:15] have everything covered lord
[33:17] lord you have more than enough for us
[33:19] father
[33:21] lord that
[33:23] no matter
[33:24] how much we need lord
[33:26] you have it in abundance lord and father
[33:28] we just pray we especially lift up
[33:30] brother basil and brother verna to you
[33:32] now lord
[33:33] lord with heart troubles lord and just
[33:35] pray father that you'd meet them right
[33:37] now lord
[33:38] lord you give them a special visit lord
[33:41] lord a
[33:43] bit of strength lord
[33:45] presence around them lord that they
[33:46] would know lord a peace father
[33:49] they would know you have all things in
[33:51] your hands and all things work for your
[33:53] glory lord
[33:55] lord we pray for the service this
[33:57] morning lord we thank you so much for
[33:59] last night lord
[34:00] for visiting us lord and speaking to us
[34:03] lord we lift our brother to you again
[34:05] lord and just pray that you would
[34:06] inspire him again this morning lord that
[34:09] the atmosphere in here would be the
[34:10] great atmosphere lord that you're
[34:12] welcome here father lord there would be
[34:14] nothing here to hinder you lord doing
[34:16] your work lord
[34:18] lord at this time of worship father that
[34:20] there would be nothing that we would put
[34:22] in the way father to
[34:24] be able to open up completely and
[34:26] worship for you lord
[34:28] lord we love you so much lord we thank
[34:30] you for your mercy and grace lord
[34:31] without it we are nothing lord without
[34:34] you we are nothing lord we
[34:36] lord we thank you lord
[34:38] we stand in marvel and awe of you father
[34:42] lord and just want to worship you lord
[34:44] bless the service we ask in jesus
[34:46] christ's name
[34:47] amen
[34:49] amen
[34:50] [Music]
[34:52] 314 in christ alone
[34:58] in christ
[35:00] alone my hope is found oh he is my life
[35:07] my strength
[35:09] my song
[35:11] this cornerstone
[35:14] this solid will have men
[35:17] fed through the fields
[35:23] what heights of love
[35:25] what tips of peace
[35:42] of christ i stand
[35:48] amen in
[35:57] god christ heaven
[36:04] and righteousness
[36:19] of
[36:20] god was
[36:34] is
[36:47] [Applause]
[37:00] again
[37:02] and as he
[37:03] stands in victory
[37:16] he is thank you
[37:19] lord with the precious
[37:33] this is the
[38:02] till he
[38:12] this one
[38:22] he is
[38:43] is
[38:58] i
[39:10] light of the world by darkness
[39:24] again
[39:26] and
[39:37] for i am
[39:55] curse has lost
[39:58] me
[40:00] for i am
[40:10] christ
[40:12] amen
[40:14] [Music]
[40:17] celebrate jesus celebrate
[40:22] amen celebrate
[40:26] jesus christ
[40:49] is
[41:20] jesus celebrated
[41:43] is
[41:57] foreign
[42:14] [Applause]
[42:21] jesus
[42:28] praise
[42:42] salad is
[42:59] foreign
[43:21] amen
[43:23] i mean that's why we're here i mean amen
[43:27] three five five
[43:29] paid and full by the blood of the lamb
[43:31] amen
[43:34] when justice calls for repentance
[43:47] precious
[43:58] oh
[44:19] is
[44:25] know how great it was
[44:49] you father thank you
[45:16] hey
[45:27] delayed
[45:42] this one
[46:08] thank you jesus
[46:18] is
[46:41] of the foreign
[47:04] amen
[47:07] hallelujah
[47:27] is
[47:49] that's what i am
[48:00] oh
[48:08] is
[48:20] is
[48:42] that's what i am
[48:56] such a great linear more than a
[48:58] conqueror
[49:00] i thought that was as high as you could
[49:01] almost get but
[49:03] praise the lord 3 10 worthy is the lamb
[49:06] [Music]
[49:08] thank you for the
[49:11] cross lord
[49:13] [Music]
[49:16] thank you for the price
[49:24] bearing all my sin and shame
[49:40] thank you for this love
[49:55] wash me in
[50:08] embraced
[50:37] victoria
[50:58] the treasure of hebrews
[51:11] is
[51:33] thank
[51:34] you the price
[51:57] thank you
[52:04] thank you for guests lord thank you
[52:18] all i know
[52:43] we
[52:57] oh
[53:23] [Music]
[53:25] movie is
[53:39] [Music]
[53:42] amen worthy is the lamb
[53:44] amen
[53:46] praise the lord god bless you all this
[53:48] morning
[53:49] good to be here you may take your seats
[53:50] just for a moment
[53:53] amen just like to thank the song leader
[53:57] stephen just simon surrey really
[53:59] appreciated that very much and
[54:01] amen we love to worship amen
[54:04] god bless you musicians
[54:06] we love to praise our god
[54:08] amen he is worthy of our praise
[54:11] amen we're just so thankful and
[54:13] privileged to be able to be here
[54:16] this morning not just to gather with one
[54:18] another but together with the presence
[54:20] of the lord jesus christ and
[54:23] with the revelation of our lord jesus
[54:24] christ amen so it's a real honor and
[54:27] privilege
[54:28] i just want to uh
[54:30] as brother elroy i just want to um
[54:33] thank brother elray for the invitation
[54:36] to um come over with kind of in debt to
[54:39] him a little bit we've had him over a
[54:41] few times now and
[54:42] haven't been able to return the favor
[54:44] and i know it's more than a favor but um
[54:47] i just appreciate your pastor very much
[54:50] brother rey and um
[54:53] just the french friendship and the lord
[54:55] his loyalty
[54:57] and uh he's
[54:59] the gift that god's placed within him i
[55:01] just appreciate it
[55:02] so much it's um
[55:04] it's been a real benefit to our little
[55:06] fellowship back at home
[55:08] and uh you know god places people around
[55:10] you for specific reasons to me
[55:13] to meet specific needs and
[55:15] we may not all see things the same way
[55:18] but nevertheless god
[55:20] has a way of providing people around us
[55:23] to help us encourage us
[55:26] and perhaps even meet the needs in our
[55:29] own lives
[55:30] through the gift that god has placed
[55:32] within us and
[55:35] we understand that as a body it's not
[55:37] just the pastor that has the gifting
