date,status,speaker,title,url,last_checked,language,type,description,duration,church
2015-07-16,Success,Unknown Speaker,15 0503 There is a Place By Me,https://www.youtube.com/watch?v=bdxPyhakpR0,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-07-16,Success,Unknown Speaker,15-0617 Gods Provided Place of Worship,https://www.youtube.com/watch?v=E2Hq-X-0ONQ,2025-12-28,Unknown,Worship Service,,,Shekinah Tabernacle
2015-07-16,Success,Unknown Speaker,2015 Battle Tactics Part 1,https://www.youtube.com/watch?v=Gxhg9e1dIuw,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-07-25,Success,Unknown Speaker,15 0726 Battle Tactics pt 3,https://www.youtube.com/watch?v=SBjcbBQXTEw,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-08-12,Success,Kinsman Redeemer,15 0809 The Work of the Kinsman Redeemer pt2,https://www.youtube.com/watch?v=MdB6namtWSs,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-08-26,Success,Unknown Speaker,15 0826 Where we are at in the end time pt2,https://www.youtube.com/watch?v=T5NmaAew5AY,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-08-29,Success,Unknown Speaker,15 0830 Where we are at in the end time pt3,https://www.youtube.com/watch?v=PQn4xmybfuM,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-09-05,Success,Unknown Speaker,15 0906 Where We are at in the Endtime pt4,https://www.youtube.com/watch?v=OacVZ27V6ks,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-09-13,Success,Harvest Time,15 0913 Where We are at in the Endtime pt6 The Harvest Time,https://www.youtube.com/watch?v=6VbEDAtroa0,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-09-26,Success,Unknown Speaker,15 0927 Where We are at in the Endtime pt8 Rebekah's Journey,https://www.youtube.com/watch?v=F6cUUYT3qCw,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-10-07,Success,Unknown Speaker,15 1007 God's Masterpiece,https://www.youtube.com/watch?v=mjIa1UOfoig,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-10-10,Success,Unknown Speaker,15 1011 God's Attributes Being Displayed,https://www.youtube.com/watch?v=wxUT6qUYcOw,2025-12-28,Unknown,Memorial Service,,,Shekinah Tabernacle
2015-10-10,Success,Unknown Speaker,Global Answers 013   The Godhead Explained   Part 1,https://www.youtube.com/watch?v=DLQxobhdnms,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-10-10,Success,Unknown Speaker,Global Answers 014   The Godhead Explained   Part 2,https://www.youtube.com/watch?v=jFeckHnOY7E,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-10-10,Success,Unknown Speaker,Global Answers 015   The Godhead Explained   Part 3,https://www.youtube.com/watch?v=_JrazdTkaf8,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-11-07,Success,Unknown Speaker,15-1108 Thirst,https://www.youtube.com/watch?v=N-4UGCmsc4U,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-11-11,Success,Unknown Speaker,Can You See Yourself In David,https://www.youtube.com/watch?v=t4pNU6aK0Y0,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-11-20,Success,Unknown Speaker,15 0909 Where We are at in the Endtime pt5,https://www.youtube.com/watch?v=6oIHjLJnOZI,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-11-21,Success,Unknown Speaker,15 1122 Keeping in the middle of the way,https://www.youtube.com/watch?v=kR05JEG2IEU,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-11-25,Success,Unknown Speaker,15 1125 Don't forget the Divine influence,https://www.youtube.com/watch?v=sYSZTevNcl8,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-11-28,Success,Unknown Speaker,15 1129 Return and Jubilee TODAY,https://www.youtube.com/watch?v=fxEpeJA1qig,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-12-05,Success,Unknown Speaker,15 1206 When God says No,https://www.youtube.com/watch?v=-4FqgisbIq4,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-12-12,Success,Unknown Speaker,15-1213 I am Joseph,https://www.youtube.com/watch?v=MJ_OwHWV-iY,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-12-26,Success,Unknown Speaker,15 1220,https://www.youtube.com/watch?v=lgygocSI35w,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2015-12-26,Success,Has,15 1227 Thy Light Has Come,https://www.youtube.com/watch?v=5_XR1IuS6v0,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-01-12,Success,Unknown Speaker,16-0110  Divine Leadership,https://www.youtube.com/watch?v=fwQrIRyFY-Q,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-01-13,Success,Unknown Speaker,16-0113 Divine Leadership pt2,https://www.youtube.com/watch?v=mgOpFyxin94,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-01-16,Success,Unknown Speaker,16-0117 Divine Leadership pt3,https://www.youtube.com/watch?v=TR80Gx4WO9E,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-01-23,Success,Unknown Speaker,16 0124 Is Every Door Open?,https://www.youtube.com/watch?v=vQ9BLrHmwBQ,2025-12-30,Unknown,Service,,,Shekinah Tabernacle
2016-01-27,Success,Unknown Speaker,16-0127 God is Light,https://www.youtube.com/watch?v=KmslZOQ0BFo,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-01-30,Success,Unknown Speaker,16 0131 Refreshing From The Presence of the Lord,https://www.youtube.com/watch?v=EhlbUUmFW10,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-02-10,Success,Fourth,16 0205 The Fourth Seal,https://www.youtube.com/watch?v=r3ihu0b4G98,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-02-10,Success,Unknown Speaker,16 0206e The Abstract,https://www.youtube.com/watch?v=7sTHJMlN5uQ,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-02-10,Success,Unknown Speaker,16 0206m The Root Cause,https://www.youtube.com/watch?v=Il02__Wz47Y,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-02-11,Success,Unknown Speaker,16 0207e Free Indeed,https://www.youtube.com/watch?v=rG3B0OMjgOs,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-02-11,Success,Unknown Speaker,16 0207m God Dealeth With You as with Sons,https://www.youtube.com/watch?v=WO6bKmj721g,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-02-11,Success,Unknown Speaker,16 0208 But God,https://www.youtube.com/watch?v=edBz5RIAjLk,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-02-13,Success,Unknown Speaker,16 0214 The Camp of the Supernatural,https://www.youtube.com/watch?v=6oulcUZiHbg,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-02-20,Success,Done Yet,16 0221 Are You Done Yet,https://www.youtube.com/watch?v=Q0a1wv3Mjuc,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-02-24,Success,Unknown Speaker,16 0224 Discovering Our Jubilee,https://www.youtube.com/watch?v=twCR8SeiZSs,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-02-27,Success,Ever,16 0228 The Greatest Battle Ever Thought,https://www.youtube.com/watch?v=1bqxOsn9S9I,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-03-09,Success,Unknown Speaker,16 0309 The Key of Faith,https://www.youtube.com/watch?v=rRcxlcoRS6U,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-03-12,Success,Unknown Speaker,16 0313 Land,https://www.youtube.com/watch?v=-9eEmM1tOng,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-03-20,Success,You Offering,16 0320 What Are You Offering,https://www.youtube.com/watch?v=tcWLMEj0ctQ,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-04-03,Success,Became Flesh,16 0403 The Word Became Flesh,https://www.youtube.com/watch?v=jCot0hc7KMk,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-04-24,Success,Unknown Speaker,16 0424 The Voice of My Beloved,https://www.youtube.com/watch?v=NMRxllJoC4w,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-05-01,Success,Unknown Speaker,16 0501 The Voice of my Beloved pt2,https://www.youtube.com/watch?v=kjl9kJl4joU,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-05-04,Success,Of Time,16 0504 Let Us Look Past The Curtain Of Time,https://www.youtube.com/watch?v=PFddxjpDVv0,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-05-07,Success,Unknown Speaker,16 0508 Judgment,https://www.youtube.com/watch?v=FTThhCILTb4,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-05-18,Success,Unknown Speaker,16 0518 Biblestudy 1 Overview and Walking in the light,https://www.youtube.com/watch?v=H9hnQ5W8cjI,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-05-29,Success,Fair,16 0529 Rise My Fair One,https://www.youtube.com/watch?v=BLY25K_yNvA,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-06-01,Success,Two Babylons,16 0601 Biblestudy pt2 The Two Babylons,https://www.youtube.com/watch?v=Iu1m4hd7GH0,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-06-04,Success,Unknown Speaker,16 0605 Arise My Love,https://www.youtube.com/watch?v=U8SKFCG6LX4,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-06-11,Success,It Listeth,16 0612 The Wind Bloweth Where It Listeth,https://www.youtube.com/watch?v=R-dKvEuwFIs,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-06-25,Success,Unknown Speaker,16 0626 As thy days are so shall thy strength be,https://www.youtube.com/watch?v=DCzha0eZX34,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-07-02,Success,Unknown Speaker,16 0629 Life And Death Is In The Power Of The Tongue,https://www.youtube.com/watch?v=tr24VxqLqSc,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-07-13,Success,Him Faithful,16 0713 Have You Judged Him Faithful,https://www.youtube.com/watch?v=OJv1EI-QlXY,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-07-17,Success,Unknown Speaker,16 0717 You shall posses the gates of the enemy,https://www.youtube.com/watch?v=olHkKcVupoA,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-07-23,Success,Unknown Speaker,16 0724  My God is My Rock,https://www.youtube.com/watch?v=3Dpfr6aEMWw,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-07-30,Success,Unknown Speaker,16 0731 Time To Possess All The Inheritance,https://www.youtube.com/watch?v=ryNd6UXWchs,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-08-10,Success,Unknown Speaker,16 0810 Perfect Faith pt 2,https://www.youtube.com/watch?v=Z28qRsulb68,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-08-18,Success,Right Now,16 0814 Jesus Is Here Right Now,https://www.youtube.com/watch?v=x1DRa2KEUTQ,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
2016-08-22,Success,Unknown Speaker,16 0821 The Sweet Influence of Pleiades,https://www.youtube.com/watch?v=_UObuNcowug,2025-12-28,Unknown,Service,,,Shekinah Tabernacle
