date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-26,Success,Randy Sias,"The Exodus Bro Randy Sias (Ohio, USA) 25 Jan 2026",https://www.youtube.com/watch?v=6_5FqnyXqIY,2026-01-27,Unknown,Full Sermon,,0,Son Of Man Revealed Ministries,2026-01-27,available,
2026-01-25,Success,Adrian Gengan,Holy Ghost Super Intelligence vs Artificial Intelligence Pastor Adrian Gengan Sun 18 Jan 2026,https://www.youtube.com/watch?v=2naX9NWwCLY,2026-01-27,Unknown,Full Sermon,,0,Son Of Man Revealed Ministries,2026-01-27,available,
2026-01-17,Success,Adrian Gengan,2026 Visions & Goals Guided By The Word Pastor Adrian Gengan 11-Jan-2026,https://www.youtube.com/watch?v=M3ROOdoq-Xs,2026-01-24,Unknown,Full Sermon,,0,Son Of Man Revealed Ministries,2026-01-24,available,
2026-04-01,Success,Adrian Gengan,Anointing & Positioning in the Year of YHWH Pastor Adrian Gengan 04-01-2026,https://www.youtube.com/watch?v=x7NIqLyP9-8,2026-01-24,Unknown,Full Sermon,,0,Son Of Man Revealed Ministries,2026-01-24,available,
2023-03-26,Success,Adrian Gengan,A Holy Ghost Filled Ambitious Church  Pastor Adrian Gengan  26032023,https://www.youtube.com/watch?v=2trm9PoBD-c,2026-01-05,Unknown,Church Service,,92.0,Son Of Man Revealed Ministries,2026-01-05,available,
2023-03-12,Success,Adrian,Have you been Sealed with the Holy Ghost since you believed the Message of the Hour  Pastor Adrian,https://www.youtube.com/watch?v=31a0WtLTI7k,2026-01-27,Unknown,Full Sermon,,0,Son Of Man Revealed Ministries,2026-01-27,available,
2023-05-03,Success,Noel Takodza,The Inside Teacher  Pastor Noel Takodza  05032023,https://www.youtube.com/watch?v=pQJDLf5GkRk,2026-01-05,Unknown,Church Service,,86.0,Son Of Man Revealed Ministries,2026-01-05,available,
2023-02-28,Success,2023  Bro Joshua Chetty,28 Feb 1963,https://www.youtube.com/watch?v=D6cMcMsd9nM,2026-01-15,Unknown,Full Sermon,,0.0,Son Of Man Revealed Ministries,2026-01-15,available,
2023-02-23,Success,Samuel Khumomotse,Why did the Exodus take so Long   Pastor Samuel Khumomotse (Botswana) 230223,https://www.youtube.com/watch?v=tLObiNA3RgQ,2026-01-05,Unknown,Church Service,,93.0,Son Of Man Revealed Ministries,2026-01-05,available,
2023-02-19,Success,Adrian Gengan,The Transforming Power of The Holy Ghost  Pastor Adrian Gengan,https://www.youtube.com/watch?v=PKhIKPmtVrA,2026-01-05,Unknown,Church Service,,72.0,Son Of Man Revealed Ministries,2026-01-05,available,
2023-02-12,Success,Adrian Gengan,The New Birth and The Baptism Of The Holy Ghost  Pastor Adrian Gengan,https://www.youtube.com/watch?v=0pYk2cEaMFg,2026-01-05,Unknown,Baptism Service,,57.0,Son Of Man Revealed Ministries,2026-01-05,available,
2023-02-08,Success,Adrian Gengan,Jesus Prayer Life  Pastor Adrian Gengan,https://www.youtube.com/watch?v=gKIrxn0pV48,2026-01-05,Unknown,Short Clip,,34.0,Son Of Man Revealed Ministries,2026-01-05,available,
2023-02-05,Success,Shane Moodley,I Am Predestinated To Hear My Theophany Call  Pastor Shane Moodley,https://www.youtube.com/watch?v=FSBMx-CjmlE,2026-01-05,Unknown,Church Service,,108.0,Son Of Man Revealed Ministries,2026-01-05,available,
2023-01-29,Success,Adrian Gengan,Entertaining Angels  Pastor Adrian Gengan,https://www.youtube.com/watch?v=kJzhYh1SIPg,2026-01-05,Unknown,Church Service,,77.0,Son Of Man Revealed Ministries,2026-01-05,available,
2023-01-25,Success,Adrian Gengan,Rocket Launching Our Faith Past All Barriers  Pastor Adrian Gengan,https://www.youtube.com/watch?v=_PDwDRL2-q8,2026-01-27,Unknown,Full Sermon,,0,Son Of Man Revealed Ministries,2026-01-27,available,
2023-01-22,Success,Joshua Chetty,The Angel of the Lord in a certain Season  Bro Joshua Chetty,https://www.youtube.com/watch?v=n6o481_lUBs,2026-01-05,Unknown,Church Service,,76.0,Son Of Man Revealed Ministries,2026-01-05,available,
2023-01-15,Success,Adrian Gengan,2023 A Supernatural Year Led by The Angel Of God  Pastor Adrian Gengan,https://www.youtube.com/watch?v=_mkmQJe1qkc,2026-01-05,Unknown,Church Service,,71.0,Son Of Man Revealed Ministries,2026-01-05,available,
