date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-22,Success,Diego Arroyo,"Bro. Diego Arroyo  ""Preeminence/ Preeminencia"" PT. 5",https://www.youtube.com/watch?v=zyf2cIuNKDA,2026-01-24,Spanish,Church Service,"January 22, 2026   Subtitle/ Subtitulo The Destroying Of Idols/ La Destrucción De Ídolos  John/Juan 3: 13-14 1 Tim 3: 16 Num 21: 1-9 2 Kings/Rey 18: 4 Isa 42: 8 John/Juan 17: 21-22 2 Cor 6: 16-18 1 John/Juan 5: 20-21 Psalm/Salmo 16: 4 Rev/Apo 9: 20 Acts/Hec 13: 48",112,Spirit Of Truth Assembly,2026-01-24,available,
2026-01-22,Success,Diego Arroyo,Bro. Diego Arroyo Preeminence Preeminencia PT. 5,https://www.youtube.com/watch?v=djjunHy-OmE,2026-01-24,Unknown,Full Sermon,,0,Spirit Of Truth Assembly,2026-01-24,available,
2026-01-18,Success,Diego Arroyo,Bro. Diego Arroyo Preeminence Preeminencia PT. 4,https://www.youtube.com/watch?v=niTqJ3PUHCs,2026-01-24,Spanish,Church Service,"January 18, 2026  Subtitle/Subtitulo Vain Worship/ Adoración Vana  Mar 7: 5-9 Isa 29: 9-14 Mar 7: 10-11 Heb 11: 4 Num 21: 1-9 2 Kings/Rey 18: 4",136,Spirit Of Truth Assembly,2026-01-24,available,
2026-01-15,Success,Diego Arroyo,Bro. Diego Arroyo Preeminence Preeminencia PT. 3,https://www.youtube.com/watch?v=UMg6KPcTEU0,2026-01-22,Unknown,Full Sermon,,0,Spirit Of Truth Assembly,2026-01-22,available,
2025-09-11,Success,Diego Arroyo,Bro. Diego Arroyo Woman Thou Art LoosedMujer Estás Desatada,https://www.youtube.com/watch?v=Z-nM0WzG3cI,2026-01-05,Unknown,Church Service,,117,Spirit Of Truth Assembly,2026-01-05,available,
2025-08-24,Success,Roberto De La Torre,Bro. Roberto De La Torre,https://www.youtube.com/watch?v=qT0-XbhUzuk,2026-01-05,Spanish,Church Service,,100,Spirit Of Truth Assembly,2026-01-05,available,
2023-10-22,Success,Ronnie Long,Bro. Ronnie Long (Making room for the miraculous),https://www.youtube.com/watch?v=xb8uM4ZHehY,2026-01-05,Spanish,Church Service,,68,Spirit Of Truth Assembly,2026-01-05,available,
2023-11-04,Success,Joshua Martin,Bro.Joshua Martin (The Season Of Pressure),https://www.youtube.com/watch?v=FzO3rs8CBSo,2026-01-05,Spanish,Church Service,,62,Spirit Of Truth Assembly,2026-01-05,available,
2025-08-23,No Transcript,Wayne Lawson,Saturday (PM) Bro. Wayne Lawson,https://www.youtube.com/watch?v=fSU3E249VH0,2026-01-05,Unknown,Church Service,"August 23, 2025",196,Spirit Of Truth Assembly,2026-01-05,available,
2025-08-22,Success,Andrew Glover,Bro. Andrew Glover  As Long As We Know He's Here Mientras Sepamos Que El Esta Aqui,https://www.youtube.com/watch?v=1gL79DVxyuk,2026-01-05,Unknown,Church Service,,177,Spirit Of Truth Assembly,2026-01-05,available,
2025-08-23,Success,Samuel Browning,Bro. Samuel Browning Move With Courage Muevete Con Coraje,https://www.youtube.com/watch?v=HOMTlgNS4ww,2026-01-10,Unknown,Church Service,,81,Spirit Of Truth Assembly,2026-01-10,available,
2024-10-02,Success,Mauricio Pilozo,21-07-24 (AM) Preacher Mauricio Pilozo,https://www.youtube.com/watch?v=lfQnBwh-Q0A,2026-01-05,Unknown,Church Service,,96,Spirit Of Truth Assembly,2026-01-05,available,
2024-10-01,Success,Roberto de La Torre,20-07-34 (PM) Preacher Roberto de La Torre,https://www.youtube.com/watch?v=o7Y9TFoqPN0,2026-01-15,Unknown,Full Sermon,,0,Spirit Of Truth Assembly,2026-01-15,available,
2024-10-01,Success,Roberto de la Torres,20-07-24 (AM) Preacher Roberto de la Torres,https://www.youtube.com/watch?v=jq3doMe4I98,2026-01-05,Unknown,Church Service,,67,Spirit Of Truth Assembly,2026-01-05,available,
2024-10-01,Success,Ronnie Long,19-07-24 (PM) Preacher Ronnie Long,https://www.youtube.com/watch?v=EPqpfcT9bwg,2026-01-05,Unknown,Church Service,,63,Spirit Of Truth Assembly,2026-01-05,available,
