date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-25,Success,Bro Dale Smith (01-25-2026),The Blood Still Speaks,https://www.youtube.com/watch?v=pKYQFCBq_bY,2026-01-27,Unknown,Full Sermon,,0.0,Spirit and Truth Tabernacle,2026-01-27,available,
2026-01-18,Success,Bro Ancy Mettilus (01-18-2026),Angel of the Covenant,https://www.youtube.com/watch?v=zoGkVn8FRU4,2026-01-27,Unknown,Full Sermon,,0.0,Spirit and Truth Tabernacle,2026-01-27,available,
2026-01-11,Success,Bro Kweku Ohene-Offei (01-11-2026),Scriptures Pertaining to Eternal Attributes II,https://www.youtube.com/watch?v=4dmo9KO_X1o,2026-01-24,Unknown,Full Sermon,,0.0,Spirit and Truth Tabernacle,2026-01-24,available,
2026-01-04,No Transcript,Jack Duff,Preparation for Manifestation - Bro Jack Duff (01-04-2026),https://www.youtube.com/watch?v=_Hfqrj5Rvxg,2026-01-22,Unknown,Church Service,,135.0,Spirit and Truth Tabernacle,2026-01-22,available,
2026-01-02,Success,Unknown Speaker,2025 Watch Night Service,https://www.youtube.com/watch?v=yZhHcc8mIGY,2026-01-11,Unknown,Church Service,,140.0,Spirit and Truth Tabernacle,2026-01-11,available,
2025-12-28,Success,Bro Jerry Cesar (12-28-2025),A Paradigm Shift,https://www.youtube.com/watch?v=YnVtwAd4j3I,2026-01-15,Unknown,Full Sermon,,0.0,Spirit and Truth Tabernacle,2026-01-15,available,
2025-12-21,Success,Bro Jack Duff (12-21-2025),Inspiration During The Restoration III,https://www.youtube.com/watch?v=_yGIlQugl9I,2026-01-15,Unknown,Full Sermon,,0.0,Spirit and Truth Tabernacle,2026-01-15,available,
2025-12-19,Success,Bro Jack Duff (12-19-2025),Don't Look Back,https://www.youtube.com/watch?v=6I-I5cvtOws,2026-01-15,Unknown,Full Sermon,,0.0,Spirit and Truth Tabernacle,2026-01-15,available,
2025-12-17,Success,Bro Eladio Campos (12-17-2025),There's Nothing Impossible for the Lord,https://www.youtube.com/watch?v=94C9PpqtyQM,2026-01-15,Unknown,Full Sermon,,0.0,Spirit and Truth Tabernacle,2026-01-15,available,
2022-03-18,No Transcript,Aaron Mugo,Rebecah Duff and Aaron Mugo Wedding,https://www.youtube.com/watch?v=zHIvCwKg6GY,2026-01-03,Unknown,Wedding,,0.0,Spirit and Truth Tabernacle,2026-01-03,available,
