date,status,speaker,title,url,last_checked,language,type
2020-05-10,Success,Stephen Shembo,The Unchanging Pattern of God Part 6 (Malachi 4),https://www.youtube.com/watch?v=YQPQO5sw6Bs,2025-12-28,Unknown,Full Sermon
2020-05-17,Success,Michael Holloway,Spiritual Food In Due Season,https://www.youtube.com/watch?v=jwIKOgEoUMU,2025-12-28,Unknown,Full Sermon
2020-05-17,Success,Stephen Shembo,The Unchanging Pattern of God Part 4A (Malachi 4),https://www.youtube.com/watch?v=TrXlVvG7SuE,2025-12-28,Unknown,Full Sermon
2020-05-17,Success,Stephen Shembo,The Unchanging Pattern of God Part 4B (Malachi 4),https://www.youtube.com/watch?v=I-sfD26gYZs,2025-12-28,Unknown,Full Sermon
2020-05-17,Success,Stephen Shembo,The Unchanging Pattern of God Part 7 (Malachi 4),https://www.youtube.com/watch?v=v3slidMa4jI,2025-12-28,Unknown,Full Sermon
2020-05-24,Success,Stephen Shembo,The Unchanging Pattern of God Part 8 (Malachi 4),https://www.youtube.com/watch?v=lger2qjj7Qo,2025-12-28,Unknown,Full Sermon
2020-05-31,Success,Stephen Shembo,The Unchanging Pattern of God Part 9 (Malachi 4),https://www.youtube.com/watch?v=EZTAE-ZLZRc,2025-12-28,Unknown,Full Sermon
2020-06-07,Success,Michael Holloway,The Hour of Restoration,https://www.youtube.com/watch?v=l2Ng4MCElDo,2025-12-28,Unknown,Full Sermon
2020-06-25,Success,Stephen Shembo,The Unchanging Pattern of God Part 11 (Malachi 4),https://www.youtube.com/watch?v=PQb0NXCB-04,2025-12-28,Unknown,Full Sermon
2020-06-26,Success,Stephen Shembo,The Unchanging Pattern of God Part 10 (Malachi 4),https://www.youtube.com/watch?v=4usLd4d-yUc,2025-12-28,Unknown,Full Sermon
2020-06-26,Success,Stephen Shembo,The Unchanging Pattern of God Part 10 (Malachi 4) - Bro. Stephen Shembo,https://www.youtube.com/watch?v=4usLd4d-yUc,2025-12-28,English,Full Sermon
2020-06-26,Success,Nathaniel Berrett,What Is The Message of The Hour The Light of God,https://www.youtube.com/watch?v=4KmdF2ichqU,2025-12-28,Unknown,Full Sermon
2020-06-26,Success,Nathaniel Berrett,What Is The Message of The Hour The Light of God - Bro. Nathaniel Berrett,https://www.youtube.com/watch?v=4KmdF2ichqU,2025-12-28,English,Full Sermon
2020-06-28,Success,Stephen Shembo,The Unchanging Pattern of God Part 12. (Malachi 4),https://www.youtube.com/watch?v=5bFa0E-N0Uw,2025-12-28,Unknown,Full Sermon
2020-07-02,Success,Stephen Shembo,The Unchanging Pattern of God Part 13 (Malachi 4),https://www.youtube.com/watch?v=EwtYk8Xck08,2025-12-28,Unknown,Full Sermon
2020-07-05,Success,Stephen Shembo,The Unchanging Pattern of God  Part 14 (Malachi 4),https://www.youtube.com/watch?v=zWkolMm9SoE,2025-12-28,Unknown,Full Sermon
2020-07-09,Success,Stephen Shembo,The Unchanging Pattern of God Part 15 (Malachi 4),https://www.youtube.com/watch?v=JgroRplyZUU,2025-12-28,Unknown,Full Sermon
2020-07-12,Success,Stephen Shembo,The Unchanging Pattern of God Part 16 (Malachi 4),https://www.youtube.com/watch?v=xX7WhxG0VNY,2025-12-28,Unknown,Full Sermon
2020-07-16,Success,Stephen Shembo,Unchanging Pattern of God  Part 17 (Malachi 4),https://www.youtube.com/watch?v=MzscJj0ykQI,2025-12-28,Unknown,Full Sermon
2020-07-19,Success,Stephen Shembo,The Unchanging Pattern of God  Part 18 (Malachi 4),https://www.youtube.com/watch?v=7GoX6mHy0MU,2025-12-28,Unknown,Full Sermon
2020-07-22,Success,Aaron McGeary,The Unfolding of The Invisible,https://www.youtube.com/watch?v=mPaAkNrlDwA,2025-12-28,Unknown,Full Sermon
2020-07-26,Success,Stephen Shembo,The Unchanging Pattern of God  Part 19 (Malachi 4),https://www.youtube.com/watch?v=Zh5fNiqF3lw,2025-12-28,Unknown,Full Sermon
2020-07-30,Success,Isaiah Chisolm,The Sovereignty of God,https://www.youtube.com/watch?v=xph6l_RHVcE,2025-12-28,Unknown,Full Sermon
2020-08-02,Success,Stephen Shembo,"Who Is This Prince, Zerubbabel",https://www.youtube.com/watch?v=AlpZ6IB4x0I,2025-12-28,Unknown,Full Sermon
2020-08-06,Success,Tim Cross,A Chosen Destination,https://www.youtube.com/watch?v=u30sLyZowjQ,2025-12-28,Unknown,Full Sermon
2020-08-09,Success,Stephen Shembo,The Last Trump vs The Great Trumpet Angels,https://www.youtube.com/watch?v=zFgPpi5NH9g,2025-12-28,Unknown,Full Sermon
2020-08-13,Success,Glenn Kelly,Do You Have Confidence In Your Prayer,https://www.youtube.com/watch?v=TIxEw1ViIcQ,2025-12-28,Unknown,Full Sermon
2020-08-16,Success,Stephen Shembo,One of The 7 Angels Which Had The 7 Vials,https://www.youtube.com/watch?v=cVDwUBk9TuQ,2025-12-28,Unknown,Full Sermon
2020-08-19,Success,Flavien Mayangi,Elijah Repairing The Temple,https://www.youtube.com/watch?v=2XwLamULtKY,2025-12-28,Unknown,Full Sermon
2020-08-23,Success,Stephen Shembo,The Mystery of The Two Staves Part 1,https://www.youtube.com/watch?v=ysGt-1sTeL8,2025-12-28,Unknown,Full Sermon
2020-08-27,Success,Kyo Kelly,Go Tell John,https://www.youtube.com/watch?v=V4HZXMxP0BY,2025-12-28,Unknown,Full Sermon
2020-08-27,Success,Kyo Kelly,Go Tell John - Bro. Kyo Kelly,https://www.youtube.com/watch?v=V4HZXMxP0BY,2025-12-28,English,Full Sermon
