date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-11,Success,Godsway Akpabli,01112026 Hno Godsway Akpabli No Te Apoyes en tu Propia Prudencia,https://www.youtube.com/watch?v=WS12ZAeuyDw,2026-01-15,Unknown,Full Sermon,,0,Tabernaculo Hijos Del Dios Viviente,2026-01-15,available,
2026-01-07,Success,El Poderoso,01072026 El Poderoso Dios develado ante nosotros,https://www.youtube.com/watch?v=tCD59hLQtUM,2026-01-15,Unknown,Full Sermon,,0,Tabernaculo Hijos Del Dios Viviente,2026-01-15,available,
2026-01-04,Success,Unknown Speaker,01042026 Pero vosotros me vereis!,https://www.youtube.com/watch?v=XLypZqYa-O8,2026-01-11,Unknown,Church Service,,88.0,Tabernaculo Hijos Del Dios Viviente,2026-01-11,available,
2025-12-31,Success,Raul Gonzalez,12312025 Servicio de fin de Ano Pastor Raul Gonzalez,https://www.youtube.com/watch?v=DWUQQNpn3bA,2026-01-15,Unknown,Full Sermon,,0,Tabernaculo Hijos Del Dios Viviente,2026-01-15,available,
2025-12-31,Success,Godsway Akpabli,12312025 Servicio de fin de Ano PredicadorHno Godsway Akpabli,https://www.youtube.com/watch?v=khuDFECUrvM,2026-01-15,Unknown,Full Sermon,,0,Tabernaculo Hijos Del Dios Viviente,2026-01-15,available,
2024-09-22,Success,Raul Gonzalez,09222024 Pastor. Raul Gonzalez,https://www.youtube.com/watch?v=N6WmrwYxXY8,2026-01-03,Unknown,Church Service,,105.0,Tabernaculo Hijos Del Dios Viviente,2026-01-03,available,
2024-09-08,Success,Raul Gonzalez,09082024  Predicador Pastor. Raul Gonzalez,https://www.youtube.com/watch?v=yq9DvY_u6AM,2026-01-03,Unknown,Church Service,,106.0,Tabernaculo Hijos Del Dios Viviente,2026-01-03,available,
2024-09-01,Success,Daniel Fraijo,09012024 Servicios Especiales  Predicador Pastor. Daniel Fraijo,https://www.youtube.com/watch?v=jCAUJnVGsec,2026-01-03,Unknown,Short Clip,,30.0,Tabernaculo Hijos Del Dios Viviente,2026-01-03,available,
2024-08-30,Success,Sergio Hernandez,"08302024 Servicios Especiales  Tema Dominio del Unjido  ,  Predicador Hno. Sergio Hernandez",https://www.youtube.com/watch?v=KMOBRQW-FYs,2026-01-03,Unknown,Church Service,,70.0,Tabernaculo Hijos Del Dios Viviente,2026-01-03,available,
2024-08-30,Success,Sergio Hernandez,08302024 Servicios Especiales  Predicador Hno. Sergio Hernandez,https://www.youtube.com/watch?v=AuaeLT8UyYY,2026-01-03,Unknown,Short Clip,,6.0,Tabernaculo Hijos Del Dios Viviente,2026-01-03,available,
2005-08-25,Success,Raul Gonzalez,08252005 Predicador Pastor. Raul Gonzalez,https://www.youtube.com/watch?v=NnYoYpvmfMg,2026-01-03,Unknown,Church Service,,67.0,Tabernaculo Hijos Del Dios Viviente,2026-01-03,available,
2024-08-21,Success,Raul Gonzalez,08212024 Pastor. Raul Gonzalez,https://www.youtube.com/watch?v=mJOyl8pGRv8,2026-01-03,Unknown,Short Clip,,40.0,Tabernaculo Hijos Del Dios Viviente,2026-01-03,available,
2024-08-11,Success,Raul Gonzalez,08112024 Pastor. Raul Gonzalez,https://www.youtube.com/watch?v=N7tJV7Gh3mA,2026-01-03,Unknown,Short Clip,,58.0,Tabernaculo Hijos Del Dios Viviente,2026-01-03,available,
