################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-02-28 - The Word Of God Tabernacle - Sunday Morning Service - The Fitted Garment Part 2 2282021 - Unknown Speaker.txt
Video ID: YFLy-jKX8Y0
Segments: 2749
URL: https://www.youtube.com/watch?v=YFLy-jKX8Y0
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[1:38] so
[1:42] [Music]
[1:52] so
[2:06] so
[2:22] [Music]
[2:34] so
[3:30] so
[3:44] so
[4:12] so
[4:40] so
[4:54] so
[5:08] so
[5:14] [Music]
[5:22] so
[5:30] [Music]
[5:36] so
[5:44] [Music]
[5:50] so
[6:04] so
[6:18] so
[6:32] so
[6:46] so
[6:54] [Music]
[7:00] so
[7:14] so
[7:17] [Music]
[7:28] so
[7:42] so
[7:44] [Music]
[7:56] so
[8:10] so
[8:24] so
[8:38] so
[8:52] so
[9:06] so
[9:20] so
[9:24] [Music]
[9:34] so
[9:48] so
[10:16] so
[10:58] so
[11:12] so
[11:26] so
[11:40] so
[11:44] [Music]
[11:51] [Music]
[11:54] so
[12:22] so
[12:30] [Music]
[12:45] [Music]
[12:50] so
[13:04] so
[13:16] [Music]
[13:18] so
[13:21] [Music]
[13:27] [Music]
[13:32] so
[13:46] so
[14:14] so
[14:31] [Music]
[14:42] so
[15:10] mm-hmm
[15:33] [Music]
[15:38] so
[15:44] [Music]
[16:06] so
[16:20] so
[16:25] [Music]
[16:48] so
[17:02] hmm
[17:11] [Music]
[17:16] hmm
[17:44] so
[17:49] [Music]
[17:58] so
[18:12] so
[18:20] [Music]
[18:26] so
[18:40] so
[18:54] so
[19:08] so
[19:36] so
[19:38] [Music]
[19:50] so
[19:54] [Music]
[20:04] so
[20:14] [Music]
[20:18] so
[20:22] [Music]
[20:28] [Music]
[21:14] so
[21:28] so
[21:50] [Music]
[22:04] [Music]
[22:10] so
[22:24] so
[22:38] so
[22:41] [Music]
[23:06] so
[23:20] so
[23:22] [Music]
[23:34] so
[23:39] [Music]
[23:55] [Music]
[24:12] [Music]
[24:16] so
[24:30] so
[24:48] [Music]
[25:07] [Music]
[25:12] so
[25:26] so
[25:27] [Music]
[25:43] [Music]
[25:54] so
[26:01] [Music]
[26:08] so
[26:17] [Music]
[26:22] so
[26:33] [Music]
[26:36] so
[26:50] so
[26:54] [Music]
[27:04] so
[27:18] so
[27:26] [Music]
[27:35] [Music]
[27:46] so
[27:53] [Music]
[28:00] so
[28:15] praise the lord jesus god bless you all
[28:18] today
[28:19] welcome to the house of the lord
[28:21] appreciate you coming and being here
[28:22] with us today
[28:23] trust and looking forward to what the
[28:25] lord will do for us visit with us
[28:27] move among us in a mighty and powerful
[28:29] way we trust and believe him today and
[28:32] know what his promises for two or three
[28:34] are gathered in his name he would be
[28:36] there
[28:37] amen so god bless you thank you for
[28:39] coming
[28:40] so good to see sister pat back with us
[28:42] glad that she was
[28:43] able to make her journey out uh east and
[28:46] back so
[28:47] thank the lord brought her back safe to
[28:49] us so god bless you thank you
[28:51] come and be here today and for our whole
[28:53] family and each one of you
[28:54] praise the lord god bless you amen let's
[28:57] stand to our feet if we could
[29:00] i'm just going to invite the presence of
[29:02] the lord here today
[29:03] respect him has already been praying but
[29:06] trusting and believing that
[29:08] he's going to meet with us today so
[29:09] let's just bow our heads forward prayer
[29:11] for good
[29:12] precious jesus father it is certainly a
[29:15] privilege lord once again to be here in
[29:17] the house of god
[29:18] thank you so much lord for allowing us
[29:21] this time and giving us this place and
[29:23] the opportunity once again lord to to
[29:26] worship and to praise you and to glorify
[29:28] and magnify your holy name
[29:30] lord truly we weren't promised today
[29:32] lord but god you give it to us of your
[29:34] unmerited favor
[29:35] and lord may we take this day and use it
[29:38] for your glory and honor
[29:39] may everything we do god be pleasing to
[29:41] you and may you god
[29:43] be pleased with this service lord and
[29:45] with all that is said and done the songs
[29:46] we sing and the spirit lord that moves
[29:49] and
[29:49] god just believing father that your holy
[29:51] spirit once again sweep through this
[29:53] place
[29:54] and lord it would just anoint us in a
[29:56] powerful mighty
[29:57] supernatural way god that each one to
[30:00] here today god and those that are
[30:01] on the streaming lord would be blessed
[30:03] and helped and uplifted and
[30:05] lord given direction and leadership and
[30:07] healings and deliverance and
[30:09] whatever the situation circumstance
[30:11] might be god
[30:12] lord this service is committed into your
[30:14] hands and
[30:15] lord we're thanking you for it lord we
[30:17] thank you god for
[30:18] lord each one that's come lord those who
[30:20] weren't able to make it for whatever
[30:22] reason
[30:23] we just commit them to you lord again
[30:25] lord we rebuke every demonic spirit lord
[30:27] that we try to hurt hinder
[30:29] infiltrate this service in any way god
[30:31] that you would get the glory honor and
[30:33] praise for all that is said and done
[30:34] here today
[30:35] and we committed to you and thank you
[30:37] god for all that you've done now and
[30:39] and lord just looking for a wonderful
[30:40] time in you for this service in the name
[30:42] of the lord jesus christ we pray
[30:44] amen amen amen you can be seated if you
[30:47] like turn with me to song number three
[30:49] uh 349.
[30:53] amen as you notice i took the liberty
[30:57] yesterday of going ahead and taken the
[30:58] screens down so i could get that
[31:00] out of the way i figured that was
[31:01] something that we didn't have to have
[31:03] for service today
[31:06] so just got a little ahead of things
[31:08] because we're going to pack everything
[31:09] up
[31:10] once service is over today
[31:13] and move it to a
[31:17] storage facility for now so but uh just
[31:20] felt like
[31:21] it'd be a little bit easier if we got
[31:25] if we if we got some some of this stuff
[31:28] out it took a whole cargo
[31:29] stuff out yesterday so some of that was
[31:32] the screen
[31:32] so sorry you just have to do the with
[31:35] the songbooks again today
[31:36] so um 349 piece like a river
[31:44] i
[31:45] [Music]
[31:59] like a river i've got peace
[32:20] [Music]
[32:26] and
[32:30] [Music]
[32:40] i've got
[32:42] [Music]
[32:52] [Music]
[32:55] like a river in my soul
[32:58] oh i've got peace like a river
[33:02] i've got peace like a river i've got
[33:05] peace
[33:06] like a river in my soul
[33:09] and i've got love like a mountain i've
[33:13] got love
[33:14] like a fountain i've got love like
[33:17] fountain in my soul
[33:19] [Music]
[33:20] yes i've got love like fountain i've got
[33:24] love like a fountain i've got love
[33:27] like a fountain in my soul
[33:30] and i've got joy like an ocean i've got
[33:34] [Music]
[33:36] joy
[33:40] [Music]
[33:51] beast one more time i've got peace like
[33:54] a river
[33:55] i've got peace like a river i've got
[33:58] peace like a river in my soul
[34:03] yes i've got peace like
[34:07] [Music]
[34:14] amen hallelujah praise the lord you got
[34:18] peace today
[34:20] man regardless of what old's going on
[34:22] around us amen we got peace today
[34:25] because we know the lord jesus he is our
[34:27] savior he is our lord he is our god
[34:30] amen let's turn over to psalm number
[34:32] 650.
[34:36] excuse me song number 650 all
[34:39] is well praise the lord that's the big
[34:42] part of having peace is knowing that all
[34:44] is well
[34:47] if you know all is well then you can
[34:50] have peace
[34:51] praise the lord amen number 650
[34:54] listening this i'm acing a
[34:56] verse or two i'm not sure i just if i'm
[34:59] singing and i just kind of do as i feel
[35:01] led so
[35:02] we'll just see what happens but we'll
[35:04] start with the course here
[35:05] amen just worship the lord today
[35:08] [Music]
[35:11] all is
[35:17] [Music]
[35:21] we have heard the message
[35:25] alone and all this way
[35:32] well there is a place
[35:36] a perfect rest behind the interval
[35:46] [Music]
[35:56] is
[35:58] [Music]
[36:03] we have heard the message
[36:07] alone and all is
[36:14] and there is that place
[36:17] of perfect rests behind the inner veil
[36:24] sorry
[36:28] [Music]
[36:34] now there's a story in the bible of
[36:38] elijah the shinomite woman
[36:41] and her son
[36:45] and the woman found favor
[36:48] with god so he gave her a song
[36:55] but while working in the fields
[36:58] the little boy had died but the woman's
[37:02] faith never failed
[37:05] even in death she testified that
[37:10] all this wares and our testimony today
[37:15] yes all is
[37:23] [Music]
[37:34] is
[37:37] [Music]
[37:48] little bright rest for
[37:51] all is well
[37:57] now things have not worked out
[38:01] like god's people fall
[38:06] for we're still here and we're fighting
[38:11] the greatest battle will ever fall
[38:16] but if we'll have the faith
[38:20] of abraham knowing god's word never
[38:25] fails
[38:26] if we'll trust in him we'll find that
[38:32] all is where yes lord jesus
[38:36] all is
[38:46] we have heard the message
[38:50] alone and all is well
[38:57] and there is that place
[39:00] a perfect breast behind the inner veil
[39:07] so rest little bright
[39:11] rest for all is where
[39:17] amen praise the lord jesus
[39:21] there's that perfect rest amen where do
[39:24] you find it
[39:25] you find it behind that veil
[39:29] you find it in christ amen that's where
[39:32] that rest is today praise the lord
[39:34] it's in jesus christ amen help us to get
[39:38] beyond that veil today
[39:40] help us lord to see past all the flesh
[39:42] and all the things of the world and all
[39:44] the chaos that's going on
[39:45] enter into that rest amen that is jesus
[39:48] christ
[39:49] praise the lord one more before we go to
[39:51] the lord in prayer now number 469
[39:54] amen 469 i'll praise him
[39:57] wherever i go amen my whole life
[40:01] let my life praise the lord jesus amen
[40:08] praise the lord 469.
[40:13] thank you jesus
[40:15] [Music]
[40:17] wherever i go praise him for his love
[40:27] surrounds me like
[40:31] i'll praise the name of jesus
[40:38] [Music]
[40:50] whenever i can i'll praise him
[41:07] [Music]
[41:16] i'll praise him whenever
[41:19] [Music]
[41:31] jesus lift up the name of
[41:34] jesus for the name of jesus
[41:42] wherever i go i'll praise him whenever i
[41:46] can
[41:48] i'll praise him for his law
[41:51] surrounds me like a sea
[41:55] i'll praise the name of
[42:00] jesus
[42:02] [Music]
[42:11] amen glory to god hallelujah thank you
[42:15] jesus
[42:16] praise your name jesus wonderful
[42:19] matchless savior
[42:20] glory to his wonderful name hallelujah
[42:23] don't you love him today saints
[42:25] amen he's worthy of all of our praise
[42:28] amen
[42:29] praise the lord god not that makes my my
[42:31] praise doesn't make him any better or
[42:33] less
[42:34] amen but he's more than worthy of all of
[42:36] our praise today
[42:38] thank you jesus amen whether it's in
[42:40] this building whether it's in another
[42:42] facility
[42:43] wherever it is we're going to praise the
[42:45] lord jesus amen we're going to expect
[42:47] the visitation of his holy spirit
[42:49] we're going to expect the miracles to
[42:51] happen and continue to work in our lives
[42:53] amen
[42:54] he's the same yesterday today and amen
[42:58] praise the lord jesus
[42:59] god bless you today we have a a couple
[43:02] prayer requests i have here
[43:03] uh one i believe this one's sister lydia
[43:06] uh
[43:06] prayer request asking prayer for niece's
[43:09] son zach
