################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-02-03 - TT Thursday February 3rd, 2022 10 AM Memorial Service - Unknown Speaker.txt
Video ID: zNreRJRzLtU
Segments: 1359
URL: https://www.youtube.com/watch?v=zNreRJRzLtU
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:11] [Music]
[0:27] [Music]
[0:45] [Music]
[0:55] hey
[0:58] [Music]
[1:12] hmm
[1:18] [Music]
[1:46] [Music]
[1:52] [Music]
[2:11] [Music]
[2:20] [Music]
[2:44] [Music]
[3:00] [Music]
[3:12] [Music]
[3:18] [Music]
[3:25] do
[3:30] [Music]
[3:36] [Music]
[4:08] [Music]
[4:29] [Music]
[4:45] [Music]
[5:02] do
[5:15] [Music]
[6:01] [Music]
[6:27] i'm always
[6:29] [Music]
[6:34] always
[6:36] [Music]
[6:53] oh
[6:55] [Music]
[7:27] me
[7:28] [Music]
[7:31] is
[7:35] [Music]
[7:45] [Music]
[7:50] oh
[7:54] [Music]
[8:04] [Music]
[8:16] [Music]
[8:51] [Music]
[9:02] [Music]
[13:04] [Music]
[13:11] [Music]
[13:30] [Music]
[13:41] [Music]
[14:57] [Music]
[15:06] [Music]
[15:20] [Music]
[15:39] [Music]
[15:51] [Music]
[16:04] [Music]
[16:28] do
[16:31] [Music]
[16:39] [Music]
[16:46] [Music]
[16:55] [Music]
[17:14] [Music]
[17:25] do
[17:52] do
[17:55] [Music]
[18:06] do
[18:15] [Music]
[18:25] hey
[18:33] [Music]
[18:48] so
[18:58] [Music]
[19:03] do
[19:21] [Music]
[19:28] [Music]
[19:51] you
[20:02] [Music]
[20:05] hello
[20:23] see
[20:32] [Music]
[20:43] [Music]
[20:54] can't be all there is to
[21:04] now my head
[21:12] [Music]
[21:21] just what i can see
[21:31] [Music]
[21:42] hi
[21:44] me
[22:07] hi
[22:16] me
[22:42] me
[23:03] [Music]
[25:32] so
[25:43] [Music]
[28:07] so
[28:10] [Music]
[28:49] [Applause]
[28:49] [Music]
[29:36] [Applause]
[29:38] [Music]
[29:54] so
[29:56] [Music]
[32:46] so
[33:01] [Music]
[35:12] do
[35:23] [Music]
[37:26] so
[37:41] do
[37:42] [Music]
[37:56] do
[38:08] do
[38:17] [Music]
[38:57] so
[39:26] [Music]
[40:14] so
[40:20] [Music]
[40:55] so
[40:59] [Music]
[41:02] [Applause]
[41:03] [Music]
[41:48] so
[41:54] [Music]
[43:44] so
[43:59] do
[44:16] [Music]
[44:27] so
[45:20] [Music]
[46:31] so
[46:34] [Music]
[47:13] so
[47:15] [Music]
[47:40] [Applause]
[48:00] [Music]
[48:09] do
[48:13] [Music]
[48:22] so
[48:51] so
[49:06] do
[49:10] [Music]
[49:19] so
[49:23] [Applause]
[49:29] [Music]
[50:01] do
[50:26] [Music]
[50:32] so
[50:41] [Music]
[51:10] one
[51:24] let's buy our hearts before the lord
[51:26] father we thank you for all that you've
[51:28] done all that you're doing now and all
[51:31] that you're going to do
[51:32] at this time lord has become to
[51:35] celebrate the life of a family member a
[51:37] loved one friend uncle whatever it might
[51:40] be
[51:41] it's true lord that our hearts are
[51:43] hurting and our hearts are broken and
[51:45] lots of questions in our minds so father
[51:47] would ask lord is that you would come
[51:49] and you would be the comfort that you
[51:51] promised you would be
[51:53] he said that you would send the father
[51:54] would send the comforter to comfort us
[51:56] in all things yes
[51:58] and so now that we're here we're
[51:59] gathered together
[52:01] knowing lord that there's going to be an
[52:02] emptiness a void that's something
[52:04] missing i pray dear god that you would
[52:07] feel that void
[52:09] as you have filled it so many times for
[52:10] so many others
[52:12] we not walk out of here lord depressed
[52:14] or crying but
[52:15] but crying with joy that we knew the
[52:17] brother that we knew who david was and
[52:19] that we know we'll see him again
[52:21] so father please lord touch each heart
[52:23] today and we welcome your presence above
[52:26] all things
[52:27] and everything we give you thanks the
[52:29] good times bad times uncertain times
[52:31] everything we do we thank you we praise
[52:32] you
[52:33] and we love you
[52:35] thank you for this life and thank you
[52:36] for the opportunity still to be able to
[52:39] come together in your house
[52:41] we accept your presence lord and we
[52:42] praise your name in jesus christ's name
[52:45] for there is none greater amen amen
[53:40] obstacles
[53:54] alegria
[54:36] appreciable
[55:18] virginia cinco hermanas
[55:22] marianne
[55:23] ruby marilyn
[55:25] christine ibeki nueve nietos
[55:30] michael emily
[55:32] bethany lisa amanda
[55:35] armando
[55:36] david iii
[55:38] sergio and camila
[55:40] tambien
[55:44] jesus diego charlie
