date,status,speaker,title,url,last_checked,language,type,description,duration,church
2026-01-11,No Transcript,Daniel Evans,To Judge or Not to Judge: Daniel Evans,https://www.youtube.com/watch?v=WuGgz0ZllA8,2026-01-12,Unknown,Church Service,"Sunday, January 11th 10AM 2026. Pastor Daniel Evans continues on the Sermon on the Mount series with Matthew 7:1-5, judge not that ye be not judged.",65,Tucson Tabernacle
2026-01-10,Success,Gilbert,Memorial Service for Gilbert Nathan Valenzuela,https://www.youtube.com/watch?v=eYYrudTt7N4,2026-01-12,Unknown,Memorial Service,,,Tucson Tabernacle
2026-01-09,Success,Aaron Guerra,Ye Are The Temple Of The Holy Ghost Aaron Guerra,https://www.youtube.com/watch?v=MqRUQ4ZVj3U,2026-01-10,Unknown,Church Service,,82,Tucson Tabernacle
2026-01-05,Success,Lyle Johnson,Communion Lyle Johnson,https://www.youtube.com/watch?v=qAMrJ4DC6Fs,2026-01-10,Unknown,Communion Service,,50,Tucson Tabernacle
2026-01-05,Success,Daniel Evans,Be An Angel Of Hope Daniel Evans,https://www.youtube.com/watch?v=BgRXbyZ7RCY,2026-01-10,Unknown,Church Service,,71,Tucson Tabernacle
2025-12-28,Success,Daniel Evans,Anxiety and the Love of Money Daniel Evans,https://www.youtube.com/watch?v=9lt9S_myYnE,2026-01-06,Unknown,Church Service,,107,Tucson Tabernacle
2025-12-22,Success,Daniel Evans,Youth Church Elijah Murray and Daniel Evans,https://www.youtube.com/watch?v=Og_x6SlNxl4,2026-01-06,Unknown,Short Clip,,56,Tucson Tabernacle
2025-12-21,No Transcript,Daniel Evans,God Gives The Best Gifts: Daniel Evans,https://www.youtube.com/watch?v=2Z1-3PrBOhM,2026-01-06,Unknown,Christmas Program,"Sunday, December 21st 10AM 2025. Pastor Daniel Evans ministers on the Christmas story in Matthew 1-2 and Luke 1.",88,Tucson Tabernacle
2025-12-15,Success,Joel Gallant,Waiting on the Lord Joel Gallant,https://www.youtube.com/watch?v=8lgKLc6wvFo,2026-01-06,Unknown,Church Service,,72,Tucson Tabernacle
2025-12-14,Success,Joel Gallant,Church in Midian Joel Gallant,https://www.youtube.com/watch?v=Vr_DOgeUMBw,2026-01-06,Unknown,Church Service,,91,Tucson Tabernacle
2025-12-11,Success,Lyle Johnson,House of Worship Pt2 Lyle Johnson,https://www.youtube.com/watch?v=BiCtp_DLGmk,2026-01-10,Unknown,Church Service,,73,Tucson Tabernacle
2025-12-08,Success,Daniel Evans,"Check Your Motives, Matthew 61-7 Daniel Evans",https://www.youtube.com/watch?v=6VMpQ_zy_AY,2026-01-12,Unknown,Church Service,,75,Tucson Tabernacle
2025-12-04,Success,Lyle Johnson,Lyle Johnson House of Worship,https://www.youtube.com/watch?v=Bzdbn4uCADU,2026-01-10,Unknown,Church Service,,72,Tucson Tabernacle
2025-11-30,Success,Daniel Evans,Offer a Sacrifice of Thanksgiving Daniel Evans,https://www.youtube.com/watch?v=1r24xVtfy3I,2026-01-06,Unknown,Thanksgiving Service,,80,Tucson Tabernacle
2025-11-23,Success,Daniel Evans,"Dedicating the True Tabernacle, Tucson Tabernacle Church Dedication, Day 3 Daniel Evans",https://www.youtube.com/watch?v=N4ifq1b_FHo,2026-01-06,Unknown,Church Service,,106,Tucson Tabernacle
2025-11-23,Success,Steeve Brisson,"Tucson Tabernacle Church Dedication, Day 2, Healer of the Broken Pieces Steeve Brisson.",https://www.youtube.com/watch?v=_BdzJ47BDIE,2026-01-12,Unknown,Church Service,,137,Tucson Tabernacle
2025-11-22,No Transcript,Daniel Evans,"Testimonies from the Congregation, Tucson Tabernacle Church Dedication, Day 1",https://www.youtube.com/watch?v=77UUmlb6h6Q,2026-01-06,Unknown,Testimonies,"Friday, November, 21,  7 PM 2025. Pastor Daniel Evans introduces 5 members of the Tucson Tabernacle to give testimony of what the Lord has done for them over the past few years. At the end of service, Pastor Steeve Brisson from Quebec ministers on reaching out to the lost and not losing our compassion for the Great Commission because of elitism.",131,Tucson Tabernacle
2025-11-19,Success,Daniel Evans,What House Will You Build Me Laying a Foundation for the Dedication Daniel Evans,https://www.youtube.com/watch?v=_ukKW_3ncyc,2026-01-06,Unknown,Short Clip,,51,Tucson Tabernacle
2025-11-16,Success,Daniel Evans,Respecting the Gifts of Others Daniel Evans,https://www.youtube.com/watch?v=jJ8NvVK_wwk,2026-01-12,Unknown,Church Service,,62,Tucson Tabernacle
2025-11-16,Success,Daniel Evans,Persecution of the Saints and Standing on the Word of God Daniel Evans,https://www.youtube.com/watch?v=I-HYR1ldGK0,2026-01-12,Unknown,Church Service,,60,Tucson Tabernacle
2025-11-13,Success,Aaron Guerra,The Joy of the Lord is my Strength Aaron Guerra,https://www.youtube.com/watch?v=lyW1C-pVqrI,2026-01-06,Unknown,Church Service,,76,Tucson Tabernacle
2025-11-06,Success,Lyle Johnson,Jehovah of the Old is Jesus of the New Lyle Johnson,https://www.youtube.com/watch?v=mvPNfRqCVGg,2026-01-10,Unknown,Church Service,,62,Tucson Tabernacle
2025-11-07,Success,Daniel Evans,Discussion on Tithing Daniel Evans,https://www.youtube.com/watch?v=SvcVZhiyO6M,2026-01-06,Unknown,Short Clip,,44,Tucson Tabernacle
