Sermon Date,Sermon Title,Speaker,YouTube URL,TT Website URL
2025-11-23,"Tucson Tabernacle Church Dedication, Day 2, Healer of the Broken Pieces: Steeve Brisson.",Steeve Brisson,https://www.youtube.com/watch?v=_BdzJ47BDIE,https://www.tucsontabernacle.com/archive_sermons/built-from-brokenness/
2025-11-23,"Dedicating the True Tabernacle, Tucson Tabernacle Church Dedication, Day 3: Daniel Evans",Brother Daniel Evans,https://www.youtube.com/watch?v=N4ifq1b_FHo,https://www.tucsontabernacle.com/archive_sermons/dedicate-the-tabernacle/
2025-11-19,What House Will You Build Me? Laying a Foundation for the Dedication: Daniel Evans,"Brother Branham, Brother Daniel Evans",https://www.youtube.com/watch?v=_ukKW_3ncyc,https://www.tucsontabernacle.com/archive_sermons/tape-service-dedication/
2025-11-16,Persecution of the Saints and Standing on the Word of God: Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=I-HYR1ldGK0,https://www.tucsontabernacle.com/archive_sermons/persecution-of-the-saints-and-standing-on-the-word/
2025-11-16,Respecting the Gifts of Others: Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=jJ8NvVK_wwk,https://www.tucsontabernacle.com/archive_sermons/respecting-the-gifts-of-others/
2025-10-23,You Were Born to Worship: Josiah Aho,Brother Josiah Aho,https://www.youtube.com/watch?v=ng0P-Qq6FhY,https://www.tucsontabernacle.com/archive_sermons/you-were-born-to-worship/
2025-10-19,"Cut It Out and Cast It Away, Matthew 5:29-32: Daniel Evans",Brother Daniel Evans,https://www.youtube.com/watch?v=DJRdnwh4p74,https://www.tucsontabernacle.com/archive_sermons/cut-it-out-and-cast-it-away/
2025-10-15,Praise and Worship: Brother Lyle Johnson,Brother Lyle Johnson,https://www.youtube.com/watch?v=s72kG1owx8U,https://www.tucsontabernacle.com/archive_sermons/a-study-on-praise-and-worship/
2025-10-08,Discussion on Spiritual Gifts and Bible Translations: Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=qWN1_0LG2Ow,https://www.tucsontabernacle.com/archive_sermons/a-discussion-on-spiritual-gifts-and-bible-translations/
2025-09-28,You Are the Salt of the Earth: Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=rWAiLWo9DAA,https://www.tucsontabernacle.com/archive_sermons/you-are-the-salt-of-the-earth/
2025-09-24,Discussion on Baptism: Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=S4GQMwyNlNY,https://www.tucsontabernacle.com/archive_sermons/discussion-on-baptism/
2025-09-21,The Beatitudes and the Christian Progression: Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=6Rf8lhGGCLs,https://www.tucsontabernacle.com/archive_sermons/the-beatitudes-and-the-christian-progression/
2025-09-17,Bro. Lyle Johnson: Praise,Brother Lyle Johnson,https://www.youtube.com/watch?v=LTQadzh-_lI,https://www.tucsontabernacle.com/archive_sermons/praise-2/
2025-09-11,Praise Pt1: Josiah Aho,Brother Josiah Aho,https://www.youtube.com/watch?v=rk-_hx4GFh8,https://www.tucsontabernacle.com/archive_sermons/praise-pt1/
2025-08-27,"Hezekiah, The Praying King: Daniel Evans",Brother Daniel Evans,https://www.youtube.com/watch?v=07l3F3kbkW8,https://www.tucsontabernacle.com/archive_sermons/hezekiah-the-praying-king/
2025-08-24,Once Saved Always Saved? Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=59IoC9wzWJE,https://www.tucsontabernacle.com/archive_sermons/once-saved-always-save/
2025-08-24,The Path to Worship is Through Humility: Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=tVzzDMCfqd0,https://www.tucsontabernacle.com/archive_sermons/the-path-to-worship-is-humility/
2025-07-06,Power in Forgiveness: Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=qAY-X84eokw,https://www.tucsontabernacle.com/archive_sermons/the-power-of-forgiveness/
2025-07-02,The Life of David Pt8: Lyle Johnson,Brother Lyle Johnson,https://www.youtube.com/watch?v=fvweZKBAGYs,https://www.tucsontabernacle.com/archive_sermons/the-life-of-david-pt8/
2025-06-25,The Life of Saul Pt3: Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=_TMNr9h4VLI,https://www.tucsontabernacle.com/archive_sermons/the-life-of-saul-pt3/
2025-06-22,Closing The Book of Colossians: Daniel Evans,"Brother Daniel Evans, Brother Lyle Johnson",https://www.youtube.com/watch?v=V9Oyy81EfF0,https://www.tucsontabernacle.com/archive_sermons/closing-the-book-of-colossians-47-18/
2025-06-22,Mutual Respect (Colossians 3 and 4): Daniel Evans,Brother Daniel Evans,https://www.youtube.com/watch?v=ldv2CWRK9X0,https://www.tucsontabernacle.com/archive_sermons/mutual-respect-colossians-312-4/
