################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-06-07 - Conquering Ourselves First Bro Jesus Salgado & Pastor Tito Moreira - Tito Moreira.txt
Video ID: C866E1mgTfg
Segments: 1793
URL: https://www.youtube.com/watch?v=C866E1mgTfg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:55] hola
[1:07] [Música]
[1:31] y
[1:36] i
[1:50] y él
[1:53] [Música]
[2:02] i
[2:08] [Música]
[2:34] i
[2:45] [Música]
[2:51] no no
[2:59] ah
[3:03] [Música]
[3:12] bien
[3:14] [Música]
[3:19] [Música]
[3:58] bueno
[4:01] i
[4:07] [Música]
[4:12] a
[4:12] [Música]
[4:45] y
[4:48] [Música]
[5:06] el amor
[5:18] bien
[5:25] y
[5:29] [Música]
[5:30] ah
[5:34] ah
[5:37] ah
[5:40] [Música]
[6:06] ah
[6:08] ah
[6:09] [Música]
[6:19] dónde
[6:25] [Música]
[6:28] ah
[6:28] [Música]
[6:33] i
[6:39] [Música]
[8:23] [Música]
[8:33] ah
[8:37] y
[8:46] bueno
[9:02] [Música]
[10:19] ah
[10:21] e
[10:26] no
[10:28] [Música]
[10:36] hola
[10:36] [Música]
[10:43] [Música]
[10:54] sí
[10:55] bueno
[10:57] [Música]
[11:01] y
[11:20] i
[11:22] [Música]
[11:26] i
[11:34] [Música]
[11:49] i
[11:51] ah
[12:02] [Música]
[12:13] ah
[12:16] i
[12:21] i
[12:26] i
[12:29] aquí
[12:41] ah
[12:44] e
[12:51] ah
[12:57] [Música]
[13:03] sí
[13:08] ah
[13:18] a
[13:27] [Música]
[13:37] y
[13:44] [Música]
[13:51] ah
[13:53] [Música]
[14:27] [Música]
[14:56] y
[15:02] i
[15:03] [Música]
[15:13] y
[15:30] o no
[15:38] [Música]
[15:40] ah
[15:43] i
[15:45] [Música]
[15:50] ah
[15:53] [Música]
[16:01] a
[16:08] y
[16:13] en mí
[16:17] i
[16:19] ah
[16:30] [Música]
[16:33] no no no
[16:37] ah
[16:39] [Música]
[16:52] ah
[16:55] bien
[16:57] i
[16:59] no
[17:01] i
[17:07] [Música]
[17:27] o no
[17:34] y
[17:37] i
[17:40] bien
[17:43] a
[17:45] ah
[17:47] [Música]
[17:58] [Música]
[18:04] ah
[18:09] ah
[18:10] ah
[18:13] i
[18:16] [Música]
[18:31] i
[18:43] a
[18:46] [Música]
[19:07] e
[19:07] [Música]
[19:32] ah
[19:35] [Música]
[19:55] i
[19:57] [Música]
[20:17] ah
[20:24] ah
[20:34] 1
[20:38] dólares
[20:40] [Música]
[21:07] [Música]
[21:20] y
[21:23] [Música]
[21:28] e
