################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-08-06 - Testimony Service Pastor Tito Moreira - Tito Moreira.txt
Video ID: xGuB5CSktSA
Segments: 1501
URL: https://www.youtube.com/watch?v=xGuB5CSktSA
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:04] hola
[0:08] [Música]
[0:55] no no
[1:01] [Música]
[1:16] [Música]
[1:28] ah
[1:32] ah
[1:40] [Música]
[1:56] sí
[1:57] [Música]
[2:02] ahora
[2:06] 2
[2:13] [Música]
[3:21] no
[3:23] i
[3:23] [Música]
[3:31] no
[3:33] [Música]
[3:57] i
[4:06] [Música]
[4:20] ah
[4:21] bien
[4:26] [Música]
[4:29] i
[4:32] [Música]
[4:45] i
[4:45] [Música]
[4:57] [Música]
[5:08] i
[5:11] i
[5:16] a
[5:24] y aquí
[5:33] y tú
[5:36] ah
[5:40] e
[5:46] bueno
[5:48] hola
[5:52] [Música]
[6:04] ah
[6:09] x
[6:10] d
[6:27] i
[6:32] i
[6:38] [Música]
[6:56] o
[7:06] bueno
[7:09] [Música]
[7:21] [Música]
[7:52] i
[7:59] [Música]
[8:08] y
[8:17] [Música]
[8:35] i
[8:38] ah
[8:40] [Música]
[8:46] ah
[8:49] ah
[8:56] e
[9:02] no
[9:04] y
[9:08] el mismo
[9:11] i
[9:15] ah
[9:26] [Música]
[9:28] 1
[9:33] ah
[9:36] i
[9:38] [Música]
[9:40] o no
[9:48] ah
[9:50] [Música]
[10:30] y
[10:35] bien
[10:38] ah
[10:41] a
[10:44] [Música]
[10:55] d
[10:58] [Música]
[11:04] ah
[11:05] ah
[11:08] ah
[11:12] [Música]
[11:38] ah
[11:41] [Música]
[12:02] i
[12:03] [Música]
[12:27] i
[12:30] [Música]
[13:20] ah
[13:21] [Música]
[13:33] hola
[13:41] [Música]
[14:06] i
[14:09] [Música]
[14:16] y así
[14:18] [Música]
[14:28] a
[14:30] [Música]
[14:36] no
[14:38] [Música]
[14:46] y
[14:49] [Música]
[14:58] ah
[15:03] i
[15:10] [Música]
[15:40] y
[15:45] ah
[15:50] [Música]
[16:00] ah
[16:02] i
[16:07] i
[16:12] y él
[16:22] y
[16:28] [Música]
[16:54] y
[16:57] [Música]
[17:07] bueno
[17:10] [Música]
[17:22] i
[17:27] ah
[17:33] [Música]
[17:43] bien
[17:45] bien
[17:47] [Música]
[18:19] [Música]
[18:34] e
[18:36] [Música]
[18:40] y
[18:45] [Música]
[18:55] i
[18:57] [Música]
[18:59] bien
[19:00] [Música]
[19:02] y
[19:05] cuenta
[19:07] [Música]
[19:13] [Música]
[19:21] [Música]
[19:32] [Música]
[19:48] [Música]
[19:50] no
[19:54] [Música]
[20:09] e
[20:11] [Música]
[20:18] [Música]
[20:21] y
[20:23] se pone de pie hermanos no hay del orbe
[20:33] he dicho libre
[20:39] by the norway
[20:42] [Música]
[20:43] dormir
[20:45] por ti
[20:49] cosas
[20:55] mirarlo con más alma
[21:01] a
[21:05] 3 de vida
[21:08] coma y salva
[21:10] [Música]
[21:13] glory clarito
[21:19] serveis
[21:25] d
[21:29] y
[21:34] por cosas
[21:38] barba
[21:40] es debido agua normalmente que no sea
[21:48] en ese vida rne3 de vida
[21:52] tomás alma
[21:55] [Música]
[21:58] vaya vaya
[22:04] pero no hay ni
[22:09] bajo la hierba y cisne
[22:14] por probar en vaina
[22:18] y cosas
[22:25] de mirarlo con más calma ya no sea
[22:33] les olvida hablar de su vida
[22:39] alves de one more time'
[22:44] mi valor web
[22:48] por ti
[22:50] mejor dicho siempre
[22:53] a mi vida
[22:59] corregir
[23:04] cosas
[23:06] no
[23:08] evitarlas
[23:10] recibida la copa y salve
[23:15] cosas
[23:19] mirar
[23:21] es evitar la toma y salva
[23:30] sean todos bienvenidos a la casa del
[23:32] señor
[23:36] vamos a cantar este canto de ese feeling
[23:39] in the air'
[23:45] [Música]
[23:48] de safi link de la cabecera
[23:54] el mismo es sólo el agua es móvil
[24:00] allí está mi correo
[24:05] de xavi límite
[24:08] la cara de mi web de chismes sobre el
[24:13] agua lo mismo de mi desagüe está china
[24:17] ni gloria
[24:24] bailar
[24:28] bye
[24:32] en resumen el agua no es muy inestable
[24:37] de allí no hay ni problemas
[24:44] para este modelo
[24:51] este
[24:53] géminis resurrección de agua
[24:57] mismo tienes agua machista
[25:04] el verso feeling dacareth everywhere en
[25:10] resumen no es momento de agua
[25:16] baby one more time de estabilidad en el
[25:23] que aparece el término sobre el agua es
[25:29] muy bien one day in spain in global
[25:39] este dolor bucle
[25:46] [Música]
[25:53] quizás my baby lores
[25:58] a google
[26:02] modelo
[26:06] d
[26:10] [Música]
[26:13] agua
[26:22] con esta
[26:24] este canto vamos a recibir la palabra y
[26:27] los testimonios que se van a estar
[26:29] llevando
[26:32] dígale a su vecino
[26:34] es un gusto estar aquí en la iglesia y
[26:36] en la casa de nuestro señor jesucristo
[26:42] [Música]
[26:49] por miedo
[26:55] feliz
[26:57] no triste
[27:00] esa tú habrás
[27:04] no habrá no
[27:07] pedí calor
[27:11] no habrá ya
[27:14] dormí dolor
[27:21] por siempre ahí
[27:24] y
[27:25] aquí
[27:28] el reino feliz
[27:31] qué gran día
[27:35] glorioso día
[27:38] sera
[27:43] de gloria
[27:46] el día será
[27:50] cuando a mí jesús veres
[27:56] y ayer
[27:59] me acordé plan
[28:03] ayer por grado
[28:06] ya me salvó
[28:10] en la mano
[28:13] me tomara
[28:17] está bien
[28:19] y ahora
[28:22] de gracia
[28:26] por eso día
[28:30] sera
[28:34] a bryant
[28:38] especial
[28:41] no más acá
[28:44] vargas que llevaba
[28:48] otra vez
[28:50] daña presión
[28:54] me llamas
[28:57] separación
[29:01] estaré
[29:03] por siempre ahí con el qué
[29:10] y murió por mí
[29:13] qué gran día
[29:17] glorioso día
[29:21] era
[29:25] de gloria
[29:28] suele hacer
[29:31] cuando a mí
[29:34] jesús veres
[29:38] nijmeijer
[29:41] ve a contemplar
[29:44] para que fuera
