################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-08-08 - Quien Decis TU Que Soy Yo Diego Moreno & Marcial Tapia - Marcial Tapia.txt
Video ID: PQ68ayzHbnk
Segments: 1615
URL: https://www.youtube.com/watch?v=PQ68ayzHbnk
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] ah
[0:00] [Música]
[0:10] i
[0:13] [Música]
[0:30] i
[0:42] y más
[0:46] [Música]
[0:53] no no
[0:54] [Música]
[2:32] o
[2:37] [Música]
[2:50] más
[2:56] [Música]
[3:01] ah
[3:04] [Música]
[3:19] más
[3:24] ah
[3:25] [Música]
[3:30] i
[3:31] [Música]
[3:42] las
[3:44] [Música]
[3:46] y
[3:47] [Música]
[4:13] [Aplausos]
[4:18] ah
[4:22] i
[4:24] y
[4:26] [Música]
[4:30] es
[4:31] [Música]
[4:35] y
[4:39] ah
[4:45] [Música]
[4:54] [Música]
[5:01] a
[5:02] [Música]
[5:10] i
[5:12] [Música]
[5:49] o
[5:59] [Música]
[6:35] a
[6:37] ah
[6:42] ah
[6:48] [Música]
[7:04] i
[7:10] [Música]
[7:27] ah
[7:29] [Música]
[7:43] i
[7:51] i
[7:56] [Música]
[9:41] [Música]
[10:39] i
[10:43] ah
[10:45] a
[10:50] ah
[10:58] [Música]
[11:14] ah
[11:16] y
[11:20] i
[11:22] y
[11:24] [Música]
[13:00] [Música]
[13:36] y
[13:37] [Música]
[13:42] i
[13:45] [Música]
[14:04] y
[14:05] [Música]
[14:11] i
[14:14] i
[14:17] [Música]
[14:38] ah
[14:39] [Música]
[14:54] ah
[15:00] [Música]
[15:38] ah
[15:40] [Música]
[16:06] i
[16:10] ah
[16:13] [Música]
[16:33] [Música]
[16:44] más
[16:46] [Música]
[16:51] ah
[16:51] [Música]
[17:38] hoy
[17:49] ah
[17:54] y
[17:58] ah
[18:01] y
[18:08] [Música]
[18:24] e
[18:32] a
[18:32] [Música]
[18:34] i
[18:38] [Música]
[20:09] y
[20:16] [Música]
[20:24] [Música]
[20:36] y
[20:40] [Música]
[20:45] a
[20:47] ah
[20:49] [Música]
[20:52] ah
[20:55] ella
[20:57] [Música]
[21:03] e
[21:07] i
[21:07] [Música]
[21:15] y
[21:15] [Música]
[21:32] i
[21:35] [Música]
[21:51] i
[21:53] a
[22:00] [Música]
[22:12] ah
[22:14] [Música]
[22:55] y
[22:57] [Música]
[23:09] [Música]
[23:22] ah
[23:24] [Música]
[24:00] y
[24:04] [Música]
[24:12] ah
[24:14] [Música]
[24:32] hola
[24:42] [Música]
[24:56] 1
[24:57] [Música]
[25:16] 2
[25:18] y
[25:26] ah
[25:37] [Música]
[26:21] [Música]
[26:36] [Música]
[26:38] no no
[26:40] [Música]
[26:48] [Música]
[26:49] no
[26:53] [Música]
[27:09] [Música]
[27:17] [Música]
[27:22] ah
[27:25] [Música]
[27:49] [Música]
[27:52] una vez y para definir las armas de
[27:56] fuego en el pie por la mitad
[28:00] y sí
[28:03] 4
[28:09] [Música]
[28:15] fuerza
[28:24] [Música]
[28:28] flores
[28:31] lucero web
[28:36] también dice
[28:39] quizás qué
[28:41] y voy a tratar
[28:44] esto fue cuando mi hermana
[28:49] hoy ya no
[28:52] chao
[28:54] y fue al despacho
[28:59] amanecer
[29:02] de experiencia
[29:06] hoy no son turistas
[29:12] howard webb
[29:15] es para después mi intención
[29:20] desde caché valores
[29:27] [Música]
[29:30] por éste
[29:32] yo sé lo bueno
[29:35] es myspace está la huerta ni leche
[29:42] [Música]
[29:46] y entonces
[29:53] [Música]
[29:55] cuando vinieron a darle
[30:13] raysa me enamoré
[30:16] 2
[30:23] en cuenta
[30:25] 1
[30:28] [Música]
[30:33] no no no
[30:40] ah
[30:43] más de vuelta santos m
[30:57] sí
[30:59] [Música]
[31:06] no hay examen
[31:08] ni la mente
[31:16] a raíz de muertos
[31:20] a ver
[31:23] p
[31:24] más
[31:26] no hace el amor y vuelve menos
[31:34] más
[31:36] lo que cuenta el santos
[31:42] -sector y es más y más
[31:47] vecchioni today
[31:55] [Música]
[31:57] todo el sitio
[32:02] happiness es más
[32:04] en happiness is my happiness today
[32:12] a
[32:17] a ti
[32:22] soy yo
[32:33] 6
[32:37] el sol
[32:42] como digo que es más lógico
[32:48] 2
[32:52] ay
[32:57] cuando unidos
[33:03] en este caso pueden tomar su asiento
[33:07] tenemos un especial
[33:17] y
[33:23] ah
[33:26] ya le salían manos
[33:28] i
[33:30] [Música]
[33:48] e
[33:54] [Música]
[34:00] [Aplausos]
[34:02] i
[34:06] [Música]
[34:13] i
[34:18] de día
[34:21] [Música]
[34:30] y dime
[34:34] y yo
[34:39] [Música]
[34:40] digamos
[34:43] [Música]
[34:53] hoy es martes
[34:57] [Música]
[35:00] no
[35:06] la mente
[35:08] [Música]
[35:21] [Música]
[35:25] y
[35:27] [Música]
[35:41] i
[35:43] [Música]
[36:00] no
[36:02] [Aplausos]
[36:03] [Música]
[36:11] qué
[36:16] [Música]
[36:22] [Música]
[36:28] pero mi casa
[36:34] [Música]
[36:38] no
[36:39] [Música]
[36:53] [Aplausos]
[36:58] [Música]
[37:07] bien
[37:08] [Música]
[37:17] se pueden poner de pie
[37:30] hermosa
[37:36] [Música]
[37:39] ciudad
[37:48] uy
[37:50] [Música]
[37:52] ah
[37:56] no
[37:58] [Música]
[38:16] vamos
[38:19] cómo
[38:22] [Música]
[38:26] dónde
[38:30] cómo
[38:36] o
[38:37] [Música]
[38:39] hoy
[38:41] actividad
[38:43] hoy
[38:43] [Risas]
[38:45] [Música]
[38:48] yo
[38:54] buen día
[38:57] 2
[38:59] sí
[39:01] [Música]
[39:02] [Aplausos]
[39:08] el joven nativo
[39:12] yo
[39:14] [Música]
[39:16] alto
[39:17] hastío
[39:23] y nadie
[39:29] sí
[39:30] en mano
[39:34] [Música]
[39:38] ay qué sexo
[39:41] e
[39:51] [Música]
[39:54] y no fui
[39:59] su amiga
[40:07] más
[40:11] e
[40:12] [Música]
[40:13] sí
[40:15] [Música]
[40:23] la cima
[40:25] [Música]
[40:28] e
[40:30] yo sé
[40:31] [Música]
[40:34] no
[40:38] uy
[40:39] y aunque
[40:45] uy
[40:51] ando
[40:53] buenos días
[40:55] [Música]
[40:59] en manos
[41:03] o
[41:07] a ti
[41:10] sí
[41:12] [Música]
[41:14] buenas
[41:17] yo
[41:21] cuando oí
[41:26] [Música]
[41:36] por sentido hermanos
[41:41] bueno estar en las casas del señor
[41:44] en target mínima
[41:47] si pueden voltear conmigo sus biblias al
[41:50] libro de lucas
[41:53] capítulo nueve versículo 20
[42:05] en seguida
[42:10] piretrinas enterprise
[42:15] él les dijo y vosotros quién decís que
[42:18] soy entonces respondiendo pedro dijo el
[42:21] cristo de dios
[42:24] incluso no sólo conmigo vamos a orar lo
[42:27] dices padre celestial
[42:34] señor ya no así que usted nos habla en
[42:36] esta noche es libre
[42:38] santín familia y que nos puedan podamos
[42:42] ir con algo de parte de usted señor
[42:46] lo pedimos todo en el nombre del señor
[42:48] jesucristo
[42:50] amén
[42:54] y vamos a estar hablando del tema quien
[42:57] soy delincuente en el rubial y por qué
[43:02] es importante saber quiénes somos
[43:09] y puede tomar sus 200 hermanos
[43:12] perdónenme
[43:17] aunque será un
[43:22] la pregunta porque es importante saber
[43:25] quiénes somos
[43:30] y yo creo que es importante saber quién
[43:32] es usted porque usted es concebido en
[43:35] una identidad de pecado
[43:37] reverter vitalicio y no te tiene que
[43:40] enseñar cómo pegar justin haythe esa es
[43:44] su naturaleza
[43:48] el sabor ni así es como nacimos como
[43:51] venimos al mundo desde visiones de la
[43:55] biblia dice que cada pecador debe de
[43:57] morir altar con dices game y community
[44:00] máximo
[44:01] así es como dios vino a redimirnos
[44:03] verdad
[44:05] es algo muy más vivo de espn
[44:08] y debemos de renacer del espíritu de
[44:11] dios
[44:15] kings esta identidad es la que nos hace
