################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-09-17 - Apocalipsis 1 Parte 5 Pastor Tito Moreira - Tito Moreira.txt
Video ID: kFChIQGA2V8
Segments: 1519
URL: https://www.youtube.com/watch?v=kFChIQGA2V8
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:14] bueno
[0:16] e
[0:18] [Música]
[0:29] i
[0:31] [Música]
[0:33] bueno
[0:34] [Música]
[1:05] i
[1:09] [Música]
[1:28] ah
[1:30] i
[1:32] i
[1:37] i
[1:39] i
[1:41] y
[1:43] [Música]
[1:46] y
[2:00] a
[2:04] a
[2:05] [Música]
[2:09] y
[2:14] y
[2:15] [Música]
[2:21] i
[2:24] e
[2:26] [Música]
[2:49] i
[2:54] [Música]
[3:00] i
[3:00] [Música]
[3:05] i
[3:06] [Música]
[3:12] ah
[3:16] [Música]
[3:31] o
[3:35] e
[3:36] [Música]
[3:45] ah
[3:45] [Música]
[4:07] e
[4:12] e
[4:17] i
[4:24] [Música]
[4:28] i
[4:29] e
[4:31] [Música]
[4:47] y
[4:49] [Música]
[4:57] ah
[4:58] [Música]
[5:05] i
[5:08] [Música]
[5:10] y
[5:15] [Música]
[5:20] i
[5:23] i
[5:26] ah
[5:31] [Música]
[5:39] [Música]
[5:47] i
[5:50] [Música]
[5:54] ah
[5:58] [Música]
[6:00] a
[6:00] [Música]
[6:06] ah
[6:11] [Música]
[6:20] a
[6:21] [Música]
[6:34] [Música]
[6:55] a
[6:57] [Música]
[7:07] i
[7:07] [Música]
[7:16] ah
[7:23] más
[7:33] [Música]
[7:42] más
[7:43] [Música]
[7:46] más
[7:49] 2
[7:52] [Música]
[7:59] [Música]
[8:02] no
[8:06] [Música]
[8:13] i
[8:16] y más
[8:18] [Música]
[8:44] i
[8:48] ah
[8:51] [Música]
[9:11] [Música]
[9:28] y
[9:34] [Música]
[9:40] ah
[9:41] [Música]
[9:55] ah
[10:00] [Música]
[10:19] no
[10:27] ah
[10:32] i
[10:39] i
[10:43] e
[10:45] [Música]
[10:48] o no
[10:52] [Música]
[11:00] i
[11:02] y
[11:07] [Música]
[11:10] i
[11:12] i
[11:19] [Música]
[11:29] ah
[11:34] [Música]
[12:25] y
[12:28] [Música]
[12:47] a
[12:52] [Música]
[13:04] [Música]
[13:29] y
[13:32] a
[13:40] [Aplausos]
[13:50] sí
[13:55] [Música]
[14:05] [Aplausos]
[14:06] [Música]
[14:09] i
[14:10] 2
[14:11] [Música]
[14:31] i
[14:32] [Música]
[14:41] [Aplausos]
[14:43] [Música]
[14:48] entonces
[14:49] [Música]
[14:56] i
[15:03] [Música]
[15:08] i
[15:09] 2
[15:11] [Música]
[15:13] e
[15:18] y
[15:20] [Música]
[15:32] y
[15:38] sí
[15:42] 2
[15:42] [Música]
[16:00] 2
[16:01] e
[16:04] [Música]
[16:11] e
[16:18] [Música]
[16:44] [Música]
[16:51] [Música]
[16:56] o no
[16:58] no
[17:02] yo les bendigamos hermanos como están se
[17:06] puede poner de pie triste porque no le
[17:09] da un gloria a dios al escribir esta
[17:11] manera nuestro señor jesucristo después
[17:14] el vídeo me llama no es el bid m
[17:19] con quién subirá al monte de jehová
[17:24] o quién es su presencia
[17:30] pienso ver al monte de su santidad quien
[17:37] verá la gloria de su mano
[17:40] estas son limpios los limpios de mano
[17:45] que no han elevado su alma a la vanidad
[17:54] los que con engaños jamás han jurado
[18:00] porque aman la ley de jehová
[18:05] bienaventurado llena
[18:10] sus pecados
[18:12] borrados por siempre mejor siempre será
[18:17] porque habrán justicia son de dios
[18:22] amados por siempre nos respaldan no
[18:27] quieren subir al monte quien subirá al
[18:31] monte medio más
[18:34] ahora la del padre
[18:38] bestial
[18:41] tienen su santuario
[18:43] su gloria cantará
[18:47] y hermosura es usar los santificados
[18:53] cosas
[18:54] picado y ha sido llamado
[19:00] el siervo de jehová los que por la
[19:04] gracia los que por la gracia
[19:14] bienaventurado piernas
[19:17] aventurado
[19:19] el que ha guardado su alma
[19:27] el voluntario
[19:31] del pecado oyendo el amor no me
[19:36] levantaré señor me levantaré y si no vas
[19:45] seré cansado más piezas los montes se
[19:51] estremecen los mares se harán
[19:56] los pecadores no escapará
[20:01] y
[20:03] aventurado aquel que ha esperado unos
[20:08] días en el rey
[20:10] yo vas
[20:12] en su ley
[20:15] de día y de noche de bien prosperar
[20:21] para todos los regresos los cielos
[20:25] redimido por cristo
[20:28] seguidos
[20:34] a este perseguido
[20:41] queremos acción a morar
[20:46] que sos el nombre
[20:55] no
[20:56] como dulce
[20:59] no amarga
[21:03] de espesas
[21:06] veloz
[21:13] de espera
[21:19] sumo bien
[21:22] celestial
[21:25] es jesús el salvador
[21:31] de jesús el nombre a 2
[21:36] por qué
[21:39] el alma
[21:44] curvas
[21:49] estilo y suave
[21:55] buenos días
[21:57] de esperanza
[22:05] [Aplausos]
[22:09] es jesús el salvador de jesús el nombre
[22:21] sí
[22:27] el sepulcro nueva memoria dios
[22:33] renovado nuestro ser
[22:38] un manantial
[22:41] de esperanza me llamo
[22:48] como bien
[22:52] es jesús el salvador
[23:00] es jesús el salvador no estás tan
[23:05] contento hermano eres para mí porque es
[23:09] jesús el salvador más obvio no es nadie
[23:12] más más que jesús un hombre viene listo
[23:18] para decir palabra de vida
[23:20] nunca vengo a escuchar adiós hermano al
[23:22] cambiar pero yo quiero que mi alma se ha
[23:25] saciado
[23:27] jaime vamos a estar recibiendo la
[23:29] palabra segundo gol
[23:30] vamos a cantar este cantito amado de mi
[23:33] alma la ayuda de cantarlo hermano que
[23:36] vivimos acá donde sigan el que ayúdenme
[23:39] pues
[23:41] y más
[23:45] el aire que respiro no los escucho no te
[23:50] necesito
[23:52] cada día más
[23:56] así es más
[24:00] que la naturaleza el sol y mucho más
[24:08] que los peces al mar
[24:13] o nada
[24:16] tendría sentido
[24:20] si tú no me rodearon y es con tu inmenso
[24:25] amor
[24:27] dígale conmigo
[24:31] la voz que mi corazón
[24:35] solo tú
[24:39] señor la puede estar
[24:42] es todo de mí
[24:47] de todo
[24:50] este mundo agoniza
[24:54] hundiendo en su programa
[24:57] tus hijos no tienen
[25:01] un lugar en donde reposar no hay donde
[25:06] ir
[25:08] todo es oscuridad
[25:12] o dígale
[25:14] eres
[25:16] la luz que me guía a mi hermano cuando
[25:20] el sombrío valle tengo que atravesar así
[25:27] es
[25:29] d
[25:32] ya no puedo caminar con la presencia
[25:38] tu aliento me da
[25:42] a modo de mirada
[25:45] es notable
[25:49] este mundo agoniza
[25:53] en su propia maldad
[25:56] tus hijos no tienen
[26:01] donde reposa
[26:04] dónde
[26:07] todo es oscuridad
[26:11] de mi alma
[26:17] ah
[26:21] con tu propia
[26:28] para entonces cosas no hay dónde
[26:36] todo es oscuridad ya tenemos esa última
[26:40] estrofa
[26:42] [Música]
[26:44] fuerte me atrapada
[26:48] que 10 no se alarme
[26:52] de tu lado' señor
[26:57] yo sé
[26:59] quiere el colmo me levantará
[27:04] y a parar
[27:07] y yo respondo a lo del día
[27:14] voy a contar
[27:17] el segundo agoniza
[27:22] aunque va en sus propias tus hijos no
[27:27] tiene lugar en donde reposar no hay
[27:33] dónde ir
[27:36] todo es oscuridad
[27:44] [Música]
[27:46] dios los bendiga hermanos biblia
[27:52] capítulo 1 estamos estamos contentos de
[27:58] ver happy
[28:00] de estar aquí y mirarlos a todos versión
[28:02] siguiente
[28:05] y que dios bendiga a los que nos miran
[28:06] por internet también vallejo vallejo
[28:17] simplemente creo que dios es bueno
[28:21] y ahí hay motivo porque estar
[28:24] agradecidos con dios
[28:26] tim howard en apocalipsis capítulo 1
[28:30] versículo 4 richard watt beresford y
[28:33] esto fue lo que hablamos la vez pasadas
[28:35] louis poco han visto a juan a las siete
[28:38] iglesias que están en asia donde saben
[28:42] ser escuchar nation no te está hablando
[28:44] en las siete iglesias no de espíritu de
[28:47] seven series
[28:49] y luego miramos qué dice gracia y paz a
[28:52] vosotros entonces grace
[28:55] quiere decir que estas siete iglesias
[28:57] sodi saben churchill tenían que ver con
[29:00] la gracia
[29:02] grace la dispensación de la gracia de
[29:05] expansión y crisis dice del que sí que
[29:08] era y que ha de venir y de los siete
[29:10] espíritus que están delante de su trono
[29:16] ford strong y de jesucristo el testigo
[29:19] fiel el primogénito de los muertos y el
[29:22] soberano de los reyes de la tierra
[29:30] al que nos amó y nos la voz de nuestros
[29:37] pecados con su sangre en guayas from our
[29:40] sites on board y nos hizo reyes y
[29:43] sacerdotes para dios su padre a él sea
[29:47] gloria e imperio por los siglos de los
[29:50] siglos amén
[29:52] 15
[30:00] gracias dios por tu misericordia el
[30:05] habernos llamado por tu gracia porque
[30:09] todavía y gracia es de gloria todavía en
[30:11] misericordia merci porque todavía
[30:13] podemos correr a ti y sólo han sido
[30:16] señor porque te pedimos en esta noche me
[30:20] haces inning que cualquier cosa que
[30:22] necesitemos en it in the week with the
[30:25] wind y que tú puedas estar obrando a
[30:26] través de la palabra
[30:28] y tú puedas suplir cada necesidad
[30:32] señor y que tú puedas abrir nuestros
[30:34] corazones mejor en nuestras mentes que
[30:38] podamos enfocarnos en ti señor
[30:41] hay muchos sucediendo en nuestras vidas
[30:43] hay muchas cosas alrededor de nosotros
[30:46] benítez grandes pero queremos enfocarnos
[30:49] en ti un buen enfoque sonido te lo
[30:51] pedimos en el nombre del señor los
[30:55] bendiga hermanos puedes tomar su lugar y
[30:57] me visita
[31:04] en esta
[31:05] en esta tarde decidí quiero comenzar con
[31:09] quiero brincar mensi
[31:12] al versículo 9 personas y que si tiene
[31:15] su biblia
[31:16] by volvamos a brincar nos el versículo
[31:18] 98 roble one persona pero lo que
[31:22] acabamos de leer
[31:23] willis reed y hay mucho acerca de la
[31:26] deidad
[31:28] en estos versículos en dos versos y
[31:32] luego en el versículo 7 y el 8 también
[31:34] tienen reserven e ides web pero pensé
[31:37] ahora sentí ahora a no enfocarme tanto
[31:40] en eso para todos
[31:42] porque su moción pero vamos a regresar
[31:44] tarde la siguiente vez
[31:47] a estos versículos y dos versos y hablar
[31:51] bastante acerca de la realidad es
[31:53] especulativo porque de eso se trata casi
[31:55] de sus versículos dos versos
[31:58] pero en esta en esta noche son infundios
[32:01] puesto en mi corazón
[32:02] hablar de de los siguientes versículos
[32:05] estamos jartos espigones next vers
[32:08] antes de continuar hablando acerca de la
[32:10] vida
[32:12] 19 dice yo juan bayón vuestro hermano y
[32:21] copartícipe vuestro en la tribulación
[32:26] interplay sión
[32:28] vamos a comenzar a western dice yo juan
[32:33] así comienza la carta a estas siete
[32:36] iglesias
[32:38] así es como él empieza a decirles a
[32:42] estos a estas personas que estaban
[32:47] pasando por tribulación estructurales y
[32:50] estaban pasando por un tiempo muy
[32:52] difícil
[32:55] el empieza esta esta carta
[32:59] y le dice yo juan y cesación vuestro
[33:03] hermano
[33:05] ahora juan noche manera muchas cosas
[33:08] john walsh minitti él era un discípulo
[33:11] del señor el dolor lo cual después llegó
[33:14] a ser apóstol del señor el camino
[33:16] póstumo
[33:17] él era un pastor abusivos o pastor de él
[33:20] él verdaderamente era un pastor a muchas
[33:24] iglesias suyo pastor tumini
[33:26] era un abismo a estas siete iglesias
[33:30] él era un teólogo
