################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-10-03 - Preparados Para El Mal Erik Sanchez & Gamaliel Martinez - Erik Sanchez.txt
Video ID: mh0zWf53dZ0
Segments: 1523
URL: https://www.youtube.com/watch?v=mh0zWf53dZ0
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:07] [Música]
[0:16] [Música]
[0:17] ah
[0:19] ah
[0:22] i
[0:23] [Música]
[0:43] ah
[0:47] bien
[1:05] no
[1:16] ah
[1:21] pero
[1:28] ah
[1:28] [Música]
[1:32] e
[1:35] [Música]
[1:43] [Música]
[1:50] [Música]
[2:05] ah
[2:08] ah
[2:14] a mí
[2:21] [Música]
[2:56] [Música]
[3:25] e
[3:28] ah
[3:38] [Música]
[3:44] [Música]
[3:50] más
[4:16] [Música]
[4:18] acá
[4:21] [Música]
[4:33] [Música]
[4:45] [Música]
[4:53] no
[4:54] [Música]
[5:02] bueno
[5:09] [Música]
[5:20] ah
[5:22] [Música]
[5:33] [Música]
[5:37] na
[5:46] bien
[5:48] ah
[6:02] que no
[6:09] y
[6:31] bien
[6:37] no
[6:43] y
[6:45] no
[6:49] [Música]
[7:01] ah
[7:04] [Música]
[7:12] [Música]
[7:16] más
[7:17] [Música]
[7:31] [Música]
[7:44] e
[7:48] [Música]
[7:51] e
[7:52] [Música]
[8:14] ah
[8:16] ah
[8:19] i
[8:27] ah
[8:33] ah
[8:39] [Música]
[8:50] ah
[8:52] [Aplausos]
[8:52] [Música]
[9:14] i
[9:17] aquí
[9:20] i
[9:32] ah
[9:37] y
[9:44] ah
[9:49] ah
[9:56] ah
[10:00] [Música]
[10:18] [Aplausos]
[10:20] e
[10:37] ah
[10:38] [Música]
[10:44] nada más
[10:49] [Música]
[10:52] [Aplausos]
[10:53] [Música]
[11:03] ah
[11:11] i
[11:18] ah
[11:22] [Música]
[11:39] i
[11:49] ah
[11:52] [Aplausos]
[12:06] a
[12:10] i
[12:10] [Música]
[12:46] ah
[12:53] a
[13:07] y
[13:10] ah
[13:13] ah
[13:18] ah
[13:27] ah
