################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-11-21 - Be Prepared For What We Believe Gamaliel Martinez & Jesus Salgado - Gamaliel Martinez.txt
Video ID: c0-tUp4oTbI
Segments: 1714
URL: https://www.youtube.com/watch?v=c0-tUp4oTbI
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:05] a
[0:12] [Música]
[0:33] 2
[0:37] ah
[0:39] [Música]
[0:50] más
[0:55] [Música]
[1:10] hola
[1:15] i
[1:16] [Música]
[1:42] a mí
[1:46] [Música]
[1:51] i
[1:53] [Música]
[2:18] i
[2:22] [Música]
[2:51] más
[2:56] ah
[2:59] ah
[3:04] más
[3:09] ah
[3:14] y
[3:16] [Música]
[3:27] ah
[3:33] [Música]
[3:41] [Música]
[4:14] 2
[4:14] [Música]
[4:34] y
[4:35] i
[4:39] [Música]
[4:41] i
[4:42] [Música]
[4:45] ah
[4:48] i
[4:51] i
[4:54] ah
[4:59] i
[5:14] i
[5:15] y
[5:18] [Música]
[5:54] ah
[5:58] [Música]
[6:16] no
[6:18] i
[6:25] [Música]
[6:35] no
[6:43] ah
[6:55] hoy
[6:56] [Música]
[7:23] [Música]
[7:44] más
[7:50] [Música]
[7:56] más
[7:59] 2
[8:01] [Música]
[8:08] ah
[8:10] y
[8:29] ah
[8:36] i
[8:40] [Música]
[8:43] [Aplausos]
[8:49] ah
[8:52] [Música]
[9:12] ah
[9:14] más
[9:18] [Música]
[9:24] y más
[9:30] [Música]
[9:36] i
[9:38] ah
[9:41] y
[9:44] [Música]
[9:52] i
[9:57] ah
[9:59] ah
[10:02] [Música]
[10:10] [Música]
[10:12] ah
[10:16] ah
[10:19] ah
[10:23] y
[10:28] ah
[10:33] ah
[10:35] a
[10:40] i
[10:49] ah
[10:53] ah
[11:03] a
[11:05] ah
[11:10] y
[11:13] i
[11:21] ah
[11:30] y
[11:43] ah
[11:47] i
[11:56] i
[12:00] i
[12:03] y
[12:07] i
[12:12] ah
[12:23] i
[12:25] i
[12:29] no no
[12:32] a
[12:32] [Música]
[12:38] ah
[12:40] [Música]
[12:42] i
[12:42] [Música]
[12:59] ah
[13:01] [Música]
[13:08] [Aplausos]
[13:09] [Música]
[13:10] i
[13:11] [Música]
[13:18] i
[13:20] [Música]
[13:32] e
[13:35] [Música]
[13:44] no
[13:45] [Música]
[13:50] ah
[13:53] [Música]
[14:00] [Aplausos]
[14:03] y yo les diga se puede poner de pie por
[14:06] favor
[14:08] [Música]
[14:11] te ríes
[14:14] y
[14:17] víctor
[14:20] [Música]
[14:24] de hecho
[14:27] ah
[14:32] [Música]
[14:35] s
[14:38] a veces la fiesta
[14:43] [Música]
[14:50] vivo
[14:52] esta presión
[14:56] [Música]
[14:58] soy
[15:04] yo
[15:05] [Música]
[15:10] de todos
[15:12] bien
[15:14] y yo
[15:18] [Música]
[15:22] no lo sé
[15:24] 2
[15:26] [Música]
[15:27] [Aplausos]
[15:33] ah
[15:36] y
[15:41] [Música]
[15:44] al lavar
[15:47] alabaré
[15:51] a mi señor
[15:55] [Música]
[15:58] palabras
[16:02] la varilla
[16:04] [Música]
[16:08] m
[16:10] los reunidos quinto pasado
[16:19] por otro lado
[16:25] 2
[16:27] [Música]
[16:32] al amanecer
[16:36] a la hora
[16:40] ahora
[16:42] a la par
[16:46] no
[16:51] y
[16:52] [Música]
[17:01] a su dolor le damos la bienvenida a la
[17:04] casa del señor
[17:08] saludos a todos los que los vieron por
[17:10] el internet
[17:14] en esta canción yo volaré
[17:21] por qué
[17:22] / a
[17:27] [Música]
[17:31] 2
[17:33] [Música]
[17:37] ah
[17:39] [Música]
[17:45] o no
