################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-11-28 - Serve To Serve Fernando Avila & Pastor Tito Moreira - Tito Moreira.txt
Video ID: x_j37af4U-s
Segments: 1567
URL: https://www.youtube.com/watch?v=x_j37af4U-s
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:05] i
[0:08] ah
[0:12] y
[0:14] a
[0:16] i
[0:19] ah
[0:22] i
[0:24] a
[0:25] i
[0:27] ah
[0:33] aquí
[0:35] ah
[0:38] ah
[0:40] ahora
[0:49] ah
[1:15] no
[1:17] [Música]
[1:24] ah
[1:32] más
[1:35] ah
[1:40] [Música]
[1:53] ah
[1:57] [Música]
[2:09] ah
[2:11] [Música]
[2:27] aquí
[2:30] [Música]
[2:35] ah
[2:40] a
[2:43] i
[2:45] [Música]
[2:46] ah
[2:49] [Música]
[3:09] ah
[3:17] ah
[3:23] [Música]
[3:32] i
[3:38] [Música]
[3:45] 2
[3:53] ah
[3:55] no no
[3:57] i
[4:01] e
[4:02] [Música]
[4:05] ah
[4:09] i
[4:13] [Música]
[4:31] [Música]
[4:33] [Risas]
[4:41] [Música]
[4:45] [Risas]
[4:54] i
[4:59] ah
[5:02] [Música]
[5:26] a
[5:27] [Música]
[5:42] a
[5:42] [Música]
[5:47] i
[5:48] [Música]
[6:14] ah
[6:16] [Música]
[6:20] ah
[6:21] [Música]
[6:26] [Risas]
[6:27] [Música]
[6:55] estás
[6:58] [Música]
[7:26] i
[7:30] [Música]
[8:01] [Aplausos]
[8:05] a
[8:12] [Aplausos]
[8:17] [Música]
[8:18] más
[8:20] y
[8:21] [Música]
[8:57] e
[9:05] [Música]
[9:22] ah
[9:24] ah
[9:30] [Música]
[9:48] y
[9:51] a
[9:58] [Aplausos]
[10:00] [Música]
[10:16] ah
[10:18] no
[10:36] a
[10:37] [Música]
[10:39] ah
[10:43] i
[10:46] ah
[11:02] [Música]
[11:13] ah
[11:17] a
[11:26] [Música]
[11:30] ah
[11:34] [Música]
[11:42] ah
[11:44] [Música]
[12:03] [Aplausos]
[12:04] [Música]
[12:09] i
[12:12] ah
[12:23] i
[12:26] i
[12:29] ah
[12:34] [Música]
[13:08] ah
[13:10] [Música]
[13:16] no
[13:18] ah
[13:18] [Música]
[13:34] y
[13:47] a
