################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-12-06 - Puede Dios Confiar En Ti Tito Moreira - Tito Moreira.txt
Video ID: yJt338kl1J0
Segments: 1853
URL: https://www.youtube.com/watch?v=yJt338kl1J0
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:02] [Música]
[0:07] i
[0:14] [Música]
[0:20] i
[0:27] y
[0:36] a
[0:37] [Música]
[0:41] y
[0:44] y
[0:46] ah
[0:56] i
[1:00] [Música]
[1:06] ah
[1:10] más
[1:17] y
[1:20] y
[1:22] y más
[1:29] i
[1:40] y
[1:44] ah
[1:46] y
[1:48] y no
[1:52] hoy
[1:58] no
[2:00] ah
[2:04] y
[2:05] y
[2:07] i
[2:09] y
[2:15] ah
[2:17] y
[2:22] i
[2:24] i
[2:27] y
[2:28] i
[2:31] y
[2:41] i
[2:47] i
[2:48] [Música]
[2:53] no
[2:58] [Música]
[3:02] bueno
[3:18] i
[3:30] él
[3:32] i
[3:35] ah
[3:46] i
[3:48] i
[3:54] [Música]
[4:05] bueno
[4:08] i
[4:09] [Música]
[4:13] o no
[4:15] [Música]
[4:19] bueno
[4:22] [Música]
[4:24] y
[4:33] [Música]
[6:21] y
[6:26] [Música]
[7:07] y
[7:09] ah
[7:13] [Música]
[7:17] y
[7:21] [Música]
[7:25] y
[7:26] [Música]
[7:33] ah
[7:38] a
[7:42] [Música]
[7:56] más
[8:02] [Música]
[8:22] [Risas]
[8:23] [Música]
[8:32] i
[8:35] hola
[8:56] ah
[9:00] ah
[9:04] ah
[9:07] y
[9:12] y y
[9:16] [Música]
[9:19] y
[9:21] [Aplausos]
[9:28] o
[9:34] [Música]
[9:39] i
[9:43] más
[9:46] ah
[9:51] y
[9:53] i
[9:56] ah
[9:59] y no
[10:02] i
[10:07] a
[10:08] ah
[10:14] y
[10:15] 2
[10:18] no
[10:20] no
[10:21] o no
[10:31] i
[10:37] bueno
[10:41] i
[10:51] ah
[10:59] ah
[11:03] bueno
[11:05] 2
[11:07] e
[11:08] [Música]
[11:16] más
[11:19] bueno
[11:22] i
[11:24] a
[11:29] no
[11:30] y
[11:33] a
[11:35] a
[11:43] 1
[11:46] a
[11:56] i
[12:01] ah
[12:02] ah
[12:05] ah
[12:12] i
[12:13] ah
[12:24] ah
[12:25] e
[12:31] i
[12:37] bueno
[12:38] a
[12:41] a
[13:15] bueno
[13:18] [Música]
[13:19] [Aplausos]
[13:20] [Música]
[13:41] i
[13:43] ah
[13:44] [Música]
[13:52] ah
[13:54] y
[13:55] [Música]
[14:36] a
[14:42] [Música]
[15:03] ah
[15:06] [Música]
[15:19] a
[15:21] ah
