################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-12-20 - Not a Place for Him Jesus Salgado & Guillermo Avila - Guillermo Avila.txt
Video ID: zQlyv47OAvw
Segments: 2015
URL: https://www.youtube.com/watch?v=zQlyv47OAvw
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:04] ah
[0:08] [Música]
[0:11] ah
[0:16] i
[0:26] i
[0:40] [Música]
[0:55] i
[0:57] a
[1:03] bien
[1:09] [Música]
[1:39] i
[1:41] [Aplausos]
[1:45] e
[1:46] [Música]
[2:04] i
[2:06] ah
[2:09] i
[2:10] [Música]
[2:17] ah
[2:30] [Música]
[2:46] ah
[2:57] mira
[2:59] a
[3:08] [Música]
[3:18] i
[3:32] a
[3:38] [Música]
[3:48] i
[3:51] ah
[3:55] [Música]
[4:07] ah
[4:16] a
[4:18] i
[4:26] [Música]
[4:31] ah
[4:35] y
[4:43] e
[4:48] a
[4:55] ah
[4:59] [Música]
[5:43] nada
[5:47] [Música]
[5:50] [Aplausos]
[5:51] [Música]
[5:56] [Aplausos]
[5:57] [Música]
[6:01] ah
[6:04] ah
[6:09] i
[6:13] ah
[6:17] ah
[6:21] [Música]
[6:36] a
[6:42] ah
[6:47] ah
[6:51] [Aplausos]
[7:03] ah
[7:05] ah
[7:08] [Aplausos]
[7:09] [Música]
[7:36] a
[7:37] [Música]
[7:51] ah
[7:53] [Música]
[7:54] [Aplausos]
[7:58] [Música]
[8:09] a
[8:35] a
[8:45] ah
[8:48] a
[8:51] ah
[8:53] ah
[8:56] [Música]
[9:12] y
[9:14] ah
[9:16] [Música]
[9:24] i
[9:28] y
[9:29] y
[9:30] [Música]
[9:39] bien
[9:43] [Aplausos]
[9:53] e
[10:06] ah
[10:08] y
[10:10] [Música]
[10:14] y
[10:19] [Música]
[10:31] ah
[10:44] y
[10:47] ah
[10:56] i
[11:01] i
[11:03] ah
[11:11] y
[11:15] él
[11:16] [Música]
[11:36] ah
[11:45] e
[11:54] ah
[11:55] no
[11:56] [Música]
[12:19] [Música]
[12:21] ah
[12:29] [Música]
[12:35] ah
[12:38] [Música]
[12:45] ah
[12:51] ah
[13:01] ah
[13:03] a
[13:03] [Música]
[13:12] ah
[13:17] [Música]
[13:22] ah
[13:25] ah
[13:27] i
[13:30] ah
[13:32] a
[13:38] e
[13:39] [Música]
[13:41] hola
[13:44] y
[14:00] ah
[14:04] ah
[14:06] [Música]
[14:08] ah
[14:08] [Música]
[14:11] ah
[14:15] [Música]
[14:17] ah
[14:19] ah
[14:19] [Música]
[14:32] ah
[14:36] [Música]
[14:40] aquí
[14:42] ah
[14:45] i
[14:53] [Música]
[15:04] a
[15:09] y
[15:17] y
[15:22] [Música]
[16:46] no
[16:50] [Música]
[16:57] y
[17:04] ah
[17:06] para mí
[17:08] [Música]
[18:01] y
[18:04] [Música]
[18:11] y
[18:18] e
[18:25] ah
[18:28] [Música]
[18:34] y
[18:37] ah
[18:42] i
[18:45] [Música]
[18:56] y
[19:00] i
[19:03] [Música]
[19:20] aquí
[19:25] i
[19:27] y
[19:29] ah
[19:33] i
[19:39] [Música]
[19:43] y
[19:44] [Música]
[19:47] i
[19:47] [Música]
[20:00] [Aplausos]
[20:01] [Música]
[20:03] e
[20:05] [Música]
[20:12] ah
[20:14] i
[20:16] y
[20:19] i
[20:25] [Música]
[20:32] ah
[20:33] [Música]
[20:40] [Música]
[20:52] i
[20:58] [Música]
[21:14] [Música]
[21:33] ah
[21:38] ah
[21:42] y
[21:46] ah
[21:52] y
[21:55] ah
[22:00] ah
[22:02] i
[22:08] ah
[22:10] ah
[22:12] i
[22:16] ah
[22:34] i
[22:36] i
[22:41] i
[22:43] a
[22:46] ah
[22:49] y
[22:58] ah
[23:02] ah
[23:07] ah
[23:10] ah
[23:18] no
[23:20] ah
[23:26] ah
[23:47] [Música]
[24:06] ah
[24:27] [Música]
[24:33] y
[24:38] buenos días hermanos yo les bendiga a
[24:40] cada uno de ustedes le voy a invitar que
[24:43] se ponga de pie en esta hermosa mañana
[24:46] cante conmigo esta alabanza mi corazón y
[24:51] alabarán
[24:53] a mi señor y yo
[24:57] al rey de amor de la tierra de paz lo
[25:02] entenderé
[25:04] ya su pueblo salvo y aunque aquí sufrió
[25:08] en vano no fue una vez más mi corazón
[25:13] y a la para
[25:15] a mi señor y dios al rey de amor en la
[25:22] tierra de paz yo entenderé
[25:26] y en su pueblo salvo y aunque aquí
[25:29] sufrió en vano no fue my heart' manejar
[25:33] dos outs su dolor hablo es duda aquí
[25:38] nací my heart will see
[25:46] cuando esté
[25:48] tanto el cine en huelva carmen sazonar
[25:52] en de mancha que barbosa su dolor habló
[25:57] ports yudashkin a fin
[26:01] hay algo se ven en avión y le aguanto
[26:08] este derecho sino en abuela casa fueron
[26:13] al enemigo
[26:15] yo me gozo el lunes yo me gozo el martes
[26:18] no negocio el miércoles
[26:20] yo me gozo el jueves eso me gustó bien
[26:23] sábado también pero al llegar domingo
[26:27] sigo con el mozo le sigue por porque
[26:30] hermanos porque tengo al cristo que me
[26:33] da la dicha de gozar tener un cristo
[26:37] vivo puede más que el puede más
[26:39] que todo si de siempre es triste si te
[26:42] sientes o ven a jesucristo estará feliz
[26:47] cristo vivo puede más que el
[26:49] puede más que todo si te sientes triste
[26:52] si te sientes solo ven a jesucristo el
[26:55] día feliz yo me gozo el lunes yo me gozo
[26:59] el más yo me gozo el miércoles
[27:02] yo me gozo los jueves no me gustó
[27:04] viernes sábado también pero al llegar lo
[27:08] mismo sigo con ellos les diré porque
[27:11] hermanos porque tengo a cristo que me da
[27:15] la dicha de gozar tener bendito sea
[27:20] lleva mi ruta
[27:23] por toda la eternidad escondederos
[27:31] mi refugio eres tú mi bendito
[27:39] en tu palabra yo esperaré vamos a
[27:43] iglesia y mi confianza en ti pondré
[27:50] memoria
[27:54] amén amén amén amén
[27:58] dígale que mande y mandó al fuego señor
[28:02] manda al fuego ese fuego que tú sabes
[28:10] y ese fuego que viene del cielo señor
[28:15] pero yo no quiero en mi corazón
[28:18] [Música]
[28:20] m
[28:22] dime
[28:26] porque no voltea su hermano que está a
[28:28] su lado y le dice dios te bendiga en
[28:32] esta mañana pero dígale como que si tomo
[28:36] café que tiene energía ese saludo geimer
[28:40] estamos contentos de estar en su casa y
[28:44] me en cuantos están despiertos en esta
[28:46] mañana gamesino está despierto sacuda
[28:49] hace un poco a menos está bien si se
[28:51] sacude un poco a menos hable si este
[28:53] mismo dígale despierta tú que duermes y
[28:57] te alumbrará cristo hey mental porque no
[29:00] me ayuda a cantar esa misma alabanza
[29:01] otra vez está bien
[29:02] heim en bendito sea jehová mi roca está
[29:05] bien hermanos james bendito sea
[29:08] yo para mí roja con toda la eternidad y
[29:17] es con deber
[29:19] y mi refugio dígaselo y eres tú mi
[29:24] bendito bajen en tu palabra te esperaré
[29:31] mi confianza en ti pondré a tu gloria
[29:40] aleluya
[29:42] amen amen amen amen y manda y manda el
[29:49] fuego señor manda al fuego ese fuego que
[29:55] tú sabes anime y ese fuego que viene del
[30:01] cielo señora yo lo quiero en mi corazón
[30:08] ya no hay temores en un misil
[30:13] si mi jesús amigo está ya no hay ya no
[30:19] hay pesares de ayer m si mi jesús
[30:25] [Música]
[30:26] conmigo
[30:29] porque estar triste si él nos dio
[30:33] jaime de jesús jiménez
[30:39] porque llorar
[30:41] porque te merecen mi jesús y jesús
[30:47] conmigo estado de salud
[30:51] para esto te da la ayuda de mi iglesia
[30:54] que es la vez
[30:56] y aclamación la vez él es la vez que la
[31:02] resurrección entre nosotros entre
[31:05] nosotros pronto estará porque estar
[31:11] triste por si el rocío el accidente de
[31:15] la civil el señor yo volveré
[31:22] de cabalgar y saber la verdad es más yo
[31:30] volveré a cabalgar
[31:34] y es saber una vez más y dónde está el
[31:42] espíritu de dios de hazel hay libertad
[31:46] vamos de gracia hay libertad y donde
[31:50] sabe que el espíritu de dios
[31:54] [Música]
[31:55] hay siempre a él y dígale a su hermano
[31:59] que está enseguida tuvo libertad
[32:03] libertad libertad
[32:10] donde está tiene espíritu de dios
[32:16] siempre hay liga
[32:19] jaime gloria a dios en una plazo al
[32:22] señor
[32:24] y ya entramos en calor a mi hermanos
[32:31] las alabanzas preparan la atmósfera
[32:34] [Música]
[32:36] para la palabra
[32:40] vamos a recibir a nuestros hermanos en
[32:43] esta mañana tenemos un doble impacto en
[32:47] esta mañana bien está en nuestra mano
[32:51] jesús salgado y nos hermano guillermo
[32:53] ávila quien nos estarán trayendo la
[32:57] palabra en esta mañana
[33:00] vamos a recibirlos con estas alabanzas
[33:02] [Música]
[33:04] jude y ser de color y en día
[33:11] el régimen militar
[33:16] eso es ser violines
[33:22] y dice the globe y tenían una flor
[33:31] violeta en sangüesa es muy price
[33:36] caroline for you so you walk with you
[33:43] tube el ecosoc de res no ganamos like
[33:49] you
[33:52] eres nuevo anna bligh con su rival craig
[33:57] tiene recursos great debes no one aus
[34:04] light y leves no one knows like queremos
[34:15] darte glow dígaselo y alabanza
[34:21] levantando levantando nuestras manos y
[34:27] en señal de gratitud
[34:31] queremos darte sí señor queremos
[34:34] alabarte y alabanza levantando
[34:40] levantando nuestras manos en señal de
[34:45] gratitud grande eres tú por qué grande
[34:49] eres tú
[34:50] geimer grande todos milagros son y no
[34:55] hay otro como tú llegas al en esta
[34:58] mañana no hay otro como tú no hay método
[35:03] grande eres tú a lo grande sus
[35:08] milagrosos no hay otro como tú no hay
[35:14] otro como el grande de sus grandes sus
[35:20] cobran de tus milagros son m no yo pero
[35:26] como tú no hay otro como tú
[35:31] eres un grande eres tu obra de tus
[35:37] milagrosos no el otro como tú no hay
[35:43] otro como tú
[35:47] [Música]
[35:56] pero no del año
[35:58] no hay otro como él
[36:01] porque él es único por más que buscamos
[36:06] nosotros humanamente a otra persona
[36:15] - saludo a cada uno de ustedes en el
[36:19] nombre del señor jesucristo y si no me
[36:21] mueve millones de merlo his wife es un
[36:24] privilegio estar en la casa del señor
[36:26] este proyecto viene alza dolor
[36:28] y aprovechando estando de pie en tiene
[36:31] varias de we standing lo que abran su
[36:33] biblia
[36:38] el capítulo 16 danger sexting
[36:46] capítulo 16 versículo versículo 5 al 7
[36:53] cuando ya lo tengan pueden decir amén a
[36:56] la palabra vamos a leer la palabra web
[37:01] y dice así en 63
[37:05] pero ahora voy al que me envió y ninguno
[37:08] de vosotros me pregunta a dónde vas
[37:14] nos exime
[37:16] de nabai go my way to handle me en
[37:19] armerías me what goes down antes porque
[37:24] os he dicho estas cosas tristeza ha
[37:27] llenado vuestro corazón los picos ángel
[37:31] se distinguen sin usar las teles y el
[37:34] hard pero yo os digo la verdad
[37:38] os conviene que yo me vaya porque si no
[37:41] me fuera el consolador no vendría a
[37:45] vosotros más si me fuera
[37:48] os lo enviaré de la sexualidad cruise
[37:52] eres experiencia de highway fue una web
[37:57] de confort
[37:57] mccomb antiguo efe efe de por aguas tan
[38:01] antiguo podemos mandar spray brothers
[38:04] padre bueno en esta mañana señor que le
[38:07] falte bendiciones las infinitas gracias
[38:09] gente ningún banco ha permitido estar
[38:12] aquí señor fuera honesto vivir en tu
[38:16] casa en el home ahora dios mío eterno el
[38:19] oro no gana le suplico de la manera más
[38:22] atenta a ella es que andamos plan muy
[38:24] que tu espíritu santo bendiga tu palabra
[38:26] irrespirable world y que bendiga a tu
[38:29] pueblo en esta mañana amado dios en el
[38:31] precio de people a vengar y nos ponemos
[38:33] en tus manos
[38:35] bendigas también a nuestro intérprete
[38:37] bladecenter valer en el nombre de
[38:40] nuestro señor jesucristo se lo pido a
[38:42] los que se pueden tomar asiento
[38:45] sí
[38:46] le doy gracias a dios contigo
[38:50] y a mi pastor en tomar caster por
[38:54] permitirme estar aquí detrás de su
[38:56] púlpito vírgenes pop
[39:01] es muy alentador billy beane leer la
[39:06] palabra to work porque sabemos que la
[39:09] palabra es la verdad y no de word
[39:12] sabemos que la palabra la vida del señor
[39:16] jesús moratal hay flores que está
[39:18] plasmada en la biblia space standard
[39:21] pero eso no cobraría ninguna vida pueda
[39:24] una casa
[39:25] si no no si nosotros es una wii no lo
[39:29] hacemos eficaz en nuestras vidas make up
[39:32] actual line se cumple la escritura que
[39:34] la letra mata
[39:44] tenemos que reconocer sobrenaturales en
[39:47] la palabra es dios te guarde sesgar
[39:49] tenemos que creerle a dios la superliga
[39:53] porque en él no hay ninguna pizca de
[39:55] mentiras viviendas nuevas la maldad de
[39:58] sus palabras de principio a fin pues
[40:00] work zombie tienen es absolutamente la
[40:02] verdad son líderes en él no hay ninguna
[40:05] pizca de mentira
[40:07] mobileye hermanos también entonces a
[40:11] sabiendas que la palabra es la verdad
[40:13] son novena to war is true entonces
[40:15] nosotros tenemos que creerle a él aún
[40:17] más bien por cuanto hemos sabido know i
