################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-01-10 - Bendicion o Maldicion Fidel Avila & Vidal Moreno - Fidel Avila, Vidal Moreno.txt
Video ID: JEdnYdu3r5o
Segments: 1695
URL: https://www.youtube.com/watch?v=JEdnYdu3r5o
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] i
[0:02] y más
[0:10] i
[0:14] y
[0:16] y
[0:20] ah
[0:21] ah
[0:24] ah
[0:26] y
[0:30] ah
[0:38] hola
[0:43] ah
[0:49] ah
[1:06] ah
[1:13] [Música]
[1:19] ah
[1:21] ah
[1:29] ah
[1:32] ah
[1:40] ah
[1:46] ah
[1:48] [Música]
[1:52] i
[1:54] a
[1:58] ah
[2:01] ah
[2:09] a
[2:13] a
[2:18] y
[2:22] ah
[2:32] i
[2:50] y
[2:54] [Música]
[2:59] ah
[3:08] más
[3:23] i
[3:25] ah
[3:28] ah
[3:32] ah
[3:36] ah
[3:40] ah
[3:44] ah
[3:48] ah
[3:52] i
[3:55] ah
[3:56] ah
[4:10] a
[4:25] ah
[4:27] ah
[4:39] y
[4:41] [Música]
[5:09] y
[5:13] más
[5:33] ah
[5:38] ah
[5:44] ah
[5:59] i
[6:20] [Música]
[6:26] no
[6:29] ah
[6:39] a
[6:45] ah
[6:47] i
[6:50] ah
[6:52] i
[6:57] i
[6:59] bien
[7:05] y
[7:07] ah
[7:10] ah
[7:20] y
[7:38] [Música]
[7:57] hola
[8:02] ah
[8:11] ah
[8:18] i
[8:52] ah
[8:56] i
[9:07] ah
[9:23] [Música]
[9:30] y
[9:48] ah
[9:50] ah
[9:55] a
[9:57] ah
[10:02] ah
[10:05] i
[10:09] ah
[10:11] ah
[10:32] i
[10:35] ah
[10:42] i
[10:47] i
[10:50] ah
[10:55] ah
[10:57] [Música]
[11:07] ah
[11:09] y
[11:16] a
[11:20] ah
[11:21] ah
[11:26] ah
[11:29] ah
[11:34] ah
[11:44] ah
[11:55] ah
[11:57] ah
[12:03] i
[12:10] ah
[12:13] ah
[12:15] ah
[12:19] a
[12:22] ah
[12:32] ah
[12:33] [Música]
[12:44] i
[12:49] ah
[12:54] ah
[12:58] ah
[13:01] ah
[13:04] ah
[13:08] ah
[13:09] y
[13:13] a
[13:19] ah
[13:31] bueno
[13:33] ah
[13:37] [Música]
[13:54] ah
[13:59] a
