################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-01-17 - Dios Lo Sabe Todo ( Presumiendo ) Erik Sanchez & Jesus Salgado - Erik Sanchez.txt
Video ID: H7DzMITd06c
Segments: 1848
URL: https://www.youtube.com/watch?v=H7DzMITd06c
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:14] [Música]
[0:21] ah
[0:30] ah
[0:55] ah
[1:07] ah
[1:11] ah
[1:15] i
[1:17] [Música]
[1:50] i
[2:13] ah
[2:16] ah
[2:21] i
[2:25] ah
[2:28] ah
[2:30] ah
[2:33] ah
[2:40] ah
[2:49] ah
[2:51] ah
[2:54] y
[3:01] i
[3:06] i
[3:14] ah
[3:16] [Música]
[3:26] [Música]
[3:32] ah
[3:35] ah
[3:39] ah
[3:40] ah
[3:48] ah
[3:53] ah
[3:58] a
[4:03] ah
[4:10] y
[4:16] ah
[4:21] i
[4:21] [Música]
[4:27] ah
[4:35] ah
[4:37] vale
[4:40] ah
[4:45] a
[4:51] ah
[4:53] ah
[4:56] y
[5:02] ah
[5:11] i
[5:14] ah
[5:21] ah
[5:27] ah
[5:28] y
[5:39] i
[5:44] y
[5:50] bueno
[5:56] [Música]
[6:03] [Música]
[6:29] y
[6:33] a
[6:39] ah
[6:43] ah
[6:51] e
[6:54] ah
[7:15] [Música]
[7:31] a
[7:35] ah
[7:39] ah
[7:44] ah
[7:46] ah
[7:52] ah
[7:53] ah
[7:55] ah
[8:00] ah
[8:15] ah
[8:19] y
[8:29] ah
[8:35] ah
[8:45] ah
[8:49] a
[8:55] y
[8:56] y
[9:07] ah
[9:26] [Música]
[9:58] ah
[10:05] gracias
[10:11] ah
[10:24] ah
[10:38] ah
[10:45] y
[10:58] ah
[10:58] [Música]
[11:07] a
[11:12] a
[11:16] a
[11:21] a
[11:22] i
[11:29] ah
[11:32] ah
[11:36] ah
[11:38] i
[11:41] [Música]
[11:55] ah
[12:09] y
[12:12] ah
[12:16] [Música]
[12:36] [Música]
[12:47] y
[12:57] y
[13:12] y
[13:21] [Música]
[13:47] ah
[13:51] a
[13:54] i
[13:58] y
[14:12] a
[14:13] i
[14:24] i
[14:36] ah
[14:38] a
[14:41] ah
[14:49] ah
[14:53] a
[15:13] y
[15:35] i
[15:36] i
[15:39] ah
[15:43] ah
[16:14] ah
[16:16] i
[16:22] a
[16:28] y
[16:33] y
[16:39] y
[16:46] ah
[16:48] ah
[16:49] ah
[17:01] ah
[17:03] ah
[17:04] a
[17:13] ah
[17:15] ah
[17:23] y
[17:25] ah
[17:32] ah
[17:33] ah
[17:36] ah
[17:41] ah
[17:47] a
[17:51] ah
[17:55] a
[17:57] ah
[18:04] ah
[18:05] ah
[18:07] ah
[18:11] ah
[18:16] ah
[18:20] ah
[18:29] y
[18:36] i
[18:49] [Música]
[19:42] [Música]
[19:53] y
[20:01] a
[20:20] y
[20:30] bien
[20:36] [Música]
[20:51] i
[21:13] ah
[21:30] [Música]
[21:51] 2
[21:56] ah
[22:06] i
[22:19] a
[22:21] [Música]
[22:33] una vez
[22:34] [Música]
[22:51] ah
[22:52] [Aplausos]
[22:56] [Música]
[23:45] ah
[23:47] [Música]
[23:56] i
[24:07] i
[24:18] y
[24:28] i
[24:33] [Música]
[24:40] dios les bendiga hermanos saiz la mora
[24:43] en el nombre de nuestro señor jesucristo
[24:44] bridge en enero del año de la gente de
[24:47] pie hoy eso manifestamos a cantar a
