################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-01-24 - Dios Quiere Que Lo intentemos De Nuevo Pastor Tito Moreira & John Figueroa - Tito Moreira.txt
Video ID: Sx0nbmvml3M
Segments: 1814
URL: https://www.youtube.com/watch?v=Sx0nbmvml3M
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] o
[0:01] [Música]
[0:35] ah
[0:37] [Música]
[0:55] no
[1:02] ah
[1:07] [Música]
[1:11] ah
[1:15] más
[1:18] [Música]
[1:20] y
[1:23] [Música]
[1:25] hola
[1:40] [Música]
[1:43] ah
[1:50] y
[1:54] ah
[2:00] y
[2:02] ah
[2:04] ah
[2:17] no
[2:19] [Música]
[2:39] no
[2:41] y más
[2:45] [Música]
[2:58] hola
[3:01] ah
[3:03] [Música]
[3:07] ah
[3:09] [Música]
[3:15] 2
[3:17] [Música]
[3:30] las
[3:33] [Música]
[4:30] 2
[4:34] ah
[4:38] o
[4:39] ah
[4:46] ah
[4:58] ah
[4:59] [Música]
[5:09] [Aplausos]
[5:11] [Música]
[5:17] y más
[5:21] [Música]
[5:53] [Música]
[6:30] i
[6:31] 2
[6:33] [Música]
[6:41] hola
[6:47] ah
[6:49] [Música]
[7:01] i
[7:06] [Música]
[7:23] ah
[7:25] a mí
[7:29] [Música]
[7:40] ah
[7:49] ah
[7:51] más
[7:54] ah
[7:57] o
[8:00] [Música]
[8:06] ah
[8:08] [Música]
[8:13] a él
[8:15] [Música]
[8:35] a
[8:40] i
[8:41] bien
[8:44] [Música]
[8:47] ah
[8:50] [Música]
[8:53] y
[8:56] ah
[9:01] i
[9:04] i
[9:06] y
[9:08] [Música]
[9:19] y
[9:23] [Música]
[9:32] 2
[9:34] [Música]
[9:37] ah
[9:40] [Música]
[9:57] [Música]
[10:09] i
[10:11] [Música]
[10:16] [Música]
[10:27] no
[10:29] e
[10:31] [Música]
[10:53] es
[10:58] [Música]
[11:02] más
[11:05] [Música]
[11:07] i
[11:16] bien
[11:19] y
[11:21] e
[11:25] [Música]
[11:30] no
[11:32] y
[11:36] ah
[11:38] bien
[11:41] y
[11:44] [Música]
[12:04] ah
[12:05] [Música]
[12:21] no no
[12:26] bien
[12:31] [Música]
[12:44] [Música]
[13:11] no más
[13:14] [Música]
[13:18] ah
[13:22] ah
[13:27] [Música]
[13:38] [Música]
[14:06] i
[14:10] i
[14:19] ah
[14:27] y
[14:31] y
[14:33] i
[14:35] [Música]
[14:54] e
[14:55] i
[14:57] i
[15:02] [Música]
[15:07] 2
[15:08] [Música]
[15:15] ah
[15:20] [Música]
[15:27] ah
[15:30] no
[15:32] [Música]
[15:38] i
[15:44] [Música]
[16:11] i
[16:12] [Música]
[16:30] bien
[16:33] i
[16:36] no
[16:40] no no
[16:44] y
[16:49] i
[16:50] [Música]
[17:03] ah
[17:10] [Música]
[17:15] no
[17:30] y
[17:38] a
[17:54] [Música]
[18:00] más
[18:07] y
[18:15] e
[18:19] ah
[18:49] y
[19:01] a
[19:08] i
[19:16] ah
[19:22] i
[19:25] i
[19:27] a
[19:31] [Música]
[19:39] bueno
[19:41] y
[19:42] [Música]
[20:06] 2
[20:26] no
[20:30] ah
[20:39] [Música]
[21:13] ah
[21:17] [Música]
[21:24] [Aplausos]
[21:24] [Música]
[21:46] a
[21:47] [Música]
[21:48] [Aplausos]
[21:53] e
[21:55] no os voy a invitar que se ponga de pie
[21:59] en esta hermosa mañana instante y cante
[22:03] conmigo
[22:04] en el principio el espíritu de dios no
[22:11] se movía sobre las aguas en el principio
[22:17] el espíritu de dios
[22:21] se movía sobre las aguas pero ahora
[22:28] se está moviendo dentro de mi corazón
[22:37] pero ahora se está moviendo dentro de mí
[22:45] como atrás son una vez más en el
[22:48] principio el espíritu de dios se movía
[22:54] sobre las aguas en el principio el
[23:00] espíritu de dios no se movía sobre las
[23:07] aguas pero ahora pero
[23:11] se está moviendo dentro de mí con razón
[23:19] pero ahora
[23:22] se está moviendo
[23:25] dentro de mi q atrás o jerusalén
[23:29] jerusalén
[23:32] qué bonita eres calles de oro mar de
[23:39] cristal o jerusalén
[23:43] qué bonita eres calles de oro mar de
[23:49] cristal por esas calles por esas
[23:52] y eso voy a caminar calles eo
[23:58] el mar de cristal
[24:01] por esas calles yo voy a caminar calles
[24:09] el mar de cristal
[24:12] y me ven espíritu divino de me ven a
[24:20] poner a mí de mi dígaselo de bmn
[24:25] espíritu divino de me ven apoderado
[24:31] dígaselo a poder ate a poder ate a poder
[24:36] ate apoderarse de todo mi ser
[24:44] modérate a poder apoderarse de todo
[24:52] cuando el pueblo del señor cuando el
[24:55] pueblo del señor a la dígaselo suceden
[25:00] cosas son seres cosas maravillosas y
[25:07] cuando el pueblo del señor alaba a dios
[25:12] suceden cosas suceden cosas maravillosas
[25:20] hay sanidad poder liberación y aquí se
[25:27] siente la presencia de mi dios hay
[25:31] sanidad poder liberación
[25:36] y aquí se siente la presencia del señor
[25:40] libérame o libérame señor con tu
[25:45] espíritu
[25:47] libérame señor con tu espíritu
[25:52] y déjame sentir el fuego de tu amor aquí
[25:58] en mi corazón de odio
[26:02] y déjame sentir el fuego de tu amor aquí
[26:08] en mi corazón
[26:10] oh dios con aceite mi lámpara senior
[26:17] y por aceite milán para señor
[26:22] y que yo pueda servir mejor amor con
[26:28] aceite mi lámpara sr
[26:33] con aceite en mi lámpara señor
[26:37] [Música]
[26:38] con aceite mi lámpara señor
[26:43] y yo pueda servirte con amor
[26:48] con aceite y lámparas se puede tomar sus
[26:54] lugares hermanos difíciles para degustar
[26:57] escritos escuchando un especial en esta
[26:59] mañana
[27:07] [Música]
[27:13] 3
[27:16] [Música]
[27:39] y conmigo
[27:44] sé muy bien por lo que estás pasando
[27:46] porque yo también sufrir
[27:52] [Música]
[27:55] y yo te entiendo
[28:00] yo también fui perseguido maltratado por
[28:04] amarte a ti
[28:09] [Música]
[28:12] pero tú
[28:17] tienes la promesa de que yo jamás te
[28:21] dejaré
[28:29] y aunque veas
[28:33] [Música]
[28:34] que te encuentres en el valle de la
[28:38] muerte recuerda qué
[28:42] yo soy aquel y en medio de la prueba
[28:46] siempre está contigo cuando todos se
[28:50] alejen yo he sido tu amigo yo soy que
[28:53] está lavando plata
[28:57] caído soy aquel alguien que nunca ha
[29:02] perdido una batalla los vientos que
[29:05] obedecen y el mar se calla
[29:08] yo soy quien abre puertas no temas
[29:12] porque yo
[29:14] sr
[29:18] [Música]
[29:23] y conmigo
[29:25] [Música]
[29:27] entregado una espada para que te puedas
[29:30] dar luchar
[29:34] [Aplausos]
[29:36] [Música]
[29:38] no hay gigante
[29:43] que pueda detenerte porque sé que tú lo
[29:46] demás será
[29:53] y porque tú tienes la promesa de que yo
[30:00] jamás te dejaré
[30:05] e
[30:09] y aunque vea
[30:15] que te encuentres en el valle de la
[30:17] muerte recuerda qué
[30:21] yo soy aquel y en medio de la prueba
[30:25] siempre está contigo cuando todo se
[30:28] alejen yo he sido tu amigo yo soy quien
[30:32] te levanto
[30:35] y bastó ya que el aquel que nunca ha
[30:39] perdido una batalla
[30:41] los vientos me obedecen y el mar no
[30:44] encallar no soy quien lo recuerda no
[30:48] temas porque yo no soy el del medio de
[30:54] la prueba siempre está contigo cuando
[30:57] todo se le cayó y sigo tu amigo yo soy
[31:01] que está elevando no me ha salido esto
[31:06] ya que aquel que nunca ha perdido una
[31:09] batalla los vientos no vienen y el mar
[31:13] ya yo soy que no habrá cuerdas donde más
[31:18] porque yo soy tu señor
[31:30] [Música]
[31:37] en medio de la prueba siempre está
[31:39] contigo cuando todos hiere cuando ha
[31:43] sido tu amigo yo soy quien te lo tanto
[31:47] cuándo
[31:50] de soya
[31:53] más de él que nunca ha perdido una
[31:55] batalla los vientos no debes ser y el
[31:59] mar se callan
[32:01] hay quien abre puertas
[32:05] más porque yo soy tu señor
[32:15] [Música]
[32:18] vamos a especial en esta mañana te voy a
[32:24] invitar que se ponga de pie una vez más
[32:26] con esta alabanza vamos a recoger la
[32:29] ofrenda y los diezmos
[32:32] de la misma manera vamos a estar
[32:33] recibiendo los predicadores en este
[32:35] nuevo que reciben de júpiter nuestro
[32:37] magno chan figueroa y nuestro pastor
[32:39] para poder perder
[32:41] 'tito' vamos a estamos listos para
[32:43] escuchar lo que dios tiene que hablarnos
[32:45] alberite les entrego caribe vamos a
[32:48] recibirlos con esta alabanza mi
[32:50] pensamiento eres tú mismo que son mi
[32:54] pensamiento eres tú sr
[33:02] mi pensamiento eres tú señor
[33:09] mi pensamiento eres tú no señor
[33:17] y mi pensamiento
[33:21] eres tú
[33:23] porque tú
[33:26] y por es que tú
[33:30] me ha estado la vida acá te lo conmigo
[33:35] porque tú
[33:37] mi estado
[33:39] al existir
[33:42] porque tú
[33:45] y hasta tu cariño
[33:50] dado amor
[33:56] [Música]
[33:57] que tú eres él
[34:05] porque tú eres señor de señores
[34:12] porque tú eres el a
[34:16] alfa y omega
[34:18] un principio y fin
[34:22] por la mañana por la mañana pienso en ti
[34:29] señor al mediodía al mediodía pienso en
[34:35] ti
[34:36] y seguido
[34:38] y por la noche y por la noche pienso en
[34:42] ti señor ya toda hora ya toda hora
[34:49] eso en ti
[34:52] porque tú
[34:55] por
[34:56] esto
[34:58] me has dado la vida
[35:02] y porque tú me has dado el existir m
[35:10] porque tú me has dado cariño
[35:17] hasta su amor
[35:24] porque tú eres el rey
[35:28] y de los reyes
[35:31] porque tú eres señor de sr
[35:39] porque tú eres el alfa y omega
[35:45] [Música]
[35:46] principio y fin
[35:50] [Música]
[35:54] dios les bendiga
[35:57] amén dios les bendiga más en esta
[36:00] hermosa mañana les invito a buscar la
[36:03] palabra del señor
[36:06] jose es capítulo 8
[36:09] y va a considerar el versículo 1 cuando
[36:14] están contentos
[36:19] ese privilegio está de la casa del señor
[36:23] y qué privilegio poder decir su nombre
[36:28] aleluya del por grasa lo que pulgares el
[36:31] señor nos ha dado
[36:32] esta salvación
[36:36] josué capítulo 8 versículo 1
[36:40] mlm la palabra del señor muy vigor de
[36:43] dolor jehová dijo a josué no temas me
[36:49] desmayé toma contigo toda la gente de
[36:53] guerra y levántate y sube a hai mira yo
[36:59] he entregado en tu mano al rey de hai a
[37:04] su pueblo a su ciudad y a su tierra
[37:07] cuando lord serán señor fernando david
[37:10] smith terol del equipo de war with y en
[37:14] el riesgo
[37:15] si viven
[37:22] así le pido por favor ayuda a mejorar la
[37:26] mañana para que el señor nos ayude a
[37:29] poder predicar la palabra del señor del
[37:32] dolor cuando creen que el señor nos
[37:34] puede ayudar a mí porque no tienen
[37:37] hambre de escuchar palabras vinieron a
[37:40] escuchar palabras señor
[37:43] es curioso escribir antes de de orar y
[37:47] que había una necesidad enfermo
[37:53] y jesús le preguntó entonces éste quiere
[37:58] ser sano guarda vivir mal para que el
[38:01] enfermo quiere ser sano
[38:05] pero hay enfermos que quieren seguir
[38:07] enfermos
[38:08] el agua se continúa me entiendo yo por
[38:11] eso esto le dijo quieres ser sano quizás
[38:14] hacemos bien esta mañana yo hago esa
[38:17] pregunta
[38:22] que el señor nos hable de escuchar la
[38:27] palabra de no escuchar ese dolor hacia
[38:32] ayuda moral en esta mañana
[38:34] amante dios y padre celestial
[38:37] en esta mañana te doy gracias
[38:41] gracias por darme este privilegio porque
[38:43] al enganchar lugares santos viene
[38:46] solidez de así predicar tu palabra
[38:50] vengo a ti reconociendo que necesito tu
[38:55] ayuda mi señor dame sabiduría dando
[38:59] revelación
[39:01] hablando a través de tu palabra
[39:04] try sanidad a través de ella
[39:07] restauración
[39:09] grande de nuestras vidas
[39:11] queremos salir mejor esta mañana si lo
[39:17] queremos vivir gracias padre
[39:20] en el nombre del señor jesucristo
[39:24] se puede sentar la mano
[39:26] amén en esta mañana
[39:30] hemos titulado el tema homónimo
[39:35] si dios quiere que lo intentemos de
[39:39] nuevo
[39:41] y dejando dejando atrás el capítulo 7 de
