################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-02-28 - Dios Miro El Verdadero Yo Alex Perez & Pastor Tito Moreira - Tito Moreira.txt
Video ID: hJLpdXbihZY
Segments: 1890
URL: https://www.youtube.com/watch?v=hJLpdXbihZY
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Música]
[0:01] ah
[0:09] [Música]
[0:20] [Risas]
[0:20] [Música]
[0:39] hoy
[0:46] no no
[0:47] [Música]
[0:55] cómo
[1:03] o
[1:12] [Música]
[2:18] i
[2:27] x
[2:34] ah
[2:37] hola
[2:40] i
[2:43] i
[2:51] ah
[2:55] i
[3:08] ah
[3:11] [Música]
[3:37] i
[3:41] i
[3:42] [Música]
[5:06] y
[5:09] [Música]
[5:26] ah
[5:28] [Música]
[5:31] y
[5:34] [Música]
[5:44] ah
[5:56] i
[6:09] ah
[6:09] [Música]
[6:15] [Risas]
[6:17] [Música]
[6:45] y
[6:50] i
[6:56] [Música]
[7:31] i
[7:34] no
[7:35] y
[7:38] i
[7:40] ah
[7:44] ah
[7:46] i
[7:52] a
[7:55] um
[7:58] [Música]
[8:24] y
[8:26] [Música]
[9:24] i
[9:30] [Música]
[9:43] no
[9:45] [Música]
[9:49] y
[10:23] ah
[10:25] i
[10:33] [Música]
[11:04] i
[11:10] ah
[11:13] [Música]
[11:24] [Risas]
[11:36] a
[11:38] [Música]
[11:41] ah
[11:50] 2
[11:54] ah
[11:54] [Música]
[12:02] 2
[12:05] i
[12:09] [Música]
[12:15] tú
[12:17] ah
[12:24] [Música]
[12:37] i
[12:38] [Música]
[13:21] o
[13:24] i
[13:34] [Música]
[14:01] y
[14:04] [Música]
[14:16] 2
[14:18] a
[14:20] y
[14:24] [Risas]
[14:31] i
[14:37] [Música]
[14:44] [Risas]
[14:47] [Música]
[14:53] o
[14:55] no
[14:57] [Música]
[14:59] 2
[15:02] no
[15:03] [Música]
[15:08] 2
[15:11] y
[15:14] [Música]
[15:37] ah
[15:40] [Música]
[15:49] ah
[15:50] [Música]
[16:16] i
[16:25] i
[16:33] [Música]
[16:42] i
[16:45] [Música]
[16:57] ah
[17:01] [Música]
[17:05] ah
[17:06] no
[17:09] i
[17:16] um
[17:17] [Música]
[17:28] y
[17:30] i
[17:36] ah
[17:40] ah
[17:41] i
[17:45] no
[17:53] bueno
[17:54] [Música]
[18:03] ah
[18:15] ah
[18:26] y
[18:41] [Música]
[18:51] a
[18:55] [Música]
[19:19] a
[19:45] [Música]
[19:58] 2
[20:00] [Risas]
[20:02] [Música]
[20:06] i
[20:10] e
[20:16] i
[20:30] [Música]
[20:36] a
[20:38] i
[20:42] i
[20:46] no
[20:48] i
[21:19] i
[21:21] y
[21:33] [Música]
[21:44] i
[21:49] [Música]
[22:01] a
[22:07] ah
[22:09] ah
[22:14] ah
[22:18] [Música]
[22:47] más
[22:50] [Música]
[23:14] [Música]
[23:39] no
[23:43] [Música]
[24:04] [Aplausos]
[24:05] [Música]
[24:52] [Música]
[25:04] 2
[25:07] [Música]
[25:19] o
[25:20] [Música]
[25:28] i
[25:31] o
[25:34] [Música]
[25:35] [Aplausos]
[25:39] [Música]
[25:52] o
[25:53] [Música]
[26:26] [Música]
[26:38] [Música]
[26:46] [Aplausos]
[26:48] [Música]
[26:54] 2
[26:58] puesto por
[27:00] [Música]
[27:12] [Música]
[27:19] [Música]
[27:41] [Música]
[27:46] [Aplausos]
[27:56] [Música]
[28:19] tiempo
[28:26] gracias
[28:37] para mí
[28:51] medio
[28:54] más
[28:55] el vino a mi corazón
[28:59] [Música]
[29:05] [Música]
[29:13] el mismo medio
[29:19] cómo
[29:21] corazón
[29:25] por la senda del brazo
[29:32] [Música]
[29:39] jesús soto
[29:43] cuando el vino a mi corazón
[29:52] por hacer
[30:00] [Música]
[30:03] y medio
[30:07] cuando vino a mi corazón
[30:12] cómo
[30:21] [Música]
[30:27] metros
[30:34] ahora
[30:36] [Música]
[30:37] 2
[30:38] [Música]
[30:44] [Música]
[30:52] 2
[30:57] martino
[31:01] sí
[31:09] [Música]
[31:12] por qué
[31:16] [Risas]
[31:30] y que las va a tener la rompa en
[31:33] claridad
[31:36] todas las naciones han bajado la calle
