################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-03-07 - Beneficios de la Justificacion John Figueroa - de la.txt
Video ID: eW3Hspng6Rg
Segments: 1704
URL: https://www.youtube.com/watch?v=eW3Hspng6Rg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:40] ah
[0:51] y él
[1:16] e
[1:46] i
[1:49] i
[1:51] ah
[1:56] ah
[2:21] a
[2:23] ah
[2:29] él
[2:32] y
[2:35] y
[3:00] a
[3:07] a
[3:33] ah
[3:38] ah
[3:52] no
[3:55] y
[4:17] y
[4:19] y
[4:30] y
[4:37] ah
[4:52] y
[4:57] ah
[5:01] y
[5:05] bien
[5:09] ah
[5:37] [Música]
[5:53] a
[5:57] a
[6:04] y
[6:27] i
[6:31] y
[6:45] [Música]
[7:11] i
[7:21] ah
[7:41] ah
[8:01] i
[8:23] y
[8:31] y
[8:46] y
[8:57] i
[8:59] a
[9:03] i
[9:08] y
[9:24] ah
[9:27] y
[9:41] [Música]
[10:02] i
[10:06] y
[10:37] y
[10:55] y
[11:25] e
[11:26] [Música]
[11:33] 2
[11:35] i
[11:38] jajaja
[11:42] ah
[11:46] i
[12:24] [Música]
[13:03] i
[13:09] ah
[13:16] ah
[13:24] e
[13:36] ah
[13:56] i
[14:18] y
[14:26] y
[14:33] y
[14:41] y
[14:55] ah
[14:58] y
[15:00] no
[15:04] y
[15:08] y
[15:14] y
[15:19] ah
[15:22] i
[15:53] y
[15:58] ah
[16:00] ah
[16:01] y
[16:32] y
[16:44] a
[16:50] i
[17:20] i
[17:22] [Música]
[17:30] um
[17:33] a
[17:36] ah
[17:37] a
[17:41] y
[18:19] [Música]
[18:53] y
[18:56] ah
[18:58] i
[19:08] y
[19:48] y
[19:56] ah
[19:58] i
[20:02] a
[20:04] ah
[20:16] i
[20:19] i
[20:21] y
[20:27] i
[20:29] y
[20:40] [Música]
[20:49] i
[20:54] [Música]
[21:01] bueno
[21:16] y
[21:27] [Música]
[22:08] y
[22:16] [Música]
[23:05] ah
[23:13] ah
[23:17] ah
[23:20] ah
[23:25] ah
[23:38] a
[23:40] ah
[23:43] ah
[24:04] y
[24:05] a
[24:07] ah
[24:12] y
[24:15] a
[24:49] a
[24:52] [Música]
[25:19] [Aplausos]
[25:19] [Música]
[25:26] ah
[25:30] ah
[25:59] [Música]
[26:49] i
[27:10] ah
[27:17] [Música]
[28:07] [Aplausos]
[28:10] [Música]
[28:13] [Aplausos]
[28:13] [Música]
[28:15] [Aplausos]
[28:19] [Música]
[29:12] [Aplausos]
[29:18] [Música]
[29:38] [Aplausos]
[29:40] [Música]
[30:07] todos
[30:16] [Música]
[30:22] ah
[30:26] [Música]
[30:31] [Música]
[30:37] [Música]
[30:39] y
[30:40] ah
[30:47] [Música]
[31:04] ah
[31:06] mi corazón
[31:08] de alabar a
[31:11] a mi señor y dios
[31:14] al rey de agua
[31:16] la tierra de paz
[31:23] y aquí solo
[31:30] de alabar a
[31:32] a mi señor y dios al rey te amo
[31:38] con la tierra de paz
[31:41] entenderé
[31:44] pero es que es un poco
[31:49] el corazón
[31:53] javi señor indio
[31:56] al rey de amor
[31:59] tierra de paz
[32:02] entenderé
[32:05] ya que sufrió
[32:10] saludes yo como soy parte yo me goza el
[32:13] miércoles
[32:14] a lo mejor su el jueves yo me gozo
[32:17] entiende sábado cambio
[32:20] al llegar en los picos y no podemos o te
[32:23] diré por qué
[32:25] porque tengo a cristo
[32:28] de gozarte
[32:29] [Música]
[32:31] con cristo además que el puede
[32:33] más
[32:35] 7777
[32:38] sufrir
[32:40] [Música]
[32:42] más que los demás
[32:46] por qué
[32:51] amigos martes y miércoles
[32:56] nos vemos el jueves yo tengo no
[32:59] entiendes
[33:01] para llegar a estos mismos hijos con él
[33:04] no sólo te diré por qué
[33:07] porque tengo aquí lo que me dan
[33:10] totalmente
[33:12] cristo amigo más que ando mal
[33:17] así me siento solo
[33:21] [Música]
[33:28] 2
[33:29] estoy ahora
[33:32] vendió 12
[33:34] [Música]
[33:42] después
[33:46] todos
[33:51] no
[33:52] [Música]
[33:58] no no
[34:01] [Música]
[34:05] madelón
[34:10] como antes
[34:12] [Música]
[34:23] esto
[34:25] [Música]
[34:26] no
[34:33] [Música]
[34:51] [Música]
[34:55] sean bienvenidos todos hermanos
[34:59] yo creo que dios todavía tiene más para
[35:02] nosotros
[35:05] ah
[35:06] tengo la mejor
[35:09] tengo la victoria
[35:12] con la vista
[35:33] amigos
[35:35] [Música]
[35:45] [Música]
[36:03] tengo la mejor
[36:08] pero era loco
[36:14] [Música]
[36:18] ah
[36:21] [Música]
[36:28] pero tirado
[36:30] eso es
[36:34] [Música]
[36:45] [Música]
[36:58] [Música]
[37:03] pero eso sí
[37:08] y caminando por la labor
[37:28] [Música]
[37:39] [Música]
[37:50] y miren
[37:54] bueno
[37:57] [Música]
[38:01] dios les bendiga hermanos
[38:06] en esta mañana estaba resonando mucho un
[38:08] canto en mi mente en mi corazón
[38:14] y dios a decantarme los con el hermano
[38:17] sectores
[38:18] [Música]
[38:20] y
[38:23] nunca lo he practicado pero
[38:25] pero no quiero cantar de nuevo así es
[38:27] que el que no lo escucho basel primera
[38:29] decena
[38:31] no solamente se encargó de cantar melo
[38:34] pero
[38:35] las mismas palabras
[38:37] resonaban cuando
[38:40] [Música]
[38:49] i
[38:52] [Música]
[39:11] [Música]
[39:14] de todas cadenas que atan tu corazón
[39:20] [Música]
[39:27] perdón
[39:30] no vemos a cómo vamos a comenzar de
[39:32] nuevo
[39:33] [Música]
[39:35] pensando en ese canto tal vez por eso no
[39:38] lo cantaron
[39:41] ese dios que los imposibles
[39:44] en ese que todo lo puede no hay nada
[39:48] pero nada pero nada
[39:52] que no podamos
[39:53] [Música]
[39:55] con ese poderoso conquistador que
[39:58] tenemos
[40:00] hay un dios que todo lo puede
[40:05] poderoso
[40:09] de transformar tu vida
[40:16] [Música]
[40:18] yo solo
[40:20] en ese libertad
[40:26] de nada
[40:35] avilés
[40:38] necesidad
[40:43] locales
[40:45] echada
[40:50] es el que sana
[40:53] m
[40:58] jesucristo
[41:08] sba
[41:09] qué
[41:15] no le va
[41:17] nos vamos
[41:22] sólo el grande lo hizo
[41:27] [Música]
[41:29] y si no no
[41:31] te va a bendecir
[41:34] [Música]
[41:38] está
[41:40] efe
[41:43] hágales
[41:45] lleva
[41:50] [Música]
[41:57] si tú lo crecido
[42:01] te van a decir
[42:04] hay unos que todo los jóvenes
[42:09] podemos subir
[42:20] es el gran dios
[42:23] el s libertad
[42:27] de todas
[42:29] quédate
[42:32] [Música]
[42:36] avilés
[42:39] [Música]
[42:43] locales
[42:46] nada
[42:47] [Música]
[42:50] en mi cama
[42:53] está
[42:54] [Música]
[42:57] y
[43:05] es más
[43:13] a
[43:19] ya no
[43:20] [Música]
[43:24] título 3
[43:28] [Música]
[43:33] en el estado
[43:36] [Música]
[43:41] no no no
[43:44] [Música]
[43:51] no
[43:55] decir
[43:59] a mí
[44:01] [Música]
[44:04] [Aplausos]
[44:08] póngase de piernas vamos a ir a
[44:10] disciplinar
[44:12] la palabra
[44:18] cuánto cree que está aquí en mi vida y
[44:21] [Música]
[44:25] cuando de verdad cree medir su nivel y
[44:28] desde verdad esto es trilingüe
[44:31] sin ninguna duda en mi huerta
[44:34] [Música]
[44:36] y
[44:40] aquí en el edificio geraldine y aquí en
[44:44] jr
[44:48] no lo es
[44:52] como el cielo
[44:54] buscar por las aguas
[44:58] así clama mi alma
[45:02] por ti
[45:04] el señor
[45:08] [Música]
[45:10] yo tengo sed de ti
[45:15] solo a ti
[45:18] buscaré
