################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-03-21 - Reconociendo Su Condicion Vidal Moreno - Vidal Moreno.txt
Video ID: qXbftF4Or9A
Segments: 1850
URL: https://www.youtube.com/watch?v=qXbftF4Or9A
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[1:37] y
[1:48] y
[1:50] [Aplausos]
[1:57] ah
[2:00] y
[2:05] a
[2:19] 2
[2:32] ah
[2:37] ah
[2:39] ah
[2:46] i
[2:49] no
[2:51] ah
[3:03] y
[3:05] a
[3:07] ah
[3:09] [Música]
[3:17] i
[3:27] ah
[3:31] ah
[3:35] ah
[3:40] [Música]
[3:49] no
[3:52] ah
[3:57] i
[4:06] ah
[4:16] um
[4:24] [Música]
[4:33] ah
[4:37] ah
[4:40] [Música]
[5:00] a
[5:04] más
[5:08] no
[5:16] es
[5:18] ah
[5:23] y
[5:28] i
[5:32] ah
[5:34] ah
[5:36] ah
[5:39] ah
[5:44] a
[6:04] i
[6:06] i
[6:09] i
[6:10] [Música]
[6:14] ah
[6:16] [Música]
[6:22] ah
[6:37] y más
[6:39] ah
[6:42] ah
[6:50] no
[6:53] i
[6:56] ah
[7:15] y
[7:22] y
[7:24] a
[7:27] ah
[7:30] ah
[7:36] más
[7:40] ah
[7:42] ah
[7:45] ah
[7:47] a él
[8:03] ah
[8:10] y tal
[8:15] ah
[8:21] 1
[8:35] y
[8:38] a
[8:45] ah
[8:48] ah
[8:54] ah
[8:57] ah
[9:01] y
[9:07] [Música]
[9:19] [Música]
[9:35] i
[9:42] i
[9:45] no no
[9:47] ah
[9:50] ah
[9:55] y
[9:57] ah
[10:03] y
[10:11] no
[10:13] ah
[10:16] y
[10:28] ah
[10:34] y
[10:44] y
[11:06] y
[11:09] y tal
[11:11] 2
[11:11] [Aplausos]
[11:24] más
[11:28] i
[11:33] [Música]
[12:04] ah
[12:09] ah
[12:12] ah
[12:20] i
[12:30] ah
[12:35] ah
[12:37] i
[12:43] ah
[12:44] [Música]
[12:46] ah
[12:53] ah
[13:00] a
[13:04] i
[13:09] ah
[13:16] ah
[13:21] ah
[13:25] y
[13:28] ah
[13:31] [Música]
[13:46] a
[13:56] i
[13:59] i
[14:01] ah
[14:04] [Música]
[14:50] y
[14:53] ah
[14:58] ah
[15:03] ah
[15:05] más
[15:11] ah
[15:14] [Música]
[15:28] ahora
[15:30] i
[15:32] ah
[15:43] ah
[15:50] ah
[15:57] ah
[15:59] i
[16:01] a
[16:16] mal
[16:21] 1
[16:27] a
[16:29] y
[16:33] [Música]
[16:36] a
[16:39] ah
[16:42] ah
[16:45] ah
[16:53] ah
[17:04] no
[17:14] ah
[17:17] [Música]
