################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-04-01 - El Que Estuvo Muerto y Vivio (Ap. 2 - Esmirna Pt. 2 ) Pastor Tito Moreira - Tito Moreira.txt
Video ID: 68Uez6Etepo
Segments: 1565
URL: https://www.youtube.com/watch?v=68Uez6Etepo
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Música]
[0:06] bueno
[0:15] [Música]
[0:32] i
[0:34] [Música]
[0:35] no
[0:43] [Música]
[0:49] ah
[0:58] [Música]
[1:01] i
[1:08] cómo
[1:12] [Música]
[1:24] no
[1:35] ah
[1:57] y
[2:00] [Música]
[2:04] i
[2:20] [Música]
[2:45] y
[2:47] [Música]
[2:51] i
[2:57] ah
[3:00] e
[3:09] a
[3:14] y
[3:20] [Música]
[3:32] [Risas]
[3:35] i
[3:51] [Música]
[3:58] no no
[4:00] [Música]
[4:15] no
[4:24] [Música]
[4:46] ah
[4:59] [Música]
[5:10] bueno
[5:14] [Música]
[5:29] i
[5:30] [Música]
[5:39] i
[5:42] i
[5:44] i
[5:46] a
[5:51] y
[6:00] e
[6:02] ah
[6:03] [Música]
[6:06] i
[6:20] y
[6:22] a 1
[6:25] i
[6:27] i
[6:35] [Música]
[6:48] i
[6:52] i
[6:54] [Música]
[7:19] y
[7:21] ah
[7:36] e
[7:55] ah
[8:04] ah
[8:15] y
[8:18] i
[8:21] [Música]
[8:32] ah
[8:32] [Música]
[8:43] y
[8:46] [Música]
[8:55] ah
[9:04] y
[9:19] [Música]
[9:27] [Risas]
[9:29] [Música]
[9:57] ah
[10:01] ah
[10:06] y
[10:08] [Música]
[10:12] i
[10:21] [Música]
[10:24] a
[10:28] y
[10:31] ah
[10:36] [Música]
[10:38] [Aplausos]
[10:39] [Música]
[10:50] i
[10:52] [Música]
[11:10] i
[11:11] [Música]
[11:24] y
[11:26] [Música]
[12:09] [Música]
[13:17] [Aplausos]
[13:20] [Música]
[13:26] ah
[13:26] [Música]
[13:35] i
[13:36] [Aplausos]
[13:36] [Música]
[13:38] [Aplausos]
[13:41] y
[13:43] [Música]
[13:52] ah
[13:53] [Música]
[13:58] i
[14:02] [Música]
[14:03] [Aplausos]
[14:06] e
[14:09] ah
[14:12] [Música]
[14:15] [Aplausos]
[14:18] [Música]
[14:18] [Aplausos]
[14:20] ah
[14:25] ah
[14:31] y bueno
[14:32] [Música]
[14:40] [Aplausos]
[14:45] ah
[14:46] [Música]
[15:01] ah
[15:02] [Aplausos]
[15:04] [Música]
[15:22] [Aplausos]
[15:22] [Música]
[15:25] por qué
[15:27] [Música]
[15:29] [Aplausos]
[15:30] [Música]
[15:33] i
[15:34] [Música]
[15:43] ah
[15:50] i
[15:55] [Música]
[16:01] [Aplausos]
[16:02] por qué
[16:03] [Aplausos]
[16:04] [Música]
[16:11] esta es la novia que se prevé como
[16:17] esta es la lluvia la que tiene
[16:27] la palabra de profetas
[16:33] no tiene duda ella en su hora
[16:39] muda para poderse quedar
[16:46] ya lo sé
[16:48] la palabra del profeta
[16:51] ya lo creo
[16:53] esta es la novia activa
[16:57] o no
[17:00] es tan obvia la que viene
[17:04] ella lo cree
[17:06] e
[17:09] y la palabra del profeta
[17:12] ya lo cree
[17:16] toda ella en su corazón
[17:19] no tiene dudas para poner sequedad
[17:28] [Música]
[17:30] la palabra del profeta y ya no
[17:36] [Música]
[17:39] sean todos bienvenidos
[17:42] [Música]
[17:48] [Música]
[17:50] de fiesta
[17:52] [Música]
[17:57] la casa de mi dios
[18:01] mccann está alegre cantarle
[18:04] salvador
[18:07] [Música]
[18:09] no
[18:11] [Música]
[18:12] 20
[18:18] soy d
[18:20] es mi gozo el decir que soy de
[18:25] soy d
[18:30] es mi gozo el decir que soy de nieve
[18:36] éramos
[18:39] amado de su voz
[18:41] y en todos los corazones
[18:44] luego de su amor tenemos transportada
[18:50] así
[18:51] y lo haremos para siempre al zarpado
[18:57] [Aplausos]
[19:01] es vivos o el decir que soy rey
[19:06] soy bien
[19:11] es mi gozo el decir que soy de
[19:17] y mujeres
[19:21] [Música]
[19:23] corazón el cielo de tu grande amor
[19:27] quita toda la crisis
[19:30] nuestro corazón
[19:33] sonidos alabemos al señor
[19:42] testigos o eres
[19:53] testigos o el decir que soy dejé
[19:57] día de fiesta día de boston en la casa
[20:01] de mi dios
[20:03] alma canta alegre canta le ha salvado
[20:08] a los redimidos por la gracia de bajar y
[20:13] lo haremos todos juntos al señor
[20:20] [Música]
[20:24] m
[20:28] soy de
[20:33] testigos son el decir que soy d
[20:39] [Música]
[20:41] somos del hermano
[20:44] si estamos aquí por su gracia estamos
[20:47] aquí por su gracia porque él tiene hacia
[20:50] nosotros
[20:51] m
[20:54] vamos a cantar este
[20:56] masticando los que estuvieran los que
[20:58] esperan en jehová
[21:00] [Música]
[21:05] los cristianos que serán hechos
[21:13] eran los inspiran y global
[21:17] tuvo razón
[21:23] ala
[21:25] se levantará
[21:28] está claro
[21:30] como las águilas
[21:34] hola
[21:35] levantara
[21:39] y no se cansará
[21:43] [Música]
[21:45] y no se fatigue hará
[21:48] louis
[21:51] nuevas fuerzas detrás
[21:53] y los que esperan los mismo
[21:56] jehová
[21:58] nuevas fuerzas detrás rey vasco estás
[22:02] detrás
[22:04] los que esperan los que espera
[22:09] los que esperan los que esperan
[22:13] [Música]
[22:23] dña
[22:25] [Música]
[22:27] me bastará
[22:33] bailar
[22:37] de bakará
[22:42] y no se cansará
[22:45] ahora
[22:47] no te faltará
[22:50] más
[22:54] fuerzas tendrán
[22:56] los que esperan esperan y cuba
[23:03] nuevas fuerzas detrás
[23:06] los esperan los que esperan escobar
[23:14] vamos a recibir la palabra hermano
[23:18] [Música]
[23:20] x
[23:21] [Música]
[23:24] qué sería de mí
[23:27] qué sería de nosotros
[23:28] [Música]
[23:35] de mí si no me hubiera
[23:40] [Música]
[23:43] dónde estaría
[23:51] vacío
[23:54] a carías y sin dirección
[24:00] si no fuera por su gracia y por su amor
[24:06] [Música]
[24:18] sería de mí si no me hubieras
[24:21] [Música]
[24:26] dónde estaría
[24:28] si no me hubieras
[24:30] perdonado
[24:32] [Música]
[24:36] mi corazón pagaría sin
[24:47] [Música]
[24:54] gracias
[25:01] pero herido que se mueve
[25:07] [Música]
[25:10] bueno
[25:15] si no fuera por su gracia
[25:23] si no fuéramos
