################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-04-18 - Separados Para Conocer Nuestra Identidad John Figueroa & Pastor Tito Moreira - Tito Moreira.txt
Video ID: PHctA4zS1fk
Segments: 2141
URL: https://www.youtube.com/watch?v=PHctA4zS1fk
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] ah
[0:00] [Música]
[0:04] ah
[0:13] a
[0:17] ah
[0:33] y
[0:51] i
[0:56] y
[0:57] [Música]
[1:02] hola
[1:06] i
[1:08] o
[1:14] ah
[1:17] ah
[1:22] y más
[1:25] [Música]
[1:41] a
[1:59] a
[2:10] a
[2:14] a
[2:17] [Música]
[2:31] y
[2:36] [Música]
[2:41] y
[2:44] ah
[2:46] ah
[2:55] y
[3:06] no no
[3:09] ah
[3:15] ah
[3:19] ah
[3:22] i
[3:27] ah
[3:38] ah
[3:40] ah
[3:52] él
[3:57] más
[4:12] no
[4:15] ah
[4:17] a
[4:24] ah
[4:29] y
[4:36] ah
[4:45] ah
[4:50] a
[4:52] i
[4:54] y
[4:59] ah
[5:02] i
[5:10] ah
[5:12] ah
[5:15] ah
[5:18] ah
[5:20] ah
[5:24] i
[5:32] no
[5:39] ah
[5:45] ah
[5:46] ah
[5:57] a
[6:02] [Música]
[6:04] [Aplausos]
[6:16] no
[6:19] y él
[6:34] ah
[6:41] ah
[6:45] a
[6:46] ah
[6:54] ah
[7:05] y
[7:08] ah
[7:14] [Música]
[7:33] [Música]
[8:00] ah
[8:04] más
[8:10] [Música]
[8:17] más
[8:18] a
[8:24] ah
[8:29] sí
[8:33] [Música]
[8:37] hola
[8:41] sí
[8:44] i
[8:46] ah
[8:52] bien
[8:58] [Música]
[9:05] i
[9:08] [Música]
[9:39] ah
[9:41] [Música]
[9:47] y
[9:48] [Música]
[10:06] a
[10:08] no no
[10:10] [Música]
[10:14] ah
[10:17] [Música]
[10:19] [Aplausos]
[10:19] [Música]
[10:21] [Aplausos]
[10:22] [Música]
[10:28] ah
[10:30] [Música]
[10:51] [Aplausos]
[10:52] [Música]
[11:18] ah
[11:20] a
[11:24] [Música]
[11:25] [Aplausos]
[11:29] [Música]
[11:39] ah
[11:43] y
[11:46] [Música]
[11:55] [Aplausos]
[11:56] [Música]
[12:02] ah
[12:02] [Música]
[12:20] ah
[12:22] [Aplausos]
[12:22] [Música]
[12:30] ah
[12:33] [Música]
[12:37] ah
[12:39] [Música]
[12:40] [Aplausos]
[12:40] [Música]
[12:53] [Música]
[12:59] [Música]
[13:16] [Música]
[13:31] ah
[13:33] a vos
[13:37] [Música]
[13:39] ah
[13:50] [Música]
[14:00] [Música]
[14:04] ah
[14:12] [Música]
[14:17] no
[14:20] ah
[14:22] [Música]
[14:27] [Música]
[14:31] aleluya
[14:33] puede ponerse de pie hermano sin tiempos
[14:37] vamos a orar al señor con todos nuestros
[14:40] corazones
[14:42] como duele amarte
[14:44] a la vez
[14:47] y como nueve amarle con todo mi corazón
[14:52] como nueve a marte
[14:55] mi dios
[14:57] si me has bendecido con eterna salvación
[15:03] y ha servido para mí
[15:07] mi alma
[15:09] [Música]
[15:10] o bendita sea la gracia
[15:14] [Música]
[15:16] ah
[15:19] [Aplausos]
[15:20] [Música]
[15:22] bendita sea tu sangre
[15:25] de luna
[15:27] [Música]
[15:30] como de llamarte y como 9 a marte con
[15:36] todo mi corazón
[15:38] como no el de amarte
[15:41] mi dios
[15:43] si me has bendecido con eterna salvación
[15:48] díaz redimido harán bien
[15:53] mi alma
[15:56] [Música]
[15:58] ya sea la gracia
[16:01] de tu palabra
[16:05] m
[16:07] como bendita sea tu sangre que por mí se
[16:12] de ramón
[16:13] ayala
[16:15] o yo
[16:19] alabanzas
[16:23] y cuántos están agradecidos
[16:26] a la muerte
[16:30] pero
[16:32] el perdón a mí
[16:36] no
[16:40] y cómo puede beber para servirte en mi
[16:44] señor
[16:46] como no debe hacerlo con amor
[16:51] cuando estaba preso y corrompido en mi
[16:55] corazón no me miraste del cielo para mí
[17:00] haber salvado
[17:05] bendita sea la gracia
[17:10] de tus palabras
[17:11] señor
[17:15] quizás sea tu sangre que por mi sed en
[17:20] amor
[17:22] hallar la cruz
[17:23] yo te casa
[17:26] no
[17:28] ver esas alabanzas
[17:31] agradecidos sr
[17:36] yo merecía la muerte pero cristo el
[17:40] perdón
[17:44] a mí me dio
[17:50] la
[17:52] tormenta surge largo
[17:58] y tras la noche
[18:02] brota luz
[18:05] tras el
[18:08] dolor y la tristeza
[18:12] [Música]
[18:14] explicó del rostro de jesús
[18:20] y en ley
[18:22] pórtico de alabanzas
[18:27] adoración a dios vive
[18:30] porque en el
[18:32] 1er descansa
[18:36] de cara a cara yo le veré
[18:39] o no
[18:41] vendrá la eterna primavera
[18:48] el invierno abrumador
[18:52] mientras la sombra de la tierra
[18:58] para ver por mí
[19:02] yo
[19:04] y alabanzas
[19:07] de
[19:08] adoración a dios rubén por pl mi ser
[19:15] descansa en caracas cuando lo pueden ver
[19:20] en esta mañana m
[19:22] tras los conflictos de la vida
[19:29] esperarme favor
[19:33] atrás del valle de la muerte
[19:38] el siervo fiel verá al señor
[19:45] de alabanza
[19:48] a mí
[19:53] del mes
[19:56] descansa
[19:58] cara a cara
[20:02] y tras todo estadios vuestros padres
[20:08] su amor jamás nos faltará
[20:14] de este mundo miró al cielo
[20:20] el vivir
[20:25] de álava
[20:28] [Música]
[20:30] una vez
[20:33] por perder mis seres descansar
[20:40] puede tomar su asiento
[20:43] el
[20:45] momento de alabanza y adoración
[20:54] el
[20:56] comisario descansa de carácter
[21:00] [Música]
[21:04] o
[21:09] cap las ideas de sonido
[21:11] [Música]
[21:21] [Música]
[21:22] [Aplausos]
[21:25] [Música]
[21:26] y conmigo
[21:31] en lo que te está pasando porque yo
[21:34] también sufrí
[21:39] [Música]
[21:43] intento
[21:46] yo también fui perseguido maltratado por
[21:50] amarte a ti
[21:58] pero tú
[22:02] tienes la promesa de
[22:05] d
[22:09] y aunque veía
[22:13] que te encuentres en el valle de la
[22:16] muerte
[22:16] recuerda qué
[22:20] yo soy aquel que en medio de la prueba
[22:23] siempre va contigo
[22:26] cuando todo se aleja yo sigo tu amigo
[22:30] que te levanto cuando vino
[22:35] doctora
[22:39] y
[22:40] no entiendo medios en el mar si calle yo
[22:44] soy quien abre puertas
[22:46] [Música]
[22:48] porque yo soy tu señor
[22:54] [Música]
[22:57] hijo mío
[23:01] he entregado una espada para que tú
[23:04] puedas hoy luchar
[23:12] el gigante
[23:14] [Música]
[23:16] que pueda detener porque si tú lo ves
[23:27] pero tú
[23:30] [Aplausos]
[23:31] esta promesa tengo
[23:34] me dejaré
[23:41] que te encuentres en el valle de la
[23:44] muerte
[23:45] aquí
[23:46] [Música]
[23:49] y añadió de la fragancia
[23:55] yo tengo amigos
[23:59] cuando te vayas
[24:02] y ahora qué
[24:04] pero
[24:06] no
[24:08] tarea de callar
[24:11] abre puertas
[24:13] no
[24:16] yo soy aquel que en medio de la prueba
[24:19] hacia arriba contigo cuando todos se
[24:22] alejan yo he sido amigo
[24:26] yo soy
[24:30] aquel que nunca ha perdido una batalla
[24:34] 200 obedecen y el mar
[24:42] perdidos
[24:44] no señor
[24:47] tus hijos
[24:51] soy tu señor
[24:54] yo soy
[24:58] dios bendiga
[25:03] [Aplausos]
[25:04] [Música]
[25:08] amén
[25:10] cuantos pueden decir amén amén
[25:13] están listos para recibir la palabra del
[25:16] señor
[25:18] [Música]
[25:20] parece que parece que no están listos
[25:22] para reaccionar y están listos
[25:27] yo sé yo sé que la palabra no es para
[25:30] todos
[25:33] pero vamos a preparar el camino y vamos
[25:37] a limpiar
[25:39] si hay piedras ahí
[25:43] si hay espinas en
[25:46] las
[25:48] cosas y vamos a limpiar la tierra en
[25:52] esta mañana para que cuando caiga la
[25:54] palabra el señor pueda producir vida
[26:00] cuando están dispuesto a hacerlo vamos a
[26:03] limpiarnos un agrimensor se limpie sus
[26:06] canales venecianos
[26:10] dejé todo fuera
[26:13] puede ponerse en pie
[26:17] vamos vamos a dejar todo
[26:21] vamos a recoger la ofrenda
[26:23] [Música]
[26:26] cuánto puedes dejar todo en
[26:32] las manos de dios en esta mañana
[26:36] no haga como aquella mujercita que le
[26:39] invitaron a la iglesia
[26:41] le dijeron de deje las gallinas ahí
[26:45] [Música]
[26:46] jesús
[26:49] [Música]
[26:53] jesús está aquí y
[26:57] las gallinas
[26:58] [Música]
[27:02] limpie su mente
[27:04] vamos ahí la palabra el señor
[27:08] por este cántico no sé por qué el señor
[27:11] tú me tocaste
[27:15] por qué
[27:19] señor tú me tocaste no sé por qué
[27:25] en mi tú te fijas
[27:29] pero
[27:31] sí sí
[27:33] qué grande es tu amor
[27:36] por mí
[27:38] [Música]
[27:41] el corazón
[27:43] o si está
[27:46] agradecido con mi corazón
[27:51] está
[27:53] la tirreno
[27:55] y conmigo
[27:57] digo siempre
[27:59] yo quiero
[28:00] señor cuando puede identificarse con eso
[28:05] o porque fuera de ti y por
[28:10] fuera
[28:12] nada
[28:16] nada de cero
[28:21] la tierra
[28:24] tu
[28:25] presencia es más
[28:28] es hermosa
[28:31] que cualquier cosa
[28:37] x
[28:39] el juego era
[28:42] [Música]
[28:45] nada deseo
[28:50] en la tierra
[28:52] tu
[28:54] presencia es baja
[28:57] hermosa
[28:59] de cualquier color
[29:05] dígale tú eres mi señor y tú el señor
[29:10] o amigos o en mi alegría o tú estás
[29:16] señor
[29:19] conmigo todo el día
[29:22] bien
[29:23] [Música]
[29:24] yo siempre
[29:27] quiero señor
[29:29] estar
[29:34] y por qué
[29:38] era de tres
[29:42] por cada deseo
[29:47] la tierra
[29:49] [Música]
[29:50] o tu
[29:51] presencia es más
[29:54] es hermosa
[29:56] de cualquiera
[29:59] cómo
[30:03] [Música]
[30:06] grados
[30:07] [Música]
[30:10] no
[30:12] señor en la tierra o de presencia su
[30:19] presencia es bajo hermosa
[30:23] de cualquier cosa
[30:28] no me has librado
[30:31] librado de la muerte
[30:35] [Música]
[30:38] la
[30:39] nueva vida
[30:43] me
[30:45] sacaste mi tristeza
[30:50] vivir
[30:52] se dice de alegría
[30:57] sí
[31:03] cascallares
[31:05] y
[31:10] daré
[31:13] por qué
[31:16] alabar y
[31:19] victoria d
[31:26] sucre
[31:29] es mi sueño
[31:36] me encantaría
[31:40] o qué
[31:41] [Música]
[31:43] bueno
[31:46] [Música]
[31:54] dios les bendiga
[31:55] [Música]
[31:57] dios les bendiga más bien morning en
[32:00] gloria del señor cuánto aman a dios amón
[32:02] y doctor en cuanto a aman su palabra a
[32:06] mérida this world a main gloria al señor
[32:08] dios es bueno marcar y es que dios es
[32:11] bueno
[32:12] esta mañana damos gracias a dios
[32:16] worten dando este privilegio
[32:20] aquí en el púlpito
[32:23] y poder predicar la palabra del señor
[32:27] moreira
[32:29] moreira a sus titulares hermoso
[32:33] privilegio
[32:34] quiero felicitar
[32:37] a
[32:40] fidel es fidel o la hermosa palabra que
[32:44] nos trajeron en la mañana
[32:46] cuando se bajaron amarillo
[32:50] y meditaba antes de entrar al tema
[32:54] rápidamente en la historia que ellos
[32:57] trajeron
[32:59] de los corderos
[33:02] si yo soy apasionado me gusta más ver ya
[33:06] en la historia de los animales su
[33:09] comportamiento estudio tenemos entre el
[33:11] bikini y si ellos hablaran
[33:14] creo que nos enseñaría muchas cosas de
[33:17] dvd
[33:19] hay algo en particular pero esto no
[33:21] tiene por qué en los animales en diezmos
[33:24] que andan en manadas de terror info y es
[33:27] que cuando ellos se ven amenazados
[33:31] phil traill y ven que el predador viene
[33:35] a lastimar le necesito perder y si se
[33:37] escucha hunting ellos hacen un círculo
[33:39] de makers terco pero afuera del círculo
[33:42] por ende laude por eso q están los
[33:45] grandes
[33:46] están los fuertes dentro del círculo
[33:53] están los débiles
[33:56] están los nuevos
[33:59] en la naturaleza
[34:02] gloria de américa
[34:05] maravillosa es el señor
[34:07] así que les invita en esta mañana ya que
[34:10] está empiezo en by you this morning de
[34:12] que muera biblia en segunda de
[34:14] tesalonicenses el gordo busca que esa
[34:17] sea la unicén capítulo 27 8 versículo 13
[34:20] verster chin y queremos usar este texto
[34:23] bíblico with la crisis
[34:26] como base es lo que dios puso en nuestro
[34:29] corazón
[34:30] en el tema de santificación y el tema
[34:35] que hemos considerado entonces en ser
[34:38] separados para conocer nuestra identidad
[34:43] leemos la palabra del señor brito gordo
[34:46] no lo dice de la siguiente manera se
[34:48] formen pero nosotros debemos dar siempre
[34:53] gracias sabio respecto a vosotros
[34:55] hermanos amados por el señor de que dios
[35:00] os haya escogido desde el principio para
[35:04] salvación no mediante la santificación
[35:09] por el espíritu y la fe en la verdad
[35:24] también ayuda a mejorar la vida
[35:27] padre celestial
[35:31] por este privilegio gracias por esta
[35:33] bendición
[35:35] gracias por permitirnos prolongue
[35:38] dedicar tu palabra
[35:41] una vez más te pedimos que nos ayude
[35:46] sabiduría revelación
[35:49] háblanos a través de tu palabra europe
[35:52] instruyó bolt en el nombre del señor
[35:55] jesucristo en el doctor chiste del
