################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-04-25 - Paradoja Sobre El Sol Gamaliel Martinez & Jesus Salgado - Paradoja Sobre El Sol.txt
Video ID: TrEwtuciPLU
Segments: 1970
URL: https://www.youtube.com/watch?v=TrEwtuciPLU
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] a
[0:02] i
[0:04] ah
[0:09] ah
[0:12] ah
[0:14] ah
[0:17] a
[0:25] a
[0:27] a
[0:31] i
[0:38] i
[0:47] y
[0:59] y
[1:01] ah
[1:05] ah
[1:07] a
[1:10] a
[1:13] ah
[1:17] ah
[1:19] ah
[1:24] él
[1:29] ah
[1:32] a
[1:48] y
[1:52] ah
[1:58] e
[2:02] ah
[2:09] más
[2:12] y
[2:16] [Música]
[2:18] y
[2:25] y
[2:29] i
[2:34] ah
[2:39] y
[2:46] [Música]
[2:56] [Música]
[3:12] a
[3:19] i
[3:27] ah
[3:51] ah
[3:53] y
[3:58] a
[4:01] ah
[4:04] ah
[4:06] a mí
[4:09] a
[4:15] [Música]
[4:20] y
[4:30] ah
[4:40] [Música]
[5:21] a
[5:23] [Música]
[5:30] i
[5:32] [Música]
[5:35] [Aplausos]
[5:37] ah
[5:40] ah
[5:41] [Música]
[5:46] a
[5:49] ah
[5:53] [Música]
[6:00] [Aplausos]
[6:01] [Música]
[6:08] ah
[6:09] [Música]
[6:13] [Aplausos]
[6:15] y
[6:18] [Música]
[6:30] y
[6:31] [Música]
[6:33] ah
[6:35] [Música]
[6:51] [Aplausos]
[6:56] [Música]
[6:57] [Aplausos]
[6:58] [Música]
[7:02] [Aplausos]
[7:04] e
[7:07] [Música]
[7:15] [Aplausos]
[7:16] m
[7:17] [Música]
[7:22] ah
[7:25] [Aplausos]
[7:25] [Música]
[7:31] ah
[7:35] [Música]
[7:39] [Aplausos]
[7:41] [Música]
[7:47] a
[7:50] i
[7:50] [Música]
[7:56] ah
[7:56] [Música]
[8:05] no
[8:07] [Música]
[8:20] ah
[8:22] [Música]
[8:25] ah
[8:27] [Aplausos]
[8:28] [Música]
[8:47] i
[8:50] [Música]
[8:56] i
[8:58] ah
[9:00] [Música]
[9:10] y
[9:17] [Música]
[9:28] ah
[9:30] [Música]
[9:38] [Aplausos]
[9:39] [Música]
[9:51] e
[9:54] [Música]
[10:01] [Aplausos]
[10:03] ah
[10:06] [Música]
[10:14] ah
[10:15] [Música]
[10:26] no no
[10:32] [Música]
[10:46] y
[10:49] [Música]
[10:54] ah
[10:59] [Música]
[11:06] no no
[11:06] [Música]
[11:11] no
[11:12] [Música]
[11:18] dios les bendiga a los hermanos cuantos
[11:21] están contentos en esta mañana
[11:23] this morning del viento que se ponga de
[11:25] pie al qirbi lista vamos a cantar a
[11:28] nuestro señor
[11:32] rechace
[11:34] [Música]
[11:37] estoy hablando
[11:41] [Música]
