################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-10-23 - Nacido y Luego Nacido Posicionalmente - Pt1 Jimmy Alkire de Las Cruces, NM - Jimmy Alkire, de la.txt
Video ID: anWxKdm_IOQ
Segments: 2217
URL: https://www.youtube.com/watch?v=anWxKdm_IOQ
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Música]
[0:25] i
[0:28] [Música]
[1:02] ah
[1:21] ah
[1:25] ah
[1:29] ah
[1:34] i
[1:45] i
[1:55] [Música]
[2:15] a
[2:24] y
[2:49] [Música]
[3:03] y
[3:06] ah
[3:07] y
[3:10] ah
[3:19] ah
[3:23] ah
[3:24] y
[3:25] ah
[3:28] ah
[3:32] ah
[3:35] ah
[3:39] ah
[3:49] y
[4:05] y
[4:07] ah
[4:14] ah
[4:18] ah
[4:22] ah
[4:23] ah
[4:27] y
[4:31] ah
[4:37] ah
[4:43] y
[4:48] i
[4:52] ah
[5:03] ah
[5:13] ah
[5:19] ah
[5:22] y
[5:23] ah
[5:28] ah
[5:37] y
[5:39] ah
[5:40] ah
[5:42] ah
[5:45] i
[5:56] i
[6:18] [Música]
[6:33] ah
[6:36] ah
[6:37] ah
[6:45] ah
[7:06] ah
[7:08] a
[7:17] ah
[7:19] ah
[7:27] ah
[8:00] ah
[8:02] y
[8:04] ah
[8:06] i
[8:11] ah
[8:18] ah
[8:22] ah
[8:30] hola
[8:33] a
[8:35] y
[8:46] ah
[8:50] ah
[8:58] ah
[9:00] ah
[9:06] ah
[9:24] ah
[9:40] a
[9:49] y
[9:51] ah
[9:53] i
[10:05] ah
[10:13] [Música]
[10:23] ah
[10:26] ah
[10:34] ah
[10:51] ah
[10:58] ah
[11:05] i
[11:07] ah
[11:43] ah
[11:45] ah
[11:53] ah
[11:55] a
[12:02] ah
[12:04] ah
[12:11] y
[12:13] y
[12:19] y
[12:22] ah
[12:24] ah
[12:30] ah
[12:31] ah
[12:33] ah
[12:50] ah
[13:13] ah
[13:17] ah
[13:25] ah
[13:47] ah
[13:50] a
[13:59] ah
[14:02] ah
[14:10] i
[14:12] [Música]
[14:21] ah
[14:24] ah ah
[14:33] ah
[14:35] ah
[14:38] ah
[14:47] ah
[14:48] a
[14:50] ah
[15:05] ah
[15:11] ah
[15:20] ah
[15:25] ah
[15:34] ah
[15:40] ah
[15:46] a
[15:49] i
[15:51] ah
[16:01] i
[16:21] [Música]
[16:35] ah
[16:43] ah
[16:48] ah
[16:57] a
[17:03] ah
[17:04] i
[17:09] a
[17:11] i
[17:15] ah
[17:16] [Música]
[17:27] ah
[17:29] ah
[17:35] ah
[17:46] ah
[17:47] ah
[17:49] ah
[17:51] y
[18:18] i
[18:23] ah
[18:27] a
[18:33] ah
[18:45] ah
[18:51] [Música]
[19:05] ah
[19:07] [Música]
[19:10] ah
[19:30] ah
[19:35] ah
[19:42] i
[19:50] ah
[19:52] ah
[20:00] ah
[20:02] y
[20:12] [Música]
[20:21] i
[20:27] y
[20:58] [Música]
[21:52] [Aplausos]
[22:05] [Música]
[22:11] [Aplausos]
[22:12] [Música]
[22:41] [Aplausos]
[22:54] [Música]
[22:59] [Aplausos]
[23:00] [Música]
[23:05] [Aplausos]
[23:08] [Música]
[23:54] [Aplausos]
[23:59] [Aplausos]
[24:08] [Aplausos]
[24:09] [Música]
[24:12] [Aplausos]
[24:13] [Música]
[24:16] [Aplausos]
[24:24] [Aplausos]
[24:26] [Música]
[24:35] [Aplausos]
[24:36] [Música]
[24:42] [Aplausos]
[24:42] [Música]
[24:48] [Aplausos]
[24:49] [Música]
[24:51] [Aplausos]
[24:53] [Música]
[25:00] [Aplausos]
[25:01] [Música]
[25:05] [Aplausos]
[25:06] [Música]
[25:08] [Aplausos]
[25:09] [Música]
[25:19] [Aplausos]
[25:24] [Aplausos]
[25:28] acá
[25:39] [Aplausos]
[25:40] [Música]
[25:43] [Aplausos]
[25:45] [Música]
[25:49] no
[25:51] [Música]
[25:52] [Aplausos]
[25:53] [Música]
[26:08] [Aplausos]
[26:10] [Música]
[26:14] amigos
[26:17] cambiamos todo mundo
[26:18] [Música]
