################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-02-12 - Hasta La Muerte Por Mi Hermano Fernando Avila, Isaac Arellano & Alex Perez - Alex Perez, Isaac Arellano.txt
Video ID: T0pIqu0Xj4w
Segments: 974
URL: https://www.youtube.com/watch?v=T0pIqu0Xj4w
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[2:39] so
[2:43] [Music]
[2:52] so
[2:58] [Music]
[3:11] [Music]
[3:14] [Applause]
[3:17] [Music]
[3:19] [Applause]
[3:20] [Music]
[3:30] [Applause]
[3:34] [Music]
[3:36] so
[3:38] [Music]
[3:43] [Applause]
[3:43] [Music]
[3:59] [Music]
[4:00] [Applause]
[4:13] [Music]
[4:26] [Music]
[4:45] so
[4:47] [Music]
[5:00] do
[5:06] [Music]
[5:18] [Music]
[5:19] [Applause]
[5:20] [Music]
[5:32] [Music]
[5:44] [Music]
[5:56] [Music]
[6:03] if you can please stand
[6:18] [Music]
[6:19] [Applause]
[6:22] [Music]
[6:32] with
[6:42] [Music]
[6:46] oh
[6:47] [Applause]
[6:48] [Music]
[6:54] yes
[6:56] [Music]
[7:08] [Applause]
[7:13] oh
[7:14] [Music]
[7:19] [Applause]
[7:21] [Music]
[7:27] you
[7:31] [Music]
[7:40] see
[7:41] [Music]
[7:52] yes
[7:54] [Music]
[8:20] yes
[8:22] [Music]
[8:51] [Applause]
[8:52] [Music]
[9:07] the
[9:09] [Music]
[9:21] [Music]
[9:26] [Applause]
[9:33] um
[9:35] [Music]
[9:47] youth services
[9:55] [Music]
[10:09] oh
[10:10] [Music]
[10:19] lspd
[10:22] [Music]
[10:53] [Applause]
[10:54] [Music]
[10:58] oh
[10:59] [Music]
[11:05] oh
[11:08] [Music]
[11:22] oh
[11:25] [Music]
[11:36] [Music]
[12:07] me
[12:11] [Music]
[12:18] he said
[12:23] [Music]
[12:54] is
[12:57] [Music]
[13:46] yo
[13:48] [Music]
[14:09] oh
[14:13] [Music]
[14:29] [Music]
[14:33] foreign
[14:36] [Music]
[14:58] listening to a special
[15:07] hallelujah
[15:22] foreign
[15:25] [Music]
[15:44] so
[15:46] [Music]
[15:59] so
[16:03] [Music]
[16:36] [Music]
[16:44] [Music]
[16:47] [Applause]
[16:49] a
[16:50] [Music]
[17:02] [Music]
[17:09] [Music]
[17:16] my
[17:17] [Music]
[17:24] is
[17:26] [Music]
[17:43] me
[17:52] [Music]
[17:58] in
[18:00] [Applause]
[18:01] [Music]
[18:05] [Applause]
[18:06] in
[18:08] [Music]
[18:19] is
[18:21] [Music]
[18:52] [Applause]
[18:54] foreign
[18:56] [Music]
[19:00] [Applause]
[19:03] [Music]
[19:50] my
[19:52] [Music]
[19:59] [Applause]
[19:59] [Music]
[20:12] is
[20:14] [Music]
[20:15] [Applause]
[20:24] [Music]
[20:32] who knows
[20:34] [Music]
[20:41] [Music]
[20:47] i
[20:54] [Music]
[21:01] [Applause]
[21:02] [Music]
[21:05] [Applause]
[21:07] [Music]
[21:13] may know
[21:19] [Music]
[21:26] [Music]
[21:27] then
[21:31] [Music]
[21:35] is
[21:37] [Music]
[21:39] [Applause]
[21:44] [Music]
[22:02] [Applause]
[22:07] stands
[22:22] receive the offering in the tides
[22:30] [Music]
[22:32] from our lord jesus
[22:34] [Music]
[22:39] let me sing christ song
[22:41] [Music]
[23:00] foreign
[23:02] [Music]
[23:13] foreign
[23:14] [Music]
[23:16] [Applause]
[23:17] [Music]
[23:39] is
[23:42] [Music]
[23:43] [Applause]
[23:47] [Music]
[23:54] [Applause]
[24:00] [Music]
[24:10] [Music]
[24:17] [Applause]
[24:19] [Music]
[24:27] [Applause]
[24:31] yes
[24:31] [Music]
[24:45] [Music]
[25:04] is
[25:09] [Music]
[25:25] [Music]
[25:38] [Music]
[25:54] yes
[25:58] [Music]
[26:09] [Music]
[26:22] [Music]
[26:35] [Music]
[26:45] [Applause]
[26:45] [Music]
[26:57] me
[27:00] [Music]
[27:14] [Music]
[27:17] foreign
[27:18] [Music]
[27:22] [Applause]
[27:27] [Music]
[27:46] foreign
[27:50] yes
[27:52] [Applause]
[27:54] [Music]
[28:05] amen amen
[28:07] genesis chapter 13.
[28:09] [Music]
[28:13] army are glad to be in the house of the
[28:15] lord tonight amen i'm gonna stay right
[28:17] there on the back of them because are
[28:18] you guys hear us isaac
[28:22] amen
[28:23] just follow my lead bro you got this
[28:26] it's a blessing to be here amen
[28:29] i thank god for his promises and
[28:31] blessings in my life
[28:34] keep it up though no god god will never
[28:37] will never forsake one of his children
[28:39] amen
[28:42] that's right in times of uh trouble in
[28:44] times of need he is there with us
[28:50] hey man i'm not sure if i shared it
[28:51] before
[28:55] i'm happy and i'm honored to be a part
[28:57] of this church
[29:02] we are blessed to have a pastor
[29:06] uh whom we see god in amen
[29:25] i i remember uh like maybe four months
[29:27] after moving here
[29:30] there i would call my dad still
[29:33] yeah
[29:34] and and and tell him what i was going
[29:36] through
[29:38] my problems
[29:45] don't you have a pastor over there and i
[29:47] was like i'm like yeah but i mean
[30:18] so if my dad was tired of the burdens i
[30:19] gave him you know alien cannot
[30:42] and it says like this
[30:44] then chose him
[30:46] all the plane of jordan and lord journey
[30:49] east and they separated themselves the
[30:51] one from the other entonces
[31:00] abraham dwelled in the land of canaan
[31:03] and la doll in the cities of the plane
[31:05] and pitch his tent towards sodom rama
[31:08] campo
[31:16] hey man let's
[31:42] amen amen you may go ahead and take a
[31:44] seat
[32:10] [Music]
[32:26] uh
[32:27] plata they were rich in gold ricos and
[32:30] otto and they were rich in uh in cattle
[32:33] tambien and they both they both had so
[32:36] much
[32:37] possession
[32:39] in the same place
[32:55] and thresholds
[32:58] and among other things
[33:01] so abraham said let's go ahead and and
[33:04] separate
[33:07] and what's outstanding to me
[33:11] is that abraham is it afram let um lot
[33:14] take the decision of where to go
[33:21] if you go left situta
[33:30] and the bible says that a lot looked out
[33:32] into the outskirts into the city
[33:36] of
[33:50] maybe that would be great for my channel
[33:54] beneficiary
[33:55] so he goes off to saturday
[34:00] and sodom's is in the planes
[34:10] and abraham stays in canaan before he he
[34:14] he goes on yeah
[34:18] so
[34:32] every time god
[34:49] i believe abraham placed himself in the
[34:51] hands of god
[34:52] who established
[34:54] that's why he told lot to make the the
[34:56] decision but i saw that
[34:58] this is in god's hands
[35:06] [Music]
[35:41] you want to have one foot in the church
[35:47] in the world
[35:49] but god says you cannot have two masters
[35:54] it's either you serve me
[36:00] [Music]
[36:11] india i i lived in that area of
[36:13] hollywood
[36:15] hollywood i was maybe like 40 minutes
[36:17] away from there
[36:20] and uh it's very eye capturing it's very
[36:22] entertaining to be out there
[36:35] is
[36:50] you know it's uh
[36:51] and i'm gonna bring it i'm gonna bring
[36:53] it home i'm gonna make it a little bit
[36:54] personal for us the youth here
[36:59] there's uh
[37:00] at times we we we separate ourselves
[37:05] from one another the nosotros
[37:09] and i've said it before it's sometimes
[37:11] it's because we think we're better than
[37:13] our brother
[37:16] we think we're better than our sisters
[37:20] you know i'm a separate from this person
[37:22] because i don't like them
[37:26] from this person because they have a bad
[37:27] attitude
[37:31] from this person because we both like
[37:33] the same girl
[37:34] it's a personal
[37:37] you know that's not the separation that
[37:39] abraham and lot did
[37:44] we actually need one another
[37:48] because the
[38:16] we separate from the wrong things
[38:21] separate from god
[38:25] we love those who despise us
[38:28] one more time we love we love more of
[38:30] those who despise us
[38:34] than those who actually love us
[38:38] and i could i could just imagine lot
[38:40] yeah my father not alone when he was
[38:42] looking out into uh jordan to sodom what
[38:57] he probably saw more possessions in his
[38:59] hands
[39:02] but brother branham says that the word
[39:04] romano brandon says
[39:09] all that lead
[39:40] or five towns against fortes
[39:44] and in the war and in in that war
[39:48] is uh is held hostage not hostage sorry
[39:50] uh captive lost
[39:54] him and his family and all of his
[39:56] family
[39:58] you know and that is it's like that with
[40:00] us
[40:02] sometimes we go with our flesh desires
[40:07] we want to be out in the world
[40:36] and like i said abraham
[40:39] gave lot the decision to choose where
[40:43] lopez
[40:46] and that's the same as god giving us
[40:48] free will yes la mesmo dios dandonos
[40:59] [Music]
[41:02] god doesn't force me to serve him
[41:08] you know and what amazes me about the
[41:10] story we keep reading
[41:14] abraham
[41:16] found out
[41:18] that
[41:28] you know abraham didn't say
[41:30] i'm not going to go into war afraid
[41:42] he didn't say that the bible actually
[41:44] didn't say that he went to rescue his
[41:46] nephew
[41:50] the bible says that he went to go rescue
[41:51] his brother
[41:55] so abraham i could just imagine abraham
[41:58] amen
[42:19] [Applause]
[42:28] i will
[42:29] [Music]
[42:38] facing hard trials facing hard times
[42:42] instead of being
[42:55] you actually deserve everything you're
[42:57] going through
[43:00] but we shouldn't be like that i don't
[43:02] know the videos
[43:08] yo let's tell them get up brother where
[43:10] is
[43:21] [Music]
[43:37] you figure yourself out
[43:40] you know
[43:41] we want to be blessed by god
[43:45] you don't want to be a blessing to
[43:47] others
[43:51] we all know that we're a blessing to
[43:52] someone amen
[43:56] god placed us in someone's life
[44:00] because that person needed you
[44:02] persona
[44:04] you know
[44:05] 34 yeah
[44:09] [Music]
[44:12] for those says the lord god
[44:15] behold i even
[44:16] i even
[44:18] even i will both search my sheep and
[44:20] seek them out
[44:28] as a shepherd seek us out his flock in
[44:30] the day
[44:31] that he that he is among
[44:33] his sheep that are scattered so will i
[44:36] seek out my sheep and will deliver them
[44:38] out of all the places where they have
[44:39] been scattered in the cloudy and dark
[44:41] days
[45:01] he did it once already
[45:17] perfection and la pre casona perfection
[45:20] i'm a reader fast if you can follow
[45:22] along bro
[45:24] abraham
[45:26] lot his cousin had backslid and you you
[45:28] see the real true spirit of christ i
[45:30] hope you get it no matter how far he had
[45:33] backslid
[45:34] when he was in trouble he came abraham
[45:37] here came abraham with him in army the
[45:39] aliens around about through the valleys
[45:42] of sodom had come down and had took
[45:44] sodom and it's keen
[45:46] abram
[45:57] problemas
[46:14] when he looked down and saw that the
[46:16] enemy had taken away his blood relation
[46:22] he formed an army of his own servants
[46:40] he formed a legend of angels and came to
[46:41] the earth to pursue the devil
[46:46] overtook hallelujah
[46:50] this person now we love him for that
[46:53] foreign
[46:54] [Music]
[47:07] let's not be a burden to our brothers
[47:11] in galatians it actually says and
[47:13] galatas and siddhis in order to fulfill
[47:15] the law of god
[47:18] it says to help our brothers
[47:36] i'm just going to finish with this
[47:39] the disciples i believe it's in the book
[47:41] of mark they were they were debating
[47:47] in heaven
[47:50] who was going to be
[47:55] and i could just imagine peter's like oh
[47:56] i'm gonna be the greatest
[48:01] you said
[48:02] maybe he said oh why did this is
[48:18] the greatest is the one to help the
[48:20] brothers
[48:22] the greatest is the one that was always
[48:24] there today
[48:29] let's be a helping hand
[48:32] bless
[48:35] [Applause]
[48:46] give me one second
[48:49] i've never interpreted them to preach
[48:59] i'm gonna be reading in genesis 14.
[49:04] and i just want to thank the lord in
[49:06] this night
[49:10] and i'm very happy that you all made the
[49:11] decision to be here yesterday
[49:29] [Music]
[49:42] and
[49:43] uh the separation and the war hablando
[49:46] de la separa
[49:47] and now i'm gonna
[49:49] i'm gonna speak in
[49:51] genesis 14 12.
[50:17] and they took law abram's son abram's
[50:20] brother's son who dwelt in sodom and his
[50:23] goods and
[50:24] departed tomorrow
[50:32] and he brought back other and skipping
[50:34] over 16.
[50:38] and he brought back all the goods and
[50:40] also brought again his brother lot and
[50:43] his goods and the woman also and the
[50:45] people
[50:56] i think we missed our our title for
[50:58] tonight
[51:02] but just with the title i i don't i
[51:04] don't feel like preaching brother
[51:06] solomon
[51:20] can we repeat that this night
[51:23] unto death
[51:27] for my brother you are my brother
[51:30] hermano
[51:31] i'm going to open with a testimony now
[51:34] testimonials
[51:39] uh
[51:40] me and my brother billy joey miramano
[51:43] billy i'm speaking this because it's
[51:45] parallel
[51:47] parallelo you know there was strife
[51:51] or contest
[52:02] and i couldn't find the way in
[52:05] contrary
[52:06] how to
[52:08] work that out
[52:12] you know
[52:13] i'm not the only one for our minds
[52:46] you know he made his choice eliso
[52:49] no my brother billy he's an amazing
[52:51] brother
[52:54] he made his choice
[52:57] but it was it was up to me
[53:01] to go
[53:03] to war
[53:05] to the death
[53:07] of my will
[53:11] of my pride
[53:32] it says the brother brandon mentions
[53:33] this was the king's slaughter element
[53:40] of
[53:54] there's not only faith as equality no
[53:57] solamente esta la fe como una qualidad
[54:00] and abraham seed
[54:04] poco and abrahams
[54:08] should
[54:21] imagine you're on your way to go to the
[54:23] king slaughter imagine
[54:28] with 300 and something servants
[54:33] of your house and casa but the
[54:49] amen
[54:50] amen
[54:52] these were not men from outside of
[54:54] abraham
[54:59] these were abraham's circumcised men
[55:02] born in his own household
[55:17] [Music]
[55:18] it's the quote above return from war
[55:23] perfect picture of christ and the church
[55:27] perfecto cuadro de cristo el iglesia the
[55:31] holy spirit leading el espirito santo
[55:34] giando and abraham being a christ like
[55:38] having a christ-like mind yes
[55:49] so abraham having a christ-like mind
[55:52] just interpreting
[55:57] the holy spirit leading the faithful
[56:00] espiritu
[56:13] pursuing
[56:40] [Applause]
[56:41] amen
[56:42] amen hallelujah now
[56:48] give me one second
[56:54] going back to uh my brother's testimony
[56:56] regressando testimonio de yoi hermano
[57:00] you know i had to
[57:02] something i had to go to war with myself
[57:07] because
[57:09] i
[57:10] i didn't know if my brother was going to
[57:11] do it or not
[57:15] but i went through the prayer line pero
[57:17] fuia la lina de horacio and i wanted to
[57:19] get blessed
[57:22] but i couldn't pero no podia and i was i
[57:26] was
[57:27] i was fighting yes
[57:30] i'm saying i was
[57:31] saying to myself i'm being humble
[57:36] i'm obedient
[57:38] came to the
[58:20] don't turn
