################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-03-06 - Dios No A Terminado Conmigo Alex Perez - Alex Perez.txt
Video ID: qy4WH8C-MJg
Segments: 661
URL: https://www.youtube.com/watch?v=qy4WH8C-MJg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:19] so
[0:45] so
[0:47] [Music]
[2:43] do
[2:48] [Music]
[4:44] [Music]
[6:24] [Applause]
[6:25] [Music]
[6:36] so
[6:37] [Music]
[6:54] [Applause]
[6:56] [Music]
[7:08] [Applause]
[7:09] [Music]
[7:59] so
[8:01] [Music]
[8:10] [Applause]
[8:11] [Music]
[8:30] so
[8:32] [Music]
[8:42] so
[8:48] [Music]
[8:58] [Applause]
[9:05] [Music]
[9:27] so
[9:32] [Music]
[9:44] [Applause]
[9:45] [Music]
[9:55] [Music]
[10:04] [Music]
[10:16] [Music]
[10:22] do
[10:26] [Music]
[10:32] [Applause]
[10:33] [Music]
[10:34] so
[10:40] [Music]
[10:55] [Music]
[11:07] [Music]
[11:11] hey
[11:16] [Music]
[11:27] [Music]
[11:47] [Applause]
[11:48] [Music]
[11:55] l
[11:55] [Music]
[12:19] [Applause]
[12:20] [Music]
[12:40] [Music]
[12:46] [Music]
[12:49] foreign
[13:02] [Music]
[13:25] [Music]
[13:30] oh
[13:31] [Music]
[13:43] i will celebrate
[13:53] [Music]
[13:58] [Music]
[14:06] [Music]
[14:14] i
[14:16] [Music]
[14:25] hallelujah
[14:31] [Music]
[14:35] hallelujah
[14:38] [Music]
[14:53] [Applause]
[14:57] hallelujah
[15:00] [Music]
[15:18] [Music]
[15:22] i
[15:23] will seem to hate my
[15:26] [Music]
[15:30] hallelujah
[15:32] [Music]
[15:44] [Music]
[15:55] [Music]
[15:59] hallelujah
[16:07] [Music]
[16:09] hallelujah
[16:18] [Music]
[16:25] [Music]
[16:31] [Music]
[16:42] [Music]
[16:51] be seated
[17:06] [Music]
[17:14] hermanos
[17:15] [Music]
[17:28] [Music]
[17:44] christopher
[17:46] [Music]
[17:51] gloria dios
[17:53] [Music]
[18:00] gloria dios
[18:05] [Music]
[18:17] foreign
[18:19] [Music]
[18:38] foreign
[18:42] [Music]
[18:43] [Applause]
[18:48] [Music]
[19:06] foreign
[19:12] [Music]
[19:23] gloria
[19:24] [Music]
[19:39] is
[19:43] [Music]
[19:54] [Applause]
[19:56] [Music]
[20:05] [Music]
[20:21] [Music]
[20:25] [Applause]
[20:27] [Music]
[20:42] foreign
[20:46] [Music]
[20:55] [Music]
[20:56] [Applause]
[20:58] [Music]
[21:04] [Music]
[21:09] oh
[21:11] [Music]
[21:18] foreign
[21:20] [Music]
[21:28] [Applause]
[21:28] [Music]
[21:35] foreign
[21:38] [Music]
[21:51] [Applause]
[21:52] [Music]
[22:09] foreign
[22:10] [Music]
[22:23] he's already here
[22:28] [Music]
[22:38] [Music]
[22:47] [Music]
