################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-03-10 - Segun Nuestras Obras Pastor Tito Moreira - Tito Moreira.txt
Video ID: ZEHEdd7BMqY
Segments: 675
URL: https://www.youtube.com/watch?v=ZEHEdd7BMqY
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:07] so
[0:12] [Music]
[0:35] so
[0:38] [Music]
[1:03] so
[1:31] so
[1:33] [Music]
[1:59] so
[2:00] [Music]
[2:12] so
[2:15] [Music]
[2:41] so
[2:43] [Music]
[3:16] this
[3:24] [Music]
[3:50] so
[3:57] [Music]
[4:05] [Music]
[4:18] [Applause]
[4:18] [Music]
[4:19] [Applause]
[4:20] [Music]
[4:35] [Applause]
[4:37] [Music]
[4:45] [Applause]
[4:47] [Music]
[4:58] so
[5:01] [Applause]
[5:04] [Music]
[5:17] do
[5:19] [Music]
[5:22] [Applause]
[5:23] [Music]
[5:28] so
[5:31] [Music]
[5:41] [Applause]
[5:44] [Music]
[5:46] [Applause]
[5:53] [Music]
[6:05] [Applause]
[6:07] [Music]
[6:18] [Applause]
[6:18] [Music]
[6:25] [Music]
[6:31] [Applause]
[6:35] [Music]
[6:40] so
[6:45] [Music]
[6:46] [Applause]
[6:51] [Music]
[6:53] so
[6:54] [Applause]
[6:54] [Music]
[7:05] [Music]
[7:09] do
[7:10] [Music]
[7:12] [Applause]
[7:12] [Music]
[7:14] [Applause]
[7:17] [Music]
[7:18] [Applause]
[7:25] [Music]
[7:25] [Applause]
[7:28] [Music]
[7:33] [Applause]
[7:33] [Music]
[7:38] [Applause]
[7:40] [Music]
[7:52] [Music]
[7:53] [Applause]
[7:58] [Music]
[8:15] [Music]
[8:20] [Applause]
[8:20] [Music]
[8:32] [Applause]
[8:37] is
[8:40] [Applause]
[8:41] [Music]
[8:52] is
[8:54] [Music]
[8:55] [Applause]
[9:03] [Music]
[9:05] is
[9:09] [Applause]
[9:11] [Music]
[9:16] [Music]
[9:18] you
[9:20] [Music]
[9:24] is
[9:31] [Music]
[10:01] is
[10:06] [Music]
[10:36] [Applause]
[10:40] [Music]
[10:53] oh
[10:56] [Music]
[10:57] [Applause]
[10:59] [Music]
[11:03] [Applause]
[11:03] [Music]
[11:23] is
[11:27] [Music]
[11:34] is
[11:38] [Music]
[11:57] [Applause]
[11:58] [Music]
[12:22] me
[12:24] [Music]
[12:43] is
[12:46] [Music]
[13:13] [Music]
[13:17] that he has given us his holy spirit
[13:21] and his spirit is
[13:24] important to him
[13:33] [Music]
[13:55] [Applause]
[13:57] [Music]
[14:52] me
[14:55] [Music]
[15:11] [Music]
[15:28] foreign
[15:30] [Music]
[15:35] [Music]
[15:51] i'm
[15:55] is
[15:57] [Music]
[16:06] [Music]
[16:11] [Applause]
[16:13] [Music]
[16:18] is
[16:21] [Music]
[16:51] foreign
[16:52] [Music]
[17:15] foreign
[17:17] [Music]
[17:30] are
[17:35] [Music]
[17:43] god will come down
[17:51] [Music]
[18:01] foreign
[18:02] [Music]
[18:03] [Applause]
[18:06] [Music]
[18:14] foreign
[18:17] [Music]
[18:23] [Music]
[18:24] [Applause]
[18:27] [Music]
[18:51] is
[18:54] [Music]
[19:18] my
[19:20] [Music]
[19:48] yes
[19:50] [Music]
[20:08] foreign
[20:12] [Music]
[20:19] [Applause]
[20:20] [Music]
[20:23] me
[20:31] [Music]
[20:36] [Applause]
[20:39] uh
[20:40] [Music]
[21:14] that we can be in god's house
[21:19] i know that god so has word for us
[21:23] god is still good
[21:25] god is still faithful
[21:28] if
[21:42] if we're
[22:09] first verse 23 then verse 26.
[22:13] 23 says
[22:29] and i will kill her children with death
[22:31] and all the churches shall know that i
[22:32] am he which searcheth the reigns and
[22:36] hearts and i will give unto every one of
[22:38] you according to your works
[22:44] now
[22:45] and i will give you unto everyone
[22:47] according to your words
[22:49] say god will give me yeah
[22:52] according to my works according to my
[22:54] words
[22:56] and now verse 26
[23:01] it says he that overcometh
[23:05] and then it has an and it
[23:29] to him i will give power over the
[23:31] nations
