################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-03-20 - Mas Que Sangre Pastor Tito Moreira - Tito Moreira.txt
Video ID: Fbm1LX7Vrac
Segments: 711
URL: https://www.youtube.com/watch?v=Fbm1LX7Vrac
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:34] so
[0:39] [Music]
[1:16] so
[1:26] [Music]
[1:42] [Applause]
[1:50] [Music]
[2:03] [Music]
[3:51] so
[3:52] [Music]
[4:10] [Applause]
[4:12] [Music]
[4:13] foreign
[4:14] [Music]
[4:44] so
[4:49] [Music]
[5:14] so
[5:21] [Music]
[6:10] so
[6:13] [Music]
[6:32] [Music]
[6:51] [Music]
[7:06] [Music]
[7:13] [Music]
[7:21] [Music]
[7:38] [Music]
[7:50] so
[7:58] [Music]
[8:04] so
[8:08] [Music]
[8:35] [Music]
[8:52] foreign
[8:56] [Music]
[9:30] foreign
[9:54] [Music]
[10:04] foreign
[10:23] [Music]
[10:39] [Music]
[10:44] it's a great privilege to be here but i
[10:46] said
[10:47] to be better
[10:49] honestly
[10:52] [Music]
[11:17] [Music]
[11:28] [Music]
[12:19] oh
[12:24] [Music]
[13:02] foreign
[13:09] [Music]
[13:15] [Music]
[13:38] [Music]
[13:43] me
[13:45] [Music]
[13:50] you may take a seat for just a moment
[13:56] [Music]
[14:10] [Music]
[14:13] so
[14:16] [Music]
[14:29] chance
[14:34] [Music]
[15:33] um
[15:40] [Music]
[15:51] oh
[15:54] [Music]
[16:06] i
[16:13] [Music]
[16:20] [Music]
[16:31] oh
[16:35] [Music]
[16:44] [Music]
[16:46] me
[16:51] [Music]
[16:55] me
[17:01] [Music]
[17:13] way
[17:17] [Music]
[17:36] [Music]
[17:40] me
[17:45] [Music]
[17:54] um
[17:59] [Music]
[18:12] me
[18:17] [Music]
[18:24] [Music]
[18:52] [Music]
[18:54] you
[18:57] [Applause]
