################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2023-10-22 - Sister Erica Reagan Parker Funeral Service - Erica Reagan Parker.txt
Video ID: F7kTAjDmg6Y
Segments: 1732
URL: https://www.youtube.com/watch?v=F7kTAjDmg6Y
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:28] oh
[0:36] [Music]
[0:58] h
[1:03] [Music]
[1:28] h
[1:37] [Music]
[2:03] [Music]
[2:22] [Music]
[3:01] [Music]
[3:26] [Music]
[3:58] for
[4:03] [Music]
[4:43] [Applause]
[4:49] [Music]
[5:58] e
[6:02] [Music]
[6:41] [Music]
[6:46] [Music]
[6:54] she's fought her
[6:58] battle
[7:00] [Music]
[7:07] [Music]
[7:28] h
[7:37] [Music]
[9:07] [Music]
[9:20] [Music]
[9:28] e
[9:31] [Music]
[9:40] [Music]
[10:08] [Music]
[10:57] [Music]
[11:17] [Music]
[11:23] [Music]
[11:37] [Music]
[15:12] [Music]
[16:52] [Music]
[16:58] [Music]
[18:00] [Music]
[19:40] [Music]
[19:47] [Music]
[20:49] [Music]
[20:55] [Music]
[21:04] [Music]
[21:15] [Music]
[21:23] [Music]
[21:37] [Music]
[22:26] oh
[22:56] h
[23:00] [Music]
[23:26] oh
[23:36] [Music]
[23:56] oh
[24:02] [Music]
[24:26] for
[24:28] [Music]
[25:11] [Music]
[26:26] for
[26:30] [Music]
[27:34] [Applause]
[27:40] [Music]
[29:32] [Music]
[29:37] [Music]
[29:48] [Music]
[29:59] [Music]
[31:58] [Music]
[32:11] [Music]
[32:31] [Music]
[33:48] [Music]
[34:08] [Music]
[34:14] [Music]
[34:25] for
[34:28] [Music]
[38:03] [Music]
[39:25] for
[39:28] [Music]
[39:43] [Music]
[39:49] [Music]
[39:57] [Music]
[40:51] [Music]
[40:57] [Music]
[42:31] [Music]
[42:38] [Music]
[43:46] [Music]
[43:55] [Music]
[44:06] [Music]
[44:14] [Music]
[44:28] [Music]
[45:24] oh
[45:54] oh
[45:57] [Music]
[46:24] oh
[46:27] [Music]
[46:54] oh
