date,status,speaker,title,url,last_checked,language,type,description,duration,church,first_scraped,video_status,video_removed_date
2026-01-18,No Transcript,,Bringing Order from Chaos by the Spoken Word- Sunday Morning 1/18/2026,https://www.youtube.com/watch?v=RTtmy5rkM6M,2026-01-24,Unknown,Church Service,Bringing Order from Chaos by the Spoken Word- Sunday Morning 1/18/2026,129.0,Word of Life Tabernacle,2026-01-24,available,
2026-01-22,Success,Ben Pruitt,He Established a Testimony Pastor Ben Pruitt Wednesday Night 12126,https://www.youtube.com/watch?v=qDImA7qb6ps,2026-01-24,Unknown,Full Sermon,,0.0,Word of Life Tabernacle,2026-01-24,available,
2026-01-19,Success,Josh Cathey,The Way of a Transgressor Bro. Josh Cathey Sunday Night 1-18-26,https://www.youtube.com/watch?v=ofBx4_SlGYQ,2026-01-24,Unknown,Full Sermon,,0.0,Word of Life Tabernacle,2026-01-24,available,
2026-01-19,Success,Josh Cathey,The Way of a Transgressor Bro Josh Cathey Sunday Evening 11826,https://www.youtube.com/watch?v=hGpit3I2kSM,2026-01-24,Unknown,Full Sermon,,0.0,Word of Life Tabernacle,2026-01-24,available,
2026-01-18,Success,Josh Cathey,The Way of a Transgressor Bro. Josh Cathey,https://www.youtube.com/watch?v=R3tkwqF9Vx4,2026-01-24,Unknown,Full Sermon,,0.0,Word of Life Tabernacle,2026-01-24,available,
2026-01-15,Success,Ben Pruitt,Ephesians Part 13 Foundations Pastor Ben Pruitt 11425,https://www.youtube.com/watch?v=pjPiQG8u_4A,2026-01-21,Unknown,Full Sermon,,0.0,Word of Life Tabernacle,2026-01-21,available,
2026-01-12,Success,Joel Pruitt,A Revival in an Exodus Bro Joel Pruitt 1-11-26 Sunday Night,https://www.youtube.com/watch?v=QNm35MpEcj4,2026-01-18,Unknown,Full Sermon,,0.0,Word of Life Tabernacle,2026-01-18,available,
2026-01-11,Success,Ben Pruitt,Do You Want Revival 11126 Pastor Ben Pruitt Sunday Morning,https://www.youtube.com/watch?v=so1MnAYONy4,2026-01-18,Unknown,Full Sermon,,0.0,Word of Life Tabernacle,2026-01-18,available,
2026-01-09,Success,Ben Pruitt,Ephesians Part 12 The God Who Is Rich In Mercy Pastor Ben Pruitt 1725,https://www.youtube.com/watch?v=psxIhF7dRTg,2026-01-10,Unknown,Church Service,,89.0,Word of Life Tabernacle,2026-01-10,available,
2026-01-05,No Transcript,Joel Pruitt,"""Placing our hands by faith upon the body of the Lord Jesus"" Bro Joel Pruitt Communion Service 1-4-2",https://www.youtube.com/watch?v=cx1ByCPkseo,2026-01-10,Unknown,Communion Service,"""Placing our hands by faith upon the body of the Lord Jesus"" Bro Joel Pruitt Communion Service 1-4-25",122.0,Word of Life Tabernacle,2026-01-10,available,
2026-01-05,Success,Ben Pruitt,A Crown of Rejoicing Pastor Ben Pruitt 1-4-26 Sunday Morning,https://www.youtube.com/watch?v=TRO4u4CPBr0,2026-01-10,Unknown,Church Service,,144.0,Word of Life Tabernacle,2026-01-10,available,
2026-01-01,Success,Jason Jackson,Bro. Jason Jackson Winds Of Change Wednesday Night 123125,https://www.youtube.com/watch?v=Y9iypEthD0c,2026-01-10,Unknown,Church Service,,99.0,Word of Life Tabernacle,2026-01-10,available,
2025-12-29,Success,Ben Pruitt,Encouragement Before the Battle Pastor Ben Pruitt 122825 Sunday Night,https://www.youtube.com/watch?v=d3CMFc29GFg,2026-01-06,Unknown,Church Service,,91.0,Word of Life Tabernacle,2026-01-06,available,
2025-12-28,Success,Ben Pruitt,That's A Wrap Pastor Ben Pruitt 122825 Sunday Morning,https://www.youtube.com/watch?v=fe_uQO1Zr4s,2026-01-06,Unknown,Church Service,,98.0,Word of Life Tabernacle,2026-01-06,available,
2025-12-22,Success,Unknown Speaker,Christmas Program 2025,https://www.youtube.com/watch?v=MetMw9uGbCI,2026-01-06,English,Christmas Program,,15.0,Word of Life Tabernacle,2026-01-06,available,
2025-12-21,Success,Ben Pruitt,Recognizing the Word Made Flesh and Dwelling Among Us Sunday Morning 12212025 Pastor Ben Pruitt,https://www.youtube.com/watch?v=bih4RBdGb9Q,2026-01-06,Unknown,Church Service,,112.0,Word of Life Tabernacle,2026-01-06,available,
2025-12-18,Success,Timothy Pruitt,Thankful Faith  Bro. Timothy Pruitt 121725 Wednesday Night,https://www.youtube.com/watch?v=hOELo9ouBAY,2026-01-06,Unknown,Church Service,,108.0,Word of Life Tabernacle,2026-01-06,available,
2025-12-14,Success,Stuart Duckworth,Despise Not the Day of Small Things Stuart Duckworth Sunday Morning 121425,https://www.youtube.com/watch?v=aO8P0PptOQ4,2026-01-10,Unknown,Church Service,,80.0,Word of Life Tabernacle,2026-01-10,available,
2025-12-11,Success,Ben Pruitt,Ephesians Part 11 “Our Predestinated Inheritance” Pastor Ben Pruitt 121025,https://www.youtube.com/watch?v=2D2XfI3HPz0,2026-01-06,Unknown,Church Service,,98.0,Word of Life Tabernacle,2026-01-06,available,
2025-12-08,No Transcript,Ben Pruitt,"""Deliverance is in His Hand""  12/7/25 Pastor Ben Pruitt",https://www.youtube.com/watch?v=WOEZ_TczI7o,2026-01-06,Unknown,Church Service,"""Deliverance is in His Hand""  12/7/25 Pastor Ben Pruitt",86.0,Word of Life Tabernacle,2026-01-06,available,
2025-12-07,Success,Ben Pruitt,In His Name Pastor Ben Pruitt 12725  Sunday Morning,https://www.youtube.com/watch?v=yzBUX1fv45U,2026-01-06,Unknown,Church Service,,125.0,Word of Life Tabernacle,2026-01-06,available,
2025-12-04,Success,Ben Pruitt,The New Pope and Another Nicaean Council Pastor Ben Pruitt 12325,https://www.youtube.com/watch?v=jb8Nn1Tsekg,2026-01-06,Unknown,Church Service,,106.0,Word of Life Tabernacle,2026-01-06,available,
2025-12-01,Success,Joel Pruitt,Faith Must Have A Resting Place Bro. Joel Pruitt  Sunday Evening 113025,https://www.youtube.com/watch?v=0efBQ1DZSgc,2026-01-06,Unknown,Church Service,,86.0,Word of Life Tabernacle,2026-01-06,available,
2025-11-30,Success,Ben Pruitt,Let This Mind Be In You 11-30-25 Pastor Ben Pruitt,https://www.youtube.com/watch?v=9eQoUFGnASA,2026-01-06,English,Church Service,,114.0,Word of Life Tabernacle,2026-01-06,available,
2025-11-24,No Transcript,Unknown Speaker,Thanksgiving Worship Service 11/23/25,https://www.youtube.com/watch?v=u4skCIT7nuY,2026-01-06,Unknown,Thanksgiving Service,Thanksgiving Worship Service 11/23/25,81.0,Word of Life Tabernacle,2026-01-06,available,
2025-11-23,No Transcript,Ben Pruitt,The Father Seeketh Such to Worship Him Pastor Ben Pruitt 11-23-25,https://www.youtube.com/watch?v=rYBOqTBcUdQ,2026-01-06,Unknown,Church Service,The Father Seeketh Such to Worship Him Pastor Ben Pruitt 11-23-25,131.0,Word of Life Tabernacle,2026-01-06,available,
2025-11-20,Success,Ben Pruitt,How to Hear the Word of God Pastor Ben Pruitt 11-19-25,https://www.youtube.com/watch?v=FKHFDRyjwQA,2026-01-06,Unknown,Church Service,,111.0,Word of Life Tabernacle,2026-01-06,available,
2025-11-17,Success,Josh Cathey,Bro. Josh Cathey  The Responsibility Of The Message Sunday Afternoon 111625,https://www.youtube.com/watch?v=EX0h6Y8KiZM,2026-01-06,Unknown,Church Service,,93.0,Word of Life Tabernacle,2026-01-06,available,
2025-11-16,Success,Josh Martin,Bro. Josh Martin Sunday Morning 111625,https://www.youtube.com/watch?v=N-M1p5RKiUg,2026-01-06,Unknown,Church Service,,115.0,Word of Life Tabernacle,2026-01-06,available,
