church,date,speaker,title,url,last_checked
Believer's Spoken Word Tabernacle,2022-07-15,Samuel Browning,When Prayer Changes,https://www.youtube.com/watch?v=OiYH7OcuWIY,2026-01-10
Bethel Tabernacle,2025-01-29,Jason Watkins,Wednesday Night Service,https://www.youtube.com/watch?v=4VbYl-0_mQY,2026-01-10
Bethel Tabernacle,2025-01-26,Elyse Hornyak,I Sing Because I'm Happy,https://www.youtube.com/watch?v=bT-gqltjOfk,2026-01-11
Bethel Tabernacle,2025-01-22,Unknown Speaker,Amen,https://www.youtube.com/watch?v=ZFd1BPspmpU,2026-01-11
Bethel Tabernacle,2024-12-28,Brianna,Because Of Jesus,https://www.youtube.com/watch?v=ExVu2vrQomo,2026-01-11
Bethel Tabernacle,2024-12-27,Unknown Speaker,Graves Into Gardens,https://www.youtube.com/watch?v=S7q-tLBif0I,2026-01-11
Bethel Tabernacle,2024-12-23,Haley Cross,Shall Not Want,https://www.youtube.com/watch?v=DBpx2TuNPJA,2026-01-11
Bethel Tabernacle,2024-12-20,Unknown Speaker,Never A Time,https://www.youtube.com/watch?v=zj4hEwR-6nA,2026-01-11
Bethel Tabernacle,2024-12-04,Rhoda Bontragger,Scatter,https://www.youtube.com/watch?v=yg8hKqgkhk4,2026-01-11
Bethel Tabernacle,2024-11-27,Naomi Johnson,Fear Is A Liar,https://www.youtube.com/watch?v=tfti3foWk80,2026-01-11
Bethel Tabernacle,2024-11-26,Ruth Adeyemi,Through The Fire,https://www.youtube.com/watch?v=q1bC8FH8sKo,2026-01-11
Bethel Tabernacle,2024-10-28,Wes Ardiel,Your Cries Have Awoken The Master,https://www.youtube.com/watch?v=4MQ1YtDrzu0,2026-01-11
Bethel Tabernacle,2024-09-29,Caleb Campbell,(Sunday School) Angles,https://www.youtube.com/watch?v=Kv9DO9Btpvw,2026-01-10
Bethel Tabernacle,2024-02-25,Unknown Speaker,I Shall Not Want,https://www.youtube.com/watch?v=yjRAtpKGnvA,2026-01-11
Bethel Tabernacle,2024-02-06,Haley Cross,Look Up,https://www.youtube.com/watch?v=0s6NzM43e2I,2026-01-11
Bethel Tabernacle,2024-02-05,Unknown Speaker,Trust In God,https://www.youtube.com/watch?v=rRWe3doeLUM,2026-01-11
Bethel Tabernacle,2024-01-16,Elise Hornyak,Goodness & Mercy,https://www.youtube.com/watch?v=8g5dRZMa6xU,2026-01-11
Bethel Tabernacle,2024-01-14,Ethan McCafferty,Even If,https://www.youtube.com/watch?v=llH-yzLb4r0,2026-01-11
Bethel Tabernacle,2024-01-13,Unknown Speaker,Carried To The Table,https://www.youtube.com/watch?v=iKl54CXQuZw,2026-01-11
