date,status,speaker,title,url,last_checked,language,type
2025-12-21,Success,Theo Ovid,"Rooted And Grounded - Pastor Theo Ovid in Lagos, Nigeria",https://www.youtube.com/watch?v=oe3LsrEzsXA,2025-12-23,English,Full Sermon
Unknown Date,No Transcript,Theo Ovid,The Finishing Of The Seventh Seal - Pastor Theo Ovid  - India,https://www.youtube.com/watch?v=qCvgFc4E3Oo,2025-12-23,Unknown,Full Sermon
2025-12-15,Success,Andrew Glover,"In This World, Not Of This World - Bro Andrew Glover",https://www.youtube.com/watch?v=12lR5NZ6qvs,2025-12-23,English,Full Sermon
2025-12-14,Success,Andrew Glover,We Are Living By A Vindicated Forecast - Bro. Andrew Glover,https://www.youtube.com/watch?v=1KVbr-ggTYE,2025-12-23,English,Full Sermon
2025-12-14,Success,Unknown Speaker,Headstone Tabernacle Live Stream,https://www.youtube.com/watch?v=TmAzWfarjys,2025-12-23,English,Full Sermon
2025-12-13,Success,Unknown Speaker,Headstone Tabernacle Live Stream,https://www.youtube.com/watch?v=luhkNF4s5X0,2025-12-23,English,Full Sermon
2025-12-14,No Transcript,Unknown Speaker,Headstone Tabernacle Live Stream,https://www.youtube.com/watch?v=AdqQHwCexrM,2025-12-23,Unknown,Full Sermon
2025-12-11,Success,Theo Ovid,"One Body, One Spirit, One Head - Pastor Theo Ovid - Germany",https://www.youtube.com/watch?v=hWEmyYMh5VQ,2025-12-23,English,Full Sermon
2025-12-07,Success,Isaac Ovid,Do Not Reject His Invitation - Bro. Isaac Ovid,https://www.youtube.com/watch?v=zIidzdzv_fE,2025-12-23,English,Full Sermon
Unknown Date,No Transcript,Theo Ovid,The Word Which I Have Spoken Shall Be Done Saith The Lord God - Pastor Theo Ovid,https://www.youtube.com/watch?v=VkayFWH3Gzg,2025-12-23,Unknown,Full Sermon
2025-11-30,Success,Isaac Ovid,Remembering The Lord 2 - Bro. Isaac Ovid,https://www.youtube.com/watch?v=85Q700dwCj0,2025-12-23,English,Full Sermon
2025-11-30,Success,Isaac Ovid,Remembering The Lord - Bro. Isaac Ovid,https://www.youtube.com/watch?v=GmOfTdm7jQs,2025-12-23,English,Full Sermon
2025-11-27,Success,Gideon Ovid,The Journey To Eternal Life - Bro. Gideon Ovid,https://www.youtube.com/watch?v=t3Y7rbi2VKM,2025-12-23,English,Full Sermon
2025-11-23,Success,Theo Ovid,And Of Some Have Compassion - Pastor Theo Ovid,https://www.youtube.com/watch?v=mP5-XY62FCc,2025-12-23,English,Full Sermon
2025-11-20,Success,Gideon Ovid,The Ear of the King - Bro. Gideon Ovid,https://www.youtube.com/watch?v=mSIUcHFoSmw,2025-12-23,English,Full Sermon
2025-11-16,No Transcript,Isaac Ovid,Stop Running Away From God - Bro. Isaac Ovid,https://www.youtube.com/watch?v=MaC5eybs5iM,2025-12-23,Unknown,Full Sermon
2025-11-13,Success,Unknown Speaker,There Is A Balm In Gilead - Bro. Anthony O'Brien,https://www.youtube.com/watch?v=Lg65wHP1zsc,2025-12-23,English,Full Sermon
2025-11-06,Success,Isaac Ovid,Separating the True Believers From The Church Members - Bro. Isaac Ovid,https://www.youtube.com/watch?v=Ak6NXtrR7ck,2025-12-23,English,Full Sermon
2025-11-02,Success,Prophet Branham,Wisdom Versus Faith (extract 3) Communion Service - Prophet Branham,https://www.youtube.com/watch?v=gpc8INA7OFk,2025-12-23,English,Full Sermon
2025-11-02,Success,Theo Ovid,Who Will Prepare For The Battle? - Pastor Theo Ovid,https://www.youtube.com/watch?v=sb8v1hnBRUY,2025-12-23,English,Full Sermon
2025-10-30,Success,Gideon Ovid,The Mission Must Be Completed - Bro. Gideon Ovid,https://www.youtube.com/watch?v=K88QSsWUQPI,2025-12-23,English,Full Sermon
2025-10-29,No Transcript,Unknown Speaker,Headstone Tabernacle Live Stream,https://www.youtube.com/watch?v=A19_2jMizZM,2025-12-23,Unknown,Full Sermon
2025-10-26,Success,Theo Ovid,The Fullness Of Times Part 2 - Pastor Theo Ovid,https://www.youtube.com/watch?v=kC-eHD4AwAI,2025-12-23,English,Full Sermon
2025-10-26,Success,Theo Ovid,The Fullness Of Times Part 1 - Pastor Theo Ovid,https://www.youtube.com/watch?v=XoZnk8K9WaA,2025-12-23,English,Full Sermon
2025-10-23,Success,Unknown Speaker,Ye Shall Serve God Upon This Mountain - Bro. Anthony O'Brien,https://www.youtube.com/watch?v=t2FFrsMEeq0,2025-12-23,English,Full Sermon
2025-10-19,Success,Unknown Speaker,There’s Got To Come An Ephesians To This - Bro. Anthony O'Brien,https://www.youtube.com/watch?v=LkNU95EbDKA,2025-12-23,English,Full Sermon
