date,status,speaker,title,url,last_checked,language,type
2017-06-18,Success,Unknown Speaker,The True Motive of Discipline 2,https://www.youtube.com/watch?v=Au47ctxESJ4,2025-12-28,English,Full Sermon
2017-06-23,Success,Unknown Speaker,The Blessing Belongs to the Blessed 3,https://www.youtube.com/watch?v=3gRj5qUxFFE,2025-12-28,English,Full Sermon
2017-06-25,Success,Unknown Speaker,Borne of Four,https://www.youtube.com/watch?v=T827T9FEpTo,2025-12-28,Unknown,Full Sermon
2017-06-29,Success,Unknown Speaker,Wherefore Didst Thou Doubt,https://www.youtube.com/watch?v=Qjn3rHfaiG8,2025-12-28,Unknown,Full Sermon
2017-07-02,Success,James Browning,Tribute to Senior Pastor James Browning,https://www.youtube.com/watch?v=wL83Og99WvQ,2025-12-28,Unknown,Full Sermon
2017-07-09,Success,Unknown Speaker,Patience,https://www.youtube.com/watch?v=NaS14Cli9KI,2025-12-28,Unknown,Full Sermon
2017-07-15,Success,Unknown Speaker,Shall He Find Faith,https://www.youtube.com/watch?v=pd3NDlh9hzc,2025-12-28,Unknown,Full Sermon
2017-07-15,Success,Unknown Speaker,Shall He Find Faith?,https://www.youtube.com/watch?v=pd3NDlh9hzc,2025-12-28,English,Full Sermon
2017-07-16,Success,Unknown Speaker,Patience of Job,https://www.youtube.com/watch?v=pubqUIcEkCg,2025-12-28,Unknown,Full Sermon
2017-07-20,Success,Unknown Speaker,And Then Jesus Came,https://www.youtube.com/watch?v=F11ZvWxzdp8,2025-12-28,Unknown,Full Sermon
2017-07-23,Success,Unknown Speaker,Show us the Father,https://www.youtube.com/watch?v=3xYfe5dBLDk,2025-12-28,Unknown,Full Sermon
2017-07-27,Success,Unknown Speaker,The Importance of Understanding the Serpent Seed,https://www.youtube.com/watch?v=C4ZVRaSOcBA,2025-12-28,Unknown,Full Sermon
2017-07-30,Success,Unknown Speaker,The Importance of Understanding the Serpent Seed pt.2,https://www.youtube.com/watch?v=8B_9lkS3yQs,2025-12-28,Unknown,Full Sermon
2017-08-03,Success,Unknown Speaker,Think His Thoughts,https://www.youtube.com/watch?v=u8jAW1WyISw,2025-12-28,Unknown,Full Sermon
2017-08-06,Success,Unknown Speaker,The Keystone,https://www.youtube.com/watch?v=9ywQDYvgXNU,2025-12-28,Unknown,Full Sermon
2017-08-10,Success,Unknown Speaker,The Ministry of the Bride,https://www.youtube.com/watch?v=41F1Ky4WWm8,2025-12-28,Unknown,Full Sermon
2017-08-13,Success,Unknown Speaker,The Prevailing Waters,https://www.youtube.com/watch?v=b6Nn9NmUVcw,2025-12-28,Unknown,Full Sermon
2017-08-17,Success,Unknown Speaker,No Weapon Shall Prosper,https://www.youtube.com/watch?v=VSkZE2R1AqY,2025-12-28,Unknown,Full Sermon
2017-08-20,Success,Unknown Speaker,What Body Will We be in the Resurrection,https://www.youtube.com/watch?v=0Zw_64SaPzM,2025-12-28,Unknown,Full Sermon
2017-08-24,Success,Unknown Speaker,The Blessing Belongs to the Blessed pt.4,https://www.youtube.com/watch?v=fyHZCHIW4hQ,2025-12-28,Unknown,Full Sermon
2017-08-27,Success,Unknown Speaker,"Raised Up, Ready for Rapture",https://www.youtube.com/watch?v=wqTGOH6BgIM,2025-12-28,Unknown,Full Sermon
2017-08-31,Success,Unknown Speaker,The Blessing Belongs to the Blessed pt.5,https://www.youtube.com/watch?v=yUgc-VQkB54,2025-12-28,Unknown,Full Sermon
2017-09-03,Success,Unknown Speaker,The Book of Remembrance,https://www.youtube.com/watch?v=k3rxZgeCaZM,2025-12-28,Unknown,Full Sermon
2017-09-07,Success,Unknown Speaker,Come Up Hither,https://www.youtube.com/watch?v=QHV3knNj6_A,2025-12-28,Unknown,Full Sermon
2017-09-10,Success,Unknown Speaker,The Rod of God,https://www.youtube.com/watch?v=0O0Yd9UeEpo,2025-12-28,Unknown,Full Sermon
2017-09-14,Success,6,The Blessings Belongs to the Blessed,https://www.youtube.com/watch?v=GYk88rbjleg,2025-12-28,Unknown,Full Sermon
2017-09-17,Success,Unknown Speaker,Keeping Deity in Our Midst,https://www.youtube.com/watch?v=QseJDYA2bAA,2025-12-28,Unknown,Full Sermon
2017-09-24,Success,2,Keeping Deity in Our Midst,https://www.youtube.com/watch?v=U8or7iKTTN4,2025-12-28,Unknown,Full Sermon
2017-09-28,Success,Unknown Speaker,God's Grace to Jacob at Bethel,https://www.youtube.com/watch?v=T-rB9XZCleU,2025-12-28,Unknown,Full Sermon
2017-10-01,Success,Unknown Speaker,John LaFontaine's Life Story,https://www.youtube.com/watch?v=__rlkFbrq0c,2025-12-28,Unknown,Full Sermon
2017-10-05,Success,2,God's Grace to Jacob at Bethel,https://www.youtube.com/watch?v=NEpTa5mY7G0,2025-12-28,Unknown,Full Sermon
2017-10-12,Success,Unknown Speaker,Recognition and Affirmation of Blessed Assurance,https://www.youtube.com/watch?v=xYTt6bosis0,2025-12-28,Unknown,Full Sermon
2017-10-12,No Transcript,Unknown Speaker,The Victory Over Amalek,https://www.youtube.com/watch?v=iE5t9LD4Wl0,2025-12-28,Unknown,Full Sermon
2017-10-15,Success,Unknown Speaker,From Cocklebur to Wheat Life,https://www.youtube.com/watch?v=BFqhv30WV30,2025-12-28,Unknown,Full Sermon
2017-10-19,Success,Unknown Speaker,Possessing the Unknown,https://www.youtube.com/watch?v=hL4vXCfAROw,2025-12-28,Unknown,Full Sermon
2017-10-22,Success,2,From Cocklebur to Wheat Life,https://www.youtube.com/watch?v=Nlvbvea_4AI,2025-12-28,Unknown,Full Sermon
2017-10-29,Success,Unknown Speaker,Eternity,https://www.youtube.com/watch?v=PNc_g7tjJ-I,2025-12-28,Unknown,Full Sermon
2017-11-05,Success,Unknown Speaker,Love Divine,https://www.youtube.com/watch?v=p5Rd3eZOHVI,2025-12-28,Unknown,Full Sermon
2017-11-12,Success,Wayne Lawson,The Vision for Our Day,https://www.youtube.com/watch?v=h5lYMi4alVY,2025-12-28,Unknown,Full Sermon
2017-11-16,Success,Unknown Speaker,A Change of Countenance,https://www.youtube.com/watch?v=_uAVSE7tG3E,2025-12-28,Unknown,Full Sermon
2017-11-19,Success,Unknown Speaker,Blessed Fellowship (and Philippines Trip Report),https://www.youtube.com/watch?v=RXJXGX3BZ54,2025-12-28,Unknown,Full Sermon
