date,status,speaker,title,url,last_checked,language,type
2025-12-21,Success,Jason Watkins,The Wise Men's Journey -Bro Jason Watkins,https://www.youtube.com/watch?v=eH7Yq9jjgj8,2025-12-22,English,Full Sermon
2025-12-21,Success,Mathew Smith,Sunday School: The Word Dynamo -Bro. Mathew Smith,https://www.youtube.com/watch?v=kAFhRI8WS0Y,2025-12-22,English,Full Sermon
2025-12-18,Success,Caleb Campbell,Elijah's Garment - Bro. Caleb Campbell,https://www.youtube.com/watch?v=atwWMBd3t7s,2025-12-22,English,Full Sermon
2025-12-14,Success,Aaron McGeary,(Special Meetings) Building Bethel Pt. 2 - Bro. Aaron McGeary,https://www.youtube.com/watch?v=VBdcDt5WkPE,2025-12-22,English,Full Sermon
2025-12-13,Success,Unknown Speaker,Special Meetings,https://www.youtube.com/watch?v=2Ve-WI_1p0o,2025-12-22,English,Full Sermon
2025-12-07,No Transcript,Jason Watkins,"Sunday Service: Demonology, The Spiritual Realm- Bro. Jason Watkins",https://www.youtube.com/watch?v=nfdw3SK6Ndg,2025-12-22,Unknown,Full Sermon
2025-12-07,Success,Mathew Smith,Sunday School: The Road to Conquest: Unity -Bro. Mathew Smith,https://www.youtube.com/watch?v=qSHW0vZ41SY,2025-12-22,English,Full Sermon
2025-12-04,Success,Unknown Speaker,Wednesday Service,https://www.youtube.com/watch?v=opzkbEU3RIA,2025-12-22,English,Full Sermon
2025-11-30,Success,Jason Watkins,Lucifer's Competing Claim Part 5 - Jason Watkins,https://www.youtube.com/watch?v=j9G2bfItCuw,2025-12-22,English,Full Sermon
2025-11-30,Success,Caleb Campbell,Sunday School: The Maturing of Sons - Caleb Campbell,https://www.youtube.com/watch?v=pgOoO56YvMk,2025-12-22,English,Full Sermon
2025-11-23,Success,Unknown Speaker,Lucifer's Competing Claim Pt. 4 -Jason Watkins,https://www.youtube.com/watch?v=4dY8lGdyH_Y,2025-12-22,English,Full Sermon
2025-11-23,Success,Mathew Smith,Sunday School: The Road to Conquest: Surrender  -Bro. Mathew Smith,https://www.youtube.com/watch?v=OuZaodKlBYM,2025-12-22,English,Full Sermon
2025-11-20,Success,Kidri Diggs,Truth Revealed in Worship - Bro Kidri Diggs,https://www.youtube.com/watch?v=jVu-1uTJeo8,2025-12-22,English,Full Sermon
2025-11-16,No Transcript,Jason Watkins,251116-Jason Watkins:We Bless His Name,https://www.youtube.com/watch?v=Rr85wOF-1Fg,2025-12-22,Unknown,Full Sermon
2025-11-16,Success,Caleb Campbell,(Sunday School) The Maturing of Sons and Daughters - Bro. Caleb Campbell,https://www.youtube.com/watch?v=tqnhKMNgg-U,2025-12-22,English,Full Sermon
2025-11-11,Success,Unknown Speaker,251111-Matthew smith:Why are we here? Pt 7,https://www.youtube.com/watch?v=F5Lo9CPfYbM,2025-12-22,English,Full Sermon
2025-11-09,Success,Jason Watkins,251109-Jason Watkins:Drawing Near To God,https://www.youtube.com/watch?v=H8CuLJ6zNR0,2025-12-22,English,Full Sermon
2025-11-09,No Transcript,Matthew Smith,251109- Matthew Smith:Sunday School: Why Are We Here? Pt.6,https://www.youtube.com/watch?v=mYfh9JvZKwo,2025-12-22,Unknown,Full Sermon
2025-11-05,Success,Joe Howdeshell,251105-Joe Howdeshell:The Engrafted Word,https://www.youtube.com/watch?v=S9XY8Kgz_sI,2025-12-22,English,Full Sermon
2025-11-02,Success,Jason Watkins,251102-Jason Watkins:Lucifer's Competing Claim Pt.3,https://www.youtube.com/watch?v=ePamGYXYh6g,2025-12-22,English,Full Sermon
2025-11-02,Success,William M. Branham,251102-William  Branham: Sunday School,https://www.youtube.com/watch?v=YwDI4ZDtjJ4,2025-12-22,English,Tape Service
2025-10-19,Success,Matthew Watkins,251019-Matthew Watkins:The Choice of a Surrendered Heart,https://www.youtube.com/watch?v=19tiSqXHBsU,2025-12-22,English,Full Sermon
2025-10-16,Success,Matt Watkins,251016-Matt Watkins:Build an Altar,https://www.youtube.com/watch?v=xFS9y25ZC9E,2025-12-22,English,Full Sermon
2025-10-16,Success,Caleb Campbell,251016- Caleb Campbell:Darkness: A Disruption of Harmony,https://www.youtube.com/watch?v=P5fwFb7H8_w,2025-12-22,English,Full Sermon
2025-10-19,Success,Donny Reagan,251019-Donny Reagan:Bethel Youth Camp 2025 - Sunday Morning,https://www.youtube.com/watch?v=ODn2vVj6c7Y,2025-12-22,English,Youth Camp
2025-10-18,No Transcript,Donny Reagan,251018- Donny Reagan:Bethel Youth Camp Saturday night - Donny Reagan,https://www.youtube.com/watch?v=vTiL9f7biC4,2025-12-22,Unknown,Youth Camp
2025-10-18,Success,Unknown Speaker,Bethel Youth Camp Skit 2025,https://www.youtube.com/watch?v=_bUFOx3nUbk,2025-12-22,English,Youth Camp
2025-10-17,No Transcript,Paul Lafontaine,251017- Paul Lafontaine:Bethel Youth Camp 2025 - Friday Night Service,https://www.youtube.com/watch?v=ZEc45IYjUQE,2025-12-22,Unknown,Youth Camp
2025-10-16,Success,Ronnie Long,251016-Ronnie Long:Bethel Youth Camp 2025 - Thursday Night,https://www.youtube.com/watch?v=obGtTzoO278,2025-12-22,English,Youth Camp
2025-10-12,Success,Jason Watkins,251012-Jason Watkins:Lucifer's Competing Claim Pt.2,https://www.youtube.com/watch?v=5Ge6lbO49bQ,2025-12-22,English,Full Sermon
2025-10-12,Success,Mathew Smith,Sunday School: Why Are We Here? Pt.6 -Bro. Mathew Smith,https://www.youtube.com/watch?v=82ldackST2g,2025-12-22,English,Full Sermon
2025-10-09,Success,Brad Younce,Results of a Decision Scripture -Bro. Brad Younce,https://www.youtube.com/watch?v=nOb3DZqOWzQ,2025-12-22,English,Full Sermon
2025-10-05,Success,William M. Branham,251005-William  Branham: Sunday School,https://www.youtube.com/watch?v=16LdQfnjWnw,2025-12-22,English,Tape Service
2025-10-05,Success,Matthew Smith,251005-Matthew Smith:Sunday School,https://www.youtube.com/watch?v=Jhzl8gl49Mo,2025-12-22,English,Full Sermon
2025-10-01,Success,Isaiah Chisolm,251001-Isaiah Chisolm:Shall He Find Faith On The Earth,https://www.youtube.com/watch?v=IjInbvQMLZI,2025-12-22,English,Full Sermon
2025-09-28,Success,Matthew McGeary,250928-Matthew McGeary:The Way Light Comes Today,https://www.youtube.com/watch?v=Dy0CSWjWRr8,2025-12-22,English,Full Sermon
2025-09-28,Success,Matthew Smith,250928-Matthew Smith:Why Are We Here Pt. 4,https://www.youtube.com/watch?v=O-UXLlIe9y0,2025-12-22,English,Full Sermon
2025-09-24,No Transcript,Unknown Speaker,250924:Wednesday Night Worship Service-Tony Smith,https://www.youtube.com/watch?v=XVngymWpDO0,2025-12-22,Unknown,Worship Service
2025-09-21,Success,Benny Perry,250921-Benny Perry:Inspiration That Moves God Into The Channel,https://www.youtube.com/watch?v=JbqoXWhESHo,2025-12-22,English,Full Sermon
2025-09-21,Success,Matthew Smith,250921-Matthew Smith:Why Are We Here Pt.3,https://www.youtube.com/watch?v=OQyf484TI3U,2025-12-22,English,Full Sermon
2025-09-17,Success,Jason Watkins,"250917-Jason Watkins:Redemption, God's Great Drama Pt. 2",https://www.youtube.com/watch?v=qXIy-x-4l8o,2025-12-22,English,Full Sermon
2025-09-14,Success,Jason Watkins,"250914-Jason Watkins:Redemption, God's Great Drama",https://www.youtube.com/watch?v=j1qssLEWJdE,2025-12-22,English,Full Sermon
2025-09-14,Success,Jason DeMars,250914-Jason DeMars:Sunday-School Service,https://www.youtube.com/watch?v=Ff6T1JlfUwM,2025-12-22,English,Full Sermon
2025-09-10,Success,Caleb Campbell,250910-Caleb Campbell:His Divine Nature,https://www.youtube.com/watch?v=F2g1-HyoYvE,2025-12-22,English,Full Sermon
2025-09-07,Success,Jason DeMars,250907-Jason DeMars:Love is Not Always Love,https://www.youtube.com/watch?v=v3WBTBcVpYs,2025-12-22,English,Full Sermon
2020-09-07,Success,Brad Younce,200907-Brad Younce:The Path To Honor,https://www.youtube.com/watch?v=x9inYY6Zojo,2025-12-22,English,Full Sermon
2025-09-03,Success,Jason Watkins,250903-Jason Watkins:Sin Comes From Sinful Living Pt 3,https://www.youtube.com/watch?v=FVEC0cdlz74,2025-12-22,English,Full Sermon
2025-08-31,Success,Caleb Campbell,250831-Caleb Campbell:Upon the Mountain of God,https://www.youtube.com/watch?v=xmKPmrXiM1c,2025-12-22,English,Full Sermon
2025-08-31,Success,Matthew Smith,250831-Matthew Smith: Why Are We Here Pt. 2,https://www.youtube.com/watch?v=7_fRW8PxS9g,2025-12-22,English,Full Sermon
2025-08-27,Success,Matt Watkins,250827-Matt Watkins:Get Rid of Your Rats,https://www.youtube.com/watch?v=4gr-gTDLPa0,2025-12-22,English,Full Sermon
2025-08-24,Success,Jason Watkins,250824-Jason Watkins:Future Events Becoming Clear In Prophecy Pt.11,https://www.youtube.com/watch?v=mSXh9F9zVlU,2025-12-22,English,Full Sermon
2025-08-24,Success,Matthew Smith,250824-Matthew Smith:Why Are We Here?,https://www.youtube.com/watch?v=vUbADmCHBEE,2025-12-22,English,Full Sermon
2025-08-20,Success,Jason Watkins,250820-Jason Watkins:Sin Comes From Sinful Living Pt.2,https://www.youtube.com/watch?v=xjMc2r2rLBM,2025-12-22,English,Full Sermon
2025-08-17,Success,Dale Smith,250817- Dale Smith:Not the Way We Planned,https://www.youtube.com/watch?v=48wtXS2W5kM,2025-12-22,English,Full Sermon
2025-08-17,Success,Brad Younce,250817-Brad Younce:Prisoner Transfer,https://www.youtube.com/watch?v=UtsbZRT2utc,2025-12-22,English,Full Sermon
2025-08-13,Success,Jason Watkins,250813-Jason Watkins:Sins Come From Sinful Ways,https://www.youtube.com/watch?v=nMkj3bYOE0g,2025-12-22,English,Full Sermon
2025-08-10,Success,Jason Watkins,250810-Jason Watkins:Future Events Becoming Clear By Prophecy Pt.10,https://www.youtube.com/watch?v=5L0fib9WcGw,2025-12-22,English,Full Sermon
2025-08-10,Success,Jason DeMars,250810-Jason DeMars:The Life of Christ Pt. 6,https://www.youtube.com/watch?v=2078SDiT4m0,2025-12-22,English,Full Sermon
2025-08-06,Success,Brad Younce,250806-Brad Younce:Subjection To Acquittal,https://www.youtube.com/watch?v=CoYgXRzRjIw,2025-12-22,English,Full Sermon
2025-08-03,Success,Jason Watkis,250803-Jason Watkis:Future Events Becoming Clear By Prophecy Pt.9,https://www.youtube.com/watch?v=yuK227X_5HY,2025-12-22,English,Full Sermon
2025-08-03,Success,Jason Watkins,Future Events Becoming Clear By Prophecy Pt.9 - Bro Jason Watkins,https://www.youtube.com/watch?v=6yMRf6ngNr8,2025-12-22,English,Full Sermon
2025-07-30,Success,Joe Howdeshell,250730-Joe Howdeshell:Narcissism,https://www.youtube.com/watch?v=QbmwIszzNmk,2025-12-22,English,Full Sermon
