################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-08-20 - (8-19-20) The Mystery of God's Will, Pt. 2 - Jesse Smith - Jesse Smith.txt
Video ID: ksH8I1BGm_4
Segments: 1896
URL: https://www.youtube.com/watch?v=ksH8I1BGm_4
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:20] [Music]
[0:27] thank you
[0:31] [Music]
[0:43] [Music]
[0:53] [Music]
[0:59] [Music]
[1:07] [Music]
[1:10] so
[1:13] [Music]
[1:24] so
[1:26] [Music]
[1:32] [Music]
[1:37] thank you
[1:40] [Music]
[1:52] this
[1:54] [Music]
[2:06] so
[2:12] [Music]
[2:32] [Music]
[2:34] she
[2:38] [Music]
[2:45] [Music]
[2:48] so
[2:52] [Music]
[3:02] so
[3:04] [Music]
[3:11] [Music]
[3:21] [Music]
[3:30] so
[3:35] [Music]
[4:01] [Music]
[4:10] [Music]
[4:26] [Music]
[4:40] um
[4:42] [Music]
[5:08] um
[5:12] [Music]
[5:36] too
[5:40] surely my god
[5:55] when i feel like
[6:13] [Music]
[6:18] me
[6:21] [Music]
[6:32] from
[6:35] [Music]
[6:46] oh
[6:49] [Music]
[6:54] [Applause]
[6:56] [Music]
[7:00] me
[7:07] day after day
[7:17] [Music]
[7:22] [Music]
[7:36] [Music]
[7:45] [Applause]
[7:49] [Music]
[7:56] oh
[7:58] [Music]
[8:10] yesterday
[8:20] [Music]
[8:24] say
[8:34] [Music]
[8:38] oh
[8:52] oh
[9:01] [Music]
[9:06] me
[9:17] [Music]
[9:34] oh
[9:44] [Music]
[9:48] hey
[9:50] [Music]
[10:00] all my days
[10:08] [Music]
[10:09] [Applause]
[10:15] [Music]
[10:22] [Music]
[10:26] [Applause]
[10:30] is
[10:42] [Music]
[10:44] oh
[10:46] [Music]
[10:58] is
[11:01] [Music]
[11:06] [Applause]
[11:09] [Music]
[11:12] is
[11:19] [Music]
[11:26] is
[11:28] [Applause]
[11:32] [Music]
[11:40] is
[11:44] [Music]
[11:54] is
[12:06] [Applause]
[12:06] [Music]
[12:13] [Applause]
[12:22] me
[12:27] [Music]
[12:38] [Music]
[12:40] [Applause]
[12:46] [Music]
[12:50] is
[12:53] [Music]
[13:04] is
[13:14] [Music]
[13:18] do you feel the world is broken
[13:43] [Music]
[13:46] hallelujah
[13:49] [Music]
[14:00] me
[14:08] [Music]
[14:14] is
[14:16] [Music]
[14:28] is
[14:33] [Music]
[14:42] is
[14:46] [Applause]
[14:53] [Music]
[14:56] is
[15:04] [Music]
[15:23] [Music]
[15:24] is
[15:27] [Music]
[15:38] is
[15:41] [Music]
[15:47] [Music]
[15:52] oh
[15:58] [Music]
[16:05] [Music]
[16:20] is
[16:31] [Applause]
[16:34] is
[16:40] [Music]
[16:54] [Music]
[17:02] is
[17:05] [Music]
[17:16] is
[17:26] [Applause]
[17:30] days
