################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-12-05 - (12-5-20) Saturday Evening Worship - Dennis McBride - Dennis Mc.txt
Video ID: I79S12SZCug
Segments: 2934
URL: https://www.youtube.com/watch?v=I79S12SZCug
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:14] trees
[0:19] [Music]
[0:28] so
[0:31] [Music]
[0:42] so
[0:44] [Music]
[0:56] so
[0:59] [Music]
[1:06] [Applause]
[1:07] [Music]
[1:24] so
[1:26] [Music]
[1:38] so
[1:40] [Music]
[1:48] [Music]
[2:06] so
[2:14] [Music]
[2:53] [Applause]
[2:54] [Music]
[3:02] foreign
[3:04] [Music]
[3:16] [Applause]
[3:17] you
[3:19] [Music]
[3:35] [Applause]
[3:38] [Music]
[3:45] you
[3:46] [Music]
[3:53] [Applause]
[3:55] [Music]
[4:12] team
[4:15] [Music]
[4:20] [Applause]
[4:21] [Music]
[4:26] so
[4:30] [Music]
[4:36] [Applause]
[4:37] [Music]
[4:44] [Applause]
[4:45] [Music]
[4:49] [Applause]
[4:49] [Music]
[4:54] so
[4:59] [Music]
[5:11] [Applause]
[5:15] [Music]
[5:21] [Applause]
[5:22] so
[5:28] [Music]
[5:29] [Applause]
[5:31] [Music]
[5:36] so
[5:37] [Music]
[5:47] [Music]
[6:04] yes
[6:09] [Music]
[6:18] so
[6:29] [Music]
[6:30] [Applause]
[6:32] [Music]
[7:03] there is one day in your house
[7:18] [Music]
[7:28] is
[7:34] [Music]
[7:41] i
[7:45] [Music]
[7:49] [Applause]
[7:53] [Music]
[7:56] me
[7:59] [Music]
[8:07] i sing
[8:12] [Music]
[8:22] [Applause]
[8:29] [Music]
[8:52] to
[8:54] [Music]
[9:05] [Applause]
[9:06] is
[9:10] you're better in one day
[9:22] [Music]
[9:34] is
[9:39] [Music]
[9:48] is
[9:51] [Music]
[9:58] i will
[10:06] better is
[10:18] [Music]
[10:30] is
[10:32] [Music]
[10:48] god is
[11:05] [Applause]
[11:08] [Music]
[11:15] [Applause]
[11:16] [Music]
[11:21] [Applause]
[11:23] [Music]
[11:26] is
[11:29] [Music]
[11:31] [Applause]
[11:35] [Music]
[11:38] [Applause]
[11:40] is
[11:42] [Music]
[11:50] [Music]
[11:54] is
[11:56] [Music]
[11:58] [Applause]
[12:01] [Music]
[12:11] [Music]
[12:15] [Applause]
[12:18] [Music]
[12:22] oh
[12:25] [Applause]
[12:26] [Music]
[12:33] [Music]
[12:36] is
[12:38] [Music]
[12:44] [Applause]
[12:47] [Music]
[12:50] me
[12:54] [Music]
[13:04] like
[13:09] [Music]
[13:15] [Music]
[13:18] is
[13:22] [Music]
[13:30] [Music]
[13:42] [Music]
[13:46] big
[13:50] [Music]
[13:56] [Music]
[14:04] [Music]
[14:14] yes
[14:16] [Music]
[14:42] now
[14:45] [Music]
[14:55] [Music]
[15:06] [Applause]
[15:08] [Music]
[15:38] oh
[15:44] [Music]
[15:52] is
[15:57] [Music]
[16:00] [Applause]
[16:02] [Music]
[16:06] because
[16:09] [Music]
[16:18] with me
[16:24] [Music]
[16:34] me
[16:45] [Applause]
[16:45] [Music]
[16:48] me
[16:50] [Music]
[17:02] between the wings
[17:21] [Music]
[17:28] [Applause]
[17:30] me
[17:33] the wings
[17:52] [Music]
[17:58] me
[18:09] [Music]
[18:12] is
[18:20] [Music]
[18:26] is
[18:29] [Music]
[18:40] me
[18:43] [Music]
[18:56] [Applause]
[18:59] [Music]
[19:01] between the wings
[19:17] [Laughter]
[19:20] [Music]
[19:22] you
[19:24] [Music]
[20:13] [Music]
[20:14] i love to work
[20:20] [Music]
[20:26] you i love to
[20:32] work
[20:34] [Music]
[20:42] [Music]
[20:45] who i love
[20:48] [Music]
[20:54] [Music]
[21:00] worship
[21:08] who i love to worship
[21:29] my
[21:36] [Music]
[22:03] [Music]
[22:08] oh i love to work
[22:15] [Music]
[22:23] i love
[22:27] [Music]
[22:35] [Music]
[22:38] i
[22:47] [Music]
[23:06] yes
[23:11] [Music]
[23:20] [Music]
[23:27] i love to work
[23:35] [Music]
[23:43] have a few prayer requests here and then
[23:44] we'll invite our brother to come
[23:46] minister tonight by god's grace i have
[23:49] numerous requests i just wrote them on
[23:50] my phone here so
[23:54] um
[23:57] let's remember uh i have a cousin who
[23:59] was in a car accident today
[24:00] my mom told me not to say much about it
[24:02] so i'm gonna try not to do that
[24:04] um anyways i guess it's very severe
[24:07] um now i know a little bit about the
[24:09] situation
[24:10] um he's kind of backslid from the lord
[24:13] so let's just pray for
[24:14] restoration not only for that health but
[24:16] also for the soul
[24:18] you know i did numerous talks on the
[24:21] phone when i was
[24:22] you know talking about the lord but
[24:24] since then he's kind of straight
[24:26] so that's the mo that's a pretty urgent
[24:28] thing let's remember brother jose's
[24:30] health i talked to him yesterday
[24:32] he said he's still kind of sick and then
[24:34] their family still really tore up about
[24:36] the loss of
[24:36] armando so let's remember him in prayer
[24:40] i think the funeral is wednesday if i'm
[24:41] not mistaken it's wednesday
[24:44] oh yeah he asked for me to pray for um
[24:47] i forgot this one his daughter is flying
[24:50] in tonight
[24:50] into cleveland her name's jolene so
[24:54] let's remember
[24:55] jolene her flight and travel
[24:58] also our sister naomi and wesley and the
[25:00] kids are checking out monday by god's
[25:02] grace
[25:02] so let's continue to pray for them we
[25:04] pray for them wednesday night and
[25:06] i just continue to pray and ask god's
[25:09] blessing upon the trip
[25:10] and god's leadership also that little
[25:13] two-year-old boy we were praying for
[25:14] um still sick but he's out of intensive
[25:17] care so his mom did ask for prayer from
[25:19] all the friends
[25:20] um of the family which i think i'm the
[25:23] only friend of the family but
[25:24] i know your prayers are effective
[25:27] but the dentist had just had an unspoken
