################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-05-16 - (5-15-21) Saturday Evening Service - Dennis McBride - Dennis Mc.txt
Video ID: MivzHtzyyuQ
Segments: 1964
URL: https://www.youtube.com/watch?v=MivzHtzyyuQ
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:14] oh
[0:17] [Music]
[0:19] [Applause]
[0:19] [Music]
[0:36] [Applause]
[0:38] [Music]
[0:56] [Applause]
[0:57] [Music]
[1:10] [Applause]
[1:11] [Music]
[1:24] too
[1:27] [Music]
[1:34] [Music]
[1:38] now
[1:41] [Music]
[1:51] [Applause]
[2:00] [Music]
[2:06] good
[2:08] [Music]
[2:19] [Applause]
[2:20] [Music]
[2:34] so
[2:40] [Music]
[2:49] [Music]
[3:02] me
[3:04] [Music]
[3:16] so
[3:18] [Music]
[3:23] [Applause]
[3:25] [Music]
[3:30] me
[3:32] [Music]
[4:12] um
[4:19] [Applause]
[4:20] [Music]
[4:29] [Applause]
[4:30] [Music]
[4:35] [Applause]
[4:40] foreign
[4:42] [Music]
[4:47] [Applause]
[4:50] [Music]
[5:06] [Applause]
[5:08] do
[5:14] [Music]
[5:27] [Music]
[5:36] so
[5:40] [Music]
[5:46] [Applause]
[5:49] [Music]
[6:15] [Music]
[7:14] so
[7:20] [Music]
[7:25] [Applause]
[7:25] [Music]
[7:31] [Applause]
[7:32] [Music]
[7:42] foreign
[7:46] [Music]
[7:58] [Music]
[8:10] so
[8:14] [Music]
[8:24] so
[8:27] [Music]
[8:31] [Applause]
[8:31] [Music]
[8:38] so
[8:42] [Music]
[8:49] [Music]
[9:06] foreign
[9:11] [Music]
[9:19] [Applause]
[9:20] so
[9:27] [Music]
[9:34] so
[9:38] [Music]
[9:56] [Music]
[10:02] so
[10:05] [Music]
[10:16] so
[10:18] [Applause]
[10:19] [Music]
[10:30] bye
[10:32] [Music]
[11:00] [Music]
[11:12] do
[11:19] [Music]
[12:02] [Music]
[12:04] [Applause]
[12:08] now
[12:12] [Music]
[12:21] [Applause]
[12:23] [Music]
[12:29] [Applause]
[12:29] [Music]
[12:47] [Applause]
[12:50] um
[12:53] [Music]
[13:18] so
[13:21] [Music]
[13:32] [Applause]
[13:33] [Music]
[13:48] [Applause]
[13:49] [Music]
[13:57] [Applause]
[13:57] [Music]
[14:01] you
[14:04] [Music]
[14:42] so
[14:43] [Music]
[15:10] foreign
[15:14] [Music]
[15:24] do
[15:29] [Music]
[15:52] so
[15:53] [Music]
[15:59] [Applause]
[16:00] [Music]
[16:06] too
[16:09] [Music]
[17:30] now
[17:33] [Music]
[17:41] [Applause]
[17:44] do
[17:50] [Music]
[18:40] two
[18:43] [Music]
[18:50] [Applause]
[18:54] [Music]
[19:08] foreign
[19:14] [Music]
