################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2022-06-02 - (6-1-22) How to Know God's Will For Every Promise - Jesse Smith - Jesse Smith.txt
Video ID: Hd71INHmFgM
Segments: 2324
URL: https://www.youtube.com/watch?v=Hd71INHmFgM
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:14] nice
[0:18] [Music]
[0:22] um
[0:32] [Music]
[0:48] [Music]
[0:49] me
[0:52] [Music]
[1:03] [Applause]
[1:04] [Music]
[1:09] that's right
[1:12] [Music]
[1:29] is
[1:37] [Music]
[1:42] me
[1:50] [Applause]
[1:55] [Music]
[2:01] oh
[2:07] [Applause]
[2:09] [Music]
[2:16] is
[2:19] [Music]
[2:25] glory
[2:30] be
[2:33] [Music]
[2:33] [Applause]
[2:37] [Music]
[2:46] [Music]
[2:51] me
[2:54] [Applause]
[3:01] [Music]
[3:19] is
[3:21] [Music]
[3:27] [Applause]
[3:33] foreign
[3:35] [Music]
[3:50] [Applause]
[3:50] [Music]
[3:58] more
[4:02] yes
[4:13] [Music]
[4:15] oh
[4:26] [Music]
[4:36] is
[4:39] [Music]
[4:54] praise god
[4:59] [Applause]
[5:01] [Music]
[5:10] thank you jesus let's get our thoughts
[5:11] on heaven tonight praise god
[5:20] [Applause]
[5:22] [Music]
[5:24] is
[5:29] [Music]
[5:38] me
[5:41] [Music]
[5:45] [Applause]
[5:49] [Music]
[5:52] will be
[6:00] [Applause]
[6:12] [Music]
[6:13] [Applause]
[6:14] [Music]
[6:15] again
[6:19] [Music]
[6:22] [Applause]
[6:26] [Music]
[6:29] [Applause]
[6:31] [Music]
[6:34] [Applause]
[6:35] [Music]
[6:39] please
[6:44] [Music]
[6:51] [Music]
[6:59] [Music]
[7:03] oh
[7:06] [Applause]
[7:17] [Music]
[7:25] [Applause]
[7:35] [Applause]
[7:39] hallelujah
[7:44] [Applause]
[7:46] [Music]
[7:48] [Applause]
[7:54] praise the lord praise the lord
[8:03] [Music]
[8:09] [Music]
[8:15] [Applause]
[8:18] [Music]
[8:23] [Applause]
[8:28] is
[8:31] [Applause]
[8:44] [Music]
[8:46] [Applause]
[8:55] today
[8:57] [Applause]
[9:07] [Music]
[9:10] is
[9:18] [Applause]
[9:20] [Music]
[9:25] [Applause]
[9:32] [Applause]
[9:39] oh
[9:42] [Applause]
[9:53] is
[9:55] [Applause]
[10:02] [Applause]
[10:08] [Music]
[10:11] [Applause]
[10:26] this is like heaven to me
[10:30] praise god all this is
[10:36] [Music]
[10:46] [Music]
[10:55] [Applause]
[11:04] is
[11:10] [Music]
[11:14] is
[11:24] [Music]
[11:25] [Applause]
[11:32] [Music]
[11:43] is
[11:45] [Music]
[11:50] [Applause]
[11:51] [Music]
[11:53] [Applause]
[11:56] oh
[12:12] [Applause]
[12:17] [Music]
[12:33] uh
[12:37] [Applause]
[12:39] is
[12:49] [Applause]
[13:01] is
[13:10] is
[13:15] [Music]
[13:21] [Applause]
[13:29] [Music]
[13:34] is
[13:43] [Applause]
[13:52] [Music]
[13:56] let's take our bibles here tonight by
[13:58] god's grace let's go to jeremiah 29.
[14:05] go to verse 12 jeremiah 29 12. i'd like
[14:07] to
[14:09] kind of preach a
[14:10] sermon
[14:11] brother amen had a good question for me
[14:13] sunday after the service
[14:15] i thought i'll just preach a sermon on
[14:16] that by god's grace
[14:24] i just want to call it just simply how
[14:26] to know god's will for any promise
[14:28] so look at that hot enough i know god's
[14:30] will for any promise i don't know
[14:31] brother amen told you that but he and i
[14:33] were talking about that
[14:37] i don't know if he talked about it i
[14:38] just thought that's a great question and
