################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2023-03-20 - 21 0519 Who Are You - Unknown Speaker.txt
Video ID: cTZD8KnBKCc
Segments: 2776
URL: https://www.youtube.com/watch?v=cTZD8KnBKCc
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:00] foreign
[0:05] [Music]
[0:51] foreign
[0:52] [Music]
[1:04] [Music]
[1:17] foreign
[1:32] [Music]
[1:58] [Music]
[2:19] [Music]
[2:35] thank you
[2:37] [Music]
[2:42] [Music]
[2:50] [Music]
[3:10] foreign
[3:13] [Music]
[3:21] [Music]
[3:38] [Music]
[3:44] [Music]
[3:49] foreign
[4:15] [Music]
[4:29] [Music]
[4:41] [Music]
[4:47] [Music]
[4:50] foreign
[4:52] [Music]
[4:57] [Music]
[5:15] foreign
[5:17] [Music]
[5:28] [Music]
[6:02] [Music]
[6:07] [Music]
[6:14] foreign
[6:16] [Music]
[6:47] [Music]
[7:05] foreign
[7:13] [Music]
[7:27] foreign
[7:31] [Music]
[7:40] [Music]
[8:02] [Music]
[8:10] [Music]
[8:20] [Music]
[8:41] foreign
[8:43] [Music]
[8:48] [Music]
[8:59] [Music]
[9:12] [Music]
[9:21] [Music]
[9:32] foreign
[9:37] [Music]
[9:53] foreign
[9:57] [Music]
[10:13] [Music]
[10:32] foreign
[10:36] [Music]
[11:04] foreign
[11:07] [Music]
[11:17] [Music]
[11:26] [Music]
[11:48] thank you
[11:49] [Music]
[12:00] [Music]
[12:18] foreign
[12:22] [Music]
[12:37] [Music]
[12:53] [Music]
[13:10] all right
[13:23] [Music]
[13:31] foreign
[13:32] [Music]
[14:11] foreign
[14:15] [Music]
[14:41] foreign
[14:47] [Music]
[15:05] [Music]
[15:38] thank you
[15:41] [Music]
[15:56] foreign
[15:58] [Music]
[16:20] [Music]
[16:36] [Music]
[16:59] foreign
[17:03] [Music]
[17:11] foreign
[17:18] [Music]
[17:44] [Music]
[18:10] [Music]
[18:19] what's up
[18:20] foreign
[18:22] [Music]
[18:36] [Music]
[18:42] [Music]
[18:53] [Music]
[19:23] [Music]
[19:34] foreign
[19:35] [Music]
[20:02] [Music]
[20:22] [Music]
[20:33] [Music]
[20:42] [Music]
[20:57] foreign
[20:59] [Music]
[21:13] [Music]
[21:35] [Music]
[22:04] foreign
[22:11] [Music]
[22:17] [Music]
[22:28] [Music]
[22:35] [Music]
[22:57] [Music]
[23:18] [Music]
[23:24] foreign
[23:34] [Music]
[23:54] [Music]
[24:19] [Music]
[24:33] [Music]
[24:41] foreign
[24:46] [Music]
[25:00] [Music]
[25:07] [Music]
[25:28] [Music]
[25:44] foreign
[25:52] [Music]
[26:18] thank you
[26:20] [Music]
[26:37] [Music]
[26:55] foreign
[27:00] [Music]
[27:41] foreign
[27:43] [Music]
[28:08] foreign
[28:15] [Music]
[28:42] foreign
[28:47] [Music]
[29:13] foreign
[29:18] [Music]
[29:22] foreign
[29:24] [Music]
[29:59] foreign
[30:03] [Music]
[30:36] foreign
[30:40] [Music]
[31:17] thank you
[31:46] foreign
[31:49] [Music]
[32:29] foreign
[32:31] [Music]
[33:00] foreign
[33:08] [Music]
[33:35] foreign
[33:40] [Music]
[34:09] foreign
[34:10] [Music]
[34:53] thank you
[35:15] [Music]
[35:19] foreign
[35:24] [Music]
[36:06] foreign
[36:19] [Music]
[36:32] foreign
[36:35] [Music]
[36:38] good evening Saints
[36:41] if we stand with me
[36:44] [Music]
[36:57] I'm looking for a city the one not made
[37:03] by hands I'm looking over Jordan just
[37:07] [Music]
[37:19] I can see
[37:24] [Music]
[37:29] oh since he came in shook away my sins
[37:36] foreign
[37:43] [Music]
[37:50] turn the floor from one high
[37:54] [Music]
[37:58] try
[37:59] try I'm feasting on God's
[38:02] [Music]
[38:07] Everlasting Choice here to stay
[38:11] now I
[38:13] am
[38:15] a blasting
[38:19] [Music]
[38:25] [Applause]
[38:25] [Music]
[38:29] I have the Everlasting
[38:33] within my soul
[38:36] I've heard the prophets and I said I've
[38:40] placed it in my heart I've got the
[38:44] revolution
[38:47] [Music]
[38:49] Rapture is upon us
[38:52] dangerous
[38:55] and this vicious promise May
[38:58] [Music]
[39:05] enjoy with it oh since he came and took
[39:11] away
[39:12] from the moment that he blessing me
[39:19] that hair
[39:21] that have joy within my soul
[39:36] you ask me why I'm happy so I'll just
[39:41] tell you why because
[39:45] my sins are gone
[39:50] [Music]
[40:03] of the cross
[40:08] [Music]
[40:27] where God came in my heart and now
[40:33] my sins are gone
[40:38] for possession the devil did depart I'm
[40:44] glad my sins are gone from there
[40:49] underneath the blood of the Cross of
[40:53] Calvary as far as darkness is
[41:01] [Music]
[41:04] good enough for you oh praise God
[41:09] my sins are gone
[41:12] I'm living now for Jesus I'm happy
[41:17] night's ending oh because
[41:21] my sins are gone oh my soul is filled
[41:27] with music with all
[41:29] heart I see I know
[41:33] my sins are gone
[41:40] [Music]
[41:44] as darkness is
[41:47] [Music]
[41:54] [Music]
[41:57] our seats are gone
[42:00] oh praise God my sins are gone
[42:08] if I could ask about Toby to come pray
[42:12] for us
[42:13] [Music]
[42:28] bless the church lights bow our heads to
[42:31] pray tonight
[42:33] their father what a privilege and an
[42:34] opportunity it is to know that our sins
[42:37] are gone
[42:38] to know their father Lord Jesus that
[42:42] they are in the sea of your
[42:43] forgetfulness never to be remembered
[42:46] again
[42:48] Lord we are such a privileged people
[42:50] their lord Jesus just Lord makes us know
[42:53] that we have nothing to do Lord Jesus
[42:56] Christ father with with this Redemption
[42:58] plan their father
[43:00] you design the plan Lord you
[43:02] implementing the plan
[43:04] and we are just benefactors of this dear
[43:07] Lord is such a great privilege and an
[43:10] honor their father to be your children
[43:13] thank you father for bringing us
[43:15] together Lord Jesus Christ father into
[43:17] your presence whether there be that be
