################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2023-03-20 - 21 0523 The Book of John Pt3 - Unknown Speaker.txt
Video ID: zVaLJkXPfBg
Segments: 3284
URL: https://www.youtube.com/watch?v=zVaLJkXPfBg
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] foreign
[0:03] [Music]
[0:11] [Music]
[0:33] [Music]
[0:40] foreign
[0:47] [Music]
[0:54] [Music]
[1:02] [Music]
[1:14] [Music]
[1:16] foreign
[1:30] [Music]
[1:52] foreign
[1:53] [Music]
[2:36] foreign
[2:39] [Music]
[3:10] [Music]
[3:26] thank you
[3:34] [Music]
[3:47] [Music]
[4:01] foreign
[4:02] [Music]
[4:13] [Music]
[4:43] [Music]
[4:58] foreign
[5:05] [Music]
[5:26] thank you
[5:31] [Music]
[5:49] [Music]
[5:52] foreign
[5:54] [Music]
[6:23] [Music]
[6:26] foreign
[6:28] [Music]
[6:51] [Music]
[6:58] [Music]
[7:10] foreign
[7:12] [Music]
[7:29] [Music]
[7:38] [Music]
[7:40] foreign
[7:43] [Music]
[7:59] [Music]
[8:06] [Music]
[8:14] [Music]
[8:19] foreign
[8:22] [Music]
[8:41] [Music]
[8:56] foreign
[8:57] [Music]
[9:06] [Music]
[9:30] foreign
[9:35] [Music]
[10:01] foreign
[10:04] [Music]
[10:36] [Music]
[11:11] foreign
[11:12] [Music]
[11:31] [Music]
[12:17] [Music]
[12:25] foreign
[12:33] [Music]
[13:05] [Music]
[13:13] [Music]
[13:27] foreign
[13:35] foreign
[13:44] [Music]
[13:53] [Music]
[14:43] [Music]
[15:05] foreign
[15:13] [Music]
[15:30] [Music]
[15:37] [Music]
[15:44] foreign
[15:46] [Music]
[15:58] [Music]
[16:14] foreign
[16:22] [Music]
[16:31] [Music]
[16:42] [Music]
[16:58] foreign
[17:04] [Music]
[17:11] [Music]
[17:30] foreign
[17:36] [Music]
[17:53] [Music]
[18:06] [Music]
[18:21] [Music]
[18:25] foreign
[18:29] [Music]
[18:41] foreign
[18:50] [Music]
[19:03] [Music]
[19:18] [Music]
[19:36] [Music]
[19:49] [Music]
[19:52] thank you
[19:54] [Music]
[20:06] thank you
[20:12] [Music]
[20:30] [Music]
[20:38] foreign
[21:07] [Music]
[21:15] [Music]
[21:23] [Music]
[21:28] foreign
[21:36] [Music]
[21:48] [Music]
[22:11] foreign
[22:14] [Music]
[22:26] [Music]
[22:42] [Music]
[22:54] [Music]
[23:11] [Music]
[23:23] [Music]
[23:36] foreign
[23:58] [Music]
[24:12] [Music]
[24:20] foreign
[24:22] [Music]
[24:47] thank you
[24:50] [Music]
[25:12] foreign
[25:14] [Music]
[25:22] [Music]
[25:48] foreign
[25:56] [Music]
[26:25] foreign
[26:25] [Music]
[26:59] foreign
[27:02] [Music]
[27:35] foreign
[27:39] [Music]
[28:02] foreign
[28:05] [Music]
[28:10] foreign
[28:12] [Music]
[28:52] foreign
[28:56] [Music]
[29:23] foreign
[29:31] [Music]
[29:53] foreign
[30:03] [Music]
[30:41] thank you
[30:43] [Music]
[31:09] foreign
[31:14] [Music]
[31:51] foreign
[31:56] [Music]
[32:32] foreign
[32:36] [Music]
[33:02] foreign
[33:02] [Music]
[33:38] foreign
[33:41] [Music]
[34:15] foreign
[34:29] [Music]
[35:02] foreign
[35:11] [Music]
[35:27] foreign
[35:30] [Music]
[35:38] [Music]
[35:53] God bless you everyone
[35:55] welcome back to church this beautiful
[35:57] Sunday morning can we rise up on our
[35:59] feet as we start the song service today
[36:04] thank God for his blessings upon us
[36:05] through the week for bringing us back
[36:08] into his presence we trust that God is
[36:09] going to feed us through his word today
[36:11] amen above all
[36:17] above all powers
[36:21] above all
[36:23] Kings
[36:26] above all nature and all created
[36:32] things
[36:35] above all wisdom and all the ways of man
[36:45] you were here before foreign
[36:49] [Music]
[37:13] [Applause]
[37:19] there's no way to measure what you heard
[37:26] crucified crucified
[37:29] [Music]
[37:32] laid behind the storm
[37:36] you'll leave to die
[37:40] rejected and alone
[37:44] like a rose
[37:47] trampled on the ground
[37:52] you took the fall
[37:56] and thought of me
[38:00] [Music]
[38:05] above all powers
[38:09] above all Kings
[38:13] of
[38:15] a teacher and all created
[38:19] things
[38:22] above all wisdom and all the ways of man
[38:31] [Music]
[38:36] next first
[38:39] above all kingdoms
[38:43] above all Thrones
[38:46] [Music]
[38:52] ever known above
[38:57] wealth and Treasures of the earth
[39:03] there's no way
[39:05] there's no way to measure
[39:08] [Music]
[39:15] crucified
[39:17] and laid behind a storm
[39:22] you leave
[39:23] to die
[39:26] rejected and alone
[39:29] like a rose
[39:33] trampled on the ground
[39:37] you took the fall
[39:41] and thought of me
[39:47] above my crucified
[39:49] oh you were a group
[39:55] [Music]
[39:59] Lord you lived
[40:01] to die
[40:04] rejected and
[40:07] alone like a rose
[40:10] trampled on the ground
[40:15] you took the fall
[40:19] and thought of me
[40:24] above like a rose
[40:28] like a rose
[40:32] trampled on the ground
[40:36] you took the fall
[40:41] and thought of me
[40:45] above
