################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2023-04-09 - 2023-04-09 - Bro. Barry - He Is Risen  The Quickening Spirit - Easter Meetings #5 - Unknown Speaker.txt
Video ID: Ko_L1cNRnXI
Segments: 3231
URL: https://www.youtube.com/watch?v=Ko_L1cNRnXI
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:03] [Music]
[0:07] thank you
[0:17] [Music]
[0:38] [Music]
[0:44] [Music]
[0:50] thank you
[0:56] [Music]
[1:09] [Music]
[1:15] [Music]
[1:16] foreign
[1:19] [Music]
[1:32] [Music]
[1:49] [Music]
[1:54] foreign
[1:58] [Music]
[2:05] [Music]
[2:16] [Music]
[2:33] foreign
[2:34] [Music]
[2:52] [Music]
[3:08] foreign
[3:13] [Music]
[3:22] [Music]
[3:38] [Music]
[3:47] foreign
[3:50] [Music]
[3:58] [Music]
[4:18] [Music]
[4:36] [Music]
[4:46] foreign
[4:48] [Music]
[4:56] [Music]
[5:00] foreign
[5:23] [Music]
[5:32] [Music]
[5:43] [Music]
[5:53] [Music]
[6:07] [Music]
[6:27] foreign
[6:38] [Music]
[6:47] [Music]
[7:02] [Music]
[7:22] foreign
[7:41] [Music]
[8:30] foreign
[8:32] [Music]
[8:38] foreign
[8:45] [Music]
[8:52] [Music]
[8:58] [Music]
[9:08] [Music]
[9:20] [Music]
[9:34] foreign
[9:36] [Music]
[9:48] foreign
[9:50] [Music]
[10:23] foreign
[10:26] [Music]
[10:58] [Music]
[11:01] foreign
[11:03] [Music]
[11:16] [Music]
[11:40] thank you
[11:46] [Music]
[12:08] [Music]
[12:12] foreign
[12:15] [Music]
[13:03] [Music]
[13:04] foreign
[13:06] [Music]
[13:16] [Music]
[13:24] foreign
[13:26] [Music]
[13:32] [Music]
[13:47] [Music]
[14:07] [Music]
[14:17] [Music]
[14:35] foreign
[14:35] [Music]
[14:49] [Music]
[15:10] [Music]
[15:32] [Music]
[15:49] foreign
[15:55] [Music]
[16:04] [Music]
[16:13] [Music]
[16:37] thank you
[16:54] [Music]
[17:02] foreign
[17:11] [Music]
[17:17] [Music]
[17:33] [Music]
[17:45] [Music]
[17:52] foreign
[17:56] [Music]
[18:11] [Music]
[18:18] [Music]
[18:25] thank you
[18:37] [Music]
[18:55] [Music]
[19:00] thank you
[19:03] [Music]
[19:11] [Music]
[19:26] foreign
[19:28] [Music]
[19:50] [Music]
[20:06] [Music]
[20:31] foreign
[20:46] foreign
[21:24] [Music]
[21:38] [Music]
[21:40] thank you
[21:51] [Music]
[22:02] [Music]
[22:11] thank you
[22:13] [Music]
[22:35] [Music]
[22:48] [Music]
[22:50] foreign
[22:55] [Music]
[23:15] [Music]
[23:20] foreign
[23:21] [Music]
[23:29] [Music]
[23:41] [Music]
[24:00] [Music]
[24:29] [Music]
[24:34] foreign
[24:37] [Music]
[24:52] [Music]
[25:13] [Music]
[25:23] [Music]
[25:35] [Music]
[25:36] foreign
[25:41] [Music]
[25:43] foreign
[25:48] [Music]
[25:57] [Music]
[26:08] [Music]
[26:18] [Music]
[26:28] thank you
[26:29] [Music]
[26:38] [Music]
[26:54] foreign
[26:56] [Music]
[27:29] [Music]
[27:37] [Music]
[27:52] [Music]
[27:56] all right
[27:58] [Music]
[28:09] foreign
[28:10] [Music]
[28:47] foreign
[28:50] [Music]
[29:01] [Music]
[29:22] foreign
[29:23] [Music]
[29:58] thank you
[30:10] [Music]
[30:36] thank you
[30:39] [Music]
[31:09] foreign
[31:12] [Music]
[31:29] out we've got a few visitors with us God
[31:32] bless you
[31:33] local folks
[31:35] he'd be a just enjoy the presence of the
[31:37] Lord as we worship him this morning it's
[31:40] Easter morning beautiful sunny day out
[31:42] there good to be in church on a Sunday
[31:43] morning Easter morning in particular God
[31:45] bless you stand with me if you would I
[31:47] will sing of the mercies of the Lord
[31:50] Forever This is David's psalm well I
[31:54] will sing of the mercies of the Lord for
[32:00] ever I will sing
[32:03] oh I
[32:07] oh and I will sing of the mercies of the
[32:11] Lord forever
[32:16] [Music]
[32:27] I think
[32:29] [Music]
[32:33] oh with my mouth
[32:37] [Music]
[32:55] oh yes
[32:59] [Music]
[33:17] thank you
[33:19] [Music]
[33:31] [Music]
[33:41] Lord we come
[33:45] to
[33:46] worship
[33:48] no matter what
[33:50] the circumstances
[33:56] no one want to see
[34:01] [Music]
[34:07] it
[34:12] [Music]
[34:12] [Applause]
[34:15] [Music]
[34:26] [Applause]
[34:27] [Music]
[34:31] how we know
[34:39] [Music]
[34:40] [Applause]
[34:45] oh how we long to Worship You Lord
[34:52] [Music]
[34:57] [Music]
[35:02] have worship you one more time
[35:10] nothing
[35:12] oh yes
[35:20] [Music]
[35:44] so my soul long and after this
[35:55] [Music]
[36:07] oh yeah
[36:09] yeah
[36:09] [Music]
[36:22] and
