################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2024-04-14 - 2024-04-14 Bro. Barry - God's Will - Barry Johnson.txt
Video ID: vHfvcK5LtCI
Segments: 2922
URL: https://www.youtube.com/watch?v=vHfvcK5LtCI
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:01] [Music]
[0:47] [Music]
[1:26] [Music]
[1:37] for
[2:34] [Music]
[2:47] [Music]
[2:58] [Music]
[3:13] [Music]
[3:50] [Music]
[3:59] [Music]
[4:19] [Music]
[4:30] [Music]
[5:10] [Music]
[5:20] [Music]
[5:54] [Music]
[6:17] [Music]
[6:23] [Music]
[6:48] [Music]
[7:09] [Music]
[7:32] [Music]
[7:56] [Music]
[8:28] [Music]
[8:38] [Music]
[8:57] [Music]
[9:15] [Music]
[9:26] [Music]
[9:39] [Music]
[9:49] [Music]
[10:13] [Music]
[10:22] [Music]
[10:36] [Music]
[10:57] [Music]
[11:02] [Music]
[11:07] for
[11:09] [Music]
[11:28] [Music]
[11:34] [Music]
[11:43] [Music]
[11:51] [Music]
[12:17] [Music]
[12:24] [Music]
[12:35] [Music]
[13:12] [Music]
[13:17] [Music]
[13:33] [Music]
[13:40] [Music]
[13:57] [Music]
[14:17] [Music]
[14:25] [Music]
[14:37] [Music]
[14:55] [Music]
[15:05] [Music]
[15:51] [Music]
[16:02] [Music]
[16:12] [Music]
[16:26] [Music]
[16:56] [Music]
[17:06] [Music]
[17:20] [Music]
[17:36] for
[18:00] [Music]
[19:04] [Music]
[19:11] [Music]
[19:17] [Music]
[19:27] [Music]
[19:39] [Music]
[20:07] [Music]
[20:33] [Music]
[20:59] oh
[21:01] [Music]
[21:17] [Music]
[21:35] [Music]
[21:59] [Music]
[22:27] [Music]
[22:36] for
[22:44] [Music]
[23:22] [Music]
[23:35] [Music]
[23:51] [Music]
[24:06] [Music]
[24:26] [Music]
[24:36] [Music]
[24:52] [Music]
[25:08] [Music]
[25:29] [Music]
[25:51] [Music]
[25:57] [Music]
[26:13] [Music]
[26:22] [Music]
[26:31] [Music]
[27:13] [Music]
[27:29] [Music]
[27:36] [Music]
[27:52] [Music]
[28:08] [Music]
[28:30] [Music]
[28:37] [Music]
[28:56] [Music]
[29:13] [Music]
[29:29] [Music]
[29:47] [Music]
[30:09] [Music]
[30:25] [Music]
[31:05] for
[31:43] [Music]
[31:57] [Music]
[32:21] [Music]
[32:35] [Music]
[33:20] [Music]
[33:40] [Music]
[33:48] [Music]
[34:19] [Music]
[34:27] for
[35:44] [Music]
[35:54] [Music]
[36:20] [Music]
[36:46] [Music]
[36:51] [Music]
[37:05] for
[37:07] [Music]
[37:29] [Music]
[37:45] [Music]
[37:55] [Music]
[38:12] [Music]
[38:35] [Music]
[38:44] [Music]
[39:27] e
[39:58] [Music]
[40:27] [Music]
[40:50] [Music]
[41:32] [Music]
[41:35] for
[41:47] [Music]
[42:05] for
[42:07] [Music]
[42:35] for
[43:16] [Music]
[43:28] [Music]
[43:35] for
[43:40] [Music]
[43:56] [Music]
[44:05] for
[44:07] [Music]
[44:21] [Music]
[44:54] [Music]
[45:07] [Music]
[45:15] [Music]
[45:49] [Music]
[45:59] [Music]
[46:07] [Music]
[46:42] h
[46:44] [Music]
[46:58] [Music]
[47:08] [Music]
[47:50] [Music]
[48:10] he
[48:13] [Music]
[48:21] [Music]
[48:33] [Music]
[48:57] [Music]
[49:37] he
[49:42] [Music]
[49:53] [Music]
[49:57] y
[50:02] [Music]
[50:13] [Music]
[50:31] [Music]
[50:34] for
[50:40] [Music]
[51:03] l
[51:09] [Music]
[51:28] [Music]
[51:30] good
[51:33] [Music]
[51:49] [Music]
[52:09] [Music]
[52:15] [Music]
[52:33] [Music]
[53:59] [Music]
[54:07] [Music]
[54:34] for
[54:47] [Music]
[54:54] [Music]
[55:00] [Music]
[55:21] [Music]
[55:25] ni for
[55:29] [Music]
[55:58] you
[56:01] [Music]
[57:50] h
[57:57] oh
[58:05] [Music]
[58:56] h
[58:57] [Music]
[59:02] [Applause]
[59:05] [Music]
[59:26] oh
[59:29] [Music]
[1:00:23] you
[1:00:38] [Music]
[1:00:57] J
[1:01:01] [Music]
[1:01:52] you may the bless to one of you welcome
[1:01:54] once again in the house of the Lord this
[1:01:56] morning going to be in service for the
[1:01:58] king visitors well like welcome you this
[1:02:01] morning would you uh stand with me if
[1:02:03] you would as we start the service this
[1:02:06] morning just the course Blessed Be Your
[1:02:10] Eyes the
[1:02:13] course oh Blessed Be Your Eyes for they
[1:02:19] see the things of
[1:02:22] God that were spoken by the prophet in
[1:02:27] our
[1:02:30] day oh they were hidden from the
[1:02:35] wise and Ral to those who learn I'm so
[1:02:41] glad he touched my eyes that I might see
[1:02:47] oh blessing be your eyes for they see
[1:02:54] the things of God
[1:02:57] that were spoken by the prophet in our
[1:03:04] day oh they were hidden from the
[1:03:09] wise and reveal to those who' learn oh
[1:03:14] I'm so glad he touched my eyes that I
[1:03:19] might see oh I'm so glad he touched my
[1:03:24] eyes I might
[1:03:30] see and above all
[1:03:35] power above all
[1:03:40] Kings above all
[1:03:43] nature and all Crea
[1:03:49] things above all
[1:03:52] wisdom and all the way a
[1:03:58] man oh you were
[1:04:01] here before the world
[1:04:06] began oh Lord you are
[1:04:12] Cru you were laid behind that
[1:04:17] St you
[1:04:19] laid to
[1:04:22] die rejected and
[1:04:27] like
[1:04:28] Ro you were trampled on the
[1:04:34] ground and you took the
[1:04:38] fall oh and thought of
[1:04:41] [Applause]
[1:04:44] me above all is that a work of Grace
[1:04:47] this morning oh Above All
[1:04:53] kingom Above All thres
[1:04:58] above all
[1:05:01] wers the world has
[1:05:06] ever above
[1:05:09] all and trees of the
[1:05:16] earth there's no
[1:05:18] way to measure what your
[1:05:23] word oh Lord you were
[1:05:30] crucified and laid behind that
[1:05:34] sto you
[1:05:36] live to
[1:05:39] die
[1:05:40] rejected
[1:05:47] and on the
[1:05:51] ground you took
[1:05:56] oh
[1:05:57] and
[1:05:59] [Applause]
[1:06:01] Me Above
[1:06:04] All though we have so much to be
[1:06:06] thankful for this morning is that next
[1:06:08] song we give
[1:06:12] thanks with a grateful heart give
[1:06:18] thanks to the Holy One give
[1:06:24] thanks because he's given Jesus
[1:06:30] Christ his
[1:06:32] son oh give
[1:06:36] thanks with a Greatful heart give
[1:06:41] thanks to the Holy One give
[1:06:47] thanks because he's
[1:06:50] given Jesus
[1:06:53] Christ his son oh and
[1:06:59] now let the weak say I am
[1:07:05] strong let the poor say I am
[1:07:10] rich because of what the Lord has
[1:07:16] done for us oh and
[1:07:22] now let the sick say
[1:07:26] I am
[1:07:28] he let the B say I am
[1:07:33] free because of what the Lord has
[1:07:39] done
[1:07:42] [Music]
[1:07:47] for you come prayer for us you have a
[1:07:50] need this morning you want the Lord to
[1:07:52] know about with an uplifted hand just go
[1:07:54] to the Lord in pray the same yesterday
[1:07:56] today and forever God bless
[1:07:59] [Music]
[1:08:06] you father we've come to give you
[1:08:09] thanks Lord with a Greatful
[1:08:12] hearts with our heads lifted High Lord
[1:08:16] and our hearts bowed
[1:08:19] down lord we've come to say thank
[1:08:22] you we've come to thank you
[1:08:26] Lord
[1:08:27] for that germ seed of life that you have
[1:08:30] placed in
[1:08:31] US Lord that hears your word Lord and is
[1:08:36] receptive to your spirit Lord Jesus we
[1:08:40] say thank
[1:08:41] you Father we give you praise for the
[1:08:45] opportunity to gather here Lord to
[1:08:49] worship you
[1:08:50] today Lord come and inhabit the Praises
[1:08:53] of your people today in Jesus name
[1:08:56] Lord come and complete our worship in
[1:08:58] the name of
[1:09:00] Jesus Lord Jesus every heart that is
[1:09:03] gathered here that is watching online
[1:09:07] Lord let them receive of your goodness
[1:09:10] in the name of
[1:09:12] Jesus thank you thank you Father Lord
[1:09:16] Jesus we commit this entire service into
[1:09:19] your hands Lord come and lead us come
[1:09:23] and guide us come and teach us
[1:09:26] come and make our hearts fertile ground
[1:09:29] for your word in the name of Jesus that
[1:09:32] we may receive of you and that we may be
[1:09:34] blessed and that we will be a light onto
[1:09:37] the world in the name of Jesus thank you
[1:09:40] Father we give you praise oh Lord in
[1:09:43] Jesus name we have
[1:09:48] prayed maybe Shake someone's hand as
[1:09:50] you're seated this morning where someone
[1:09:53] God's blessing
[1:09:56] [Music]
[1:09:58] amen good to be in the house of the Lord
[1:10:00] with brothers and sisters and share the
[1:10:03] same gospel same share the same Faith
[1:10:07] [Music]
[1:10:08] amen oh glorious victory that day he set
[1:10:12] me free anyone know who they are this
[1:10:13] morning here's the Declaration Who I Am
[1:10:16] Lord oh glorious
[1:10:20] victory that day he set me free and he
[1:10:25] made my
[1:10:27] heart his very
[1:10:31] Throne my life is no longer mine I'm a
[1:10:36] prisoner of love
[1:10:38] divine and now
[1:10:42] I'm to praise His name oh yes Who I Am
[1:10:50] Lord who I am
[1:10:55] I can see
[1:10:58] now who I
