date,status,speaker,title,url,last_checked,language,type
2025-12-21,Success,Br. Paul Klassen,Br. Paul Klassen - Hark! The Herald Angels Sing,https://www.youtube.com/watch?v=vVMZvUF7nj4,2025-12-23,English,Full Sermon
2025-12-21,Success,Adina Adriel,Sis Adina Adriel - Safe in your arms,https://www.youtube.com/watch?v=B3A4orDczwY,2025-12-23,English,Full Sermon
2025-12-21,Success,"ALABASTER BOX, Kindness Onyeji",Sis Kindness Onyeji - ALABASTER BOX,https://www.youtube.com/watch?v=6Lb7qLVnzUo,2025-12-23,English,Full Sermon
2025-12-14,No Transcript,Unknown Speaker,Winds of Faith,https://www.youtube.com/watch?v=NTJt6u166H8,2025-12-23,Unknown,Full Sermon
2025-12-14,Success,Unknown Speaker,I Surrender All,https://www.youtube.com/watch?v=1ksb3hinZ9g,2025-12-23,English,Full Sermon
2025-11-26,Success,"Choir Special, No Fear",Choir Special - No Fear,https://www.youtube.com/watch?v=dwEnuqOzDnI,2025-12-23,English,Full Sermon
2025-11-22,Success,Unknown Speaker,25-02-16 Bro. Joshua - I Am Redeemed,https://www.youtube.com/watch?v=GmoRkekKE3w,2025-12-23,English,Full Sermon
2025-11-16,Success,Tinashe C,Thank You Lord For Your Blessing On Me - Bro. Tinashe C.,https://www.youtube.com/watch?v=5a8ioZUdlcI,2025-12-23,English,Full Sermon
2025-11-16,No Transcript,Unknown Speaker,Fill My Way With Love - Congregation,https://www.youtube.com/watch?v=Sk2NgOnQaFM,2025-12-23,Unknown,Full Sermon
2025-11-16,No Transcript,When The Redeemed,When The Redeemed - Congregation,https://www.youtube.com/watch?v=0FIPqlecgBk,2025-12-23,Unknown,Full Sermon
2025-11-02,Success,Unknown Speaker,"Oh, Say But I'm Glad! - Congregation",https://www.youtube.com/watch?v=ujB-u6xh88k,2025-12-23,English,Full Sermon
2025-11-02,Success,As The Deer,As The Deer - Congregation,https://www.youtube.com/watch?v=y2aE8-Qlnt0,2025-12-23,English,Full Sermon
2025-11-02,Success,Unknown Speaker,Yet Not I But Through Christ In Me - The Dyck Family,https://www.youtube.com/watch?v=gDnarfrRz1c,2025-12-23,English,Full Sermon
2025-11-02,Success,Unknown Speaker,"Something Keeps Holding Me - Sis. Ruth, Sis. Ife",https://www.youtube.com/watch?v=_2AFw35OpE4,2025-12-23,English,Full Sermon
2025-11-02,Success,Come Jesus Come,"Come Jesus Come - Sis. Amber, Sis. Fe, Sis. Emily, Sis. Mary, Sis. Hailey and the Dyck Family",https://www.youtube.com/watch?v=0hOwgzfzOl8,2025-12-23,English,Full Sermon
2025-11-02,No Transcript,Unknown Speaker,Gratitude - Bro. Feran,https://www.youtube.com/watch?v=2FrH-1WqYOM,2025-12-23,Unknown,Full Sermon
2025-11-02,Success,Unknown Speaker,His Eye Is On The Sparrow - Bro. Feran and Sis. Merit,https://www.youtube.com/watch?v=yR1yrRvRhXo,2025-12-23,English,Full Sermon
