################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2020-11-01 - Sunday, November 1, 2020  Pastor Caleb Perez - The Parallel 24 The Perfect Match - Caleb Perez.txt
Video ID: t52pTx6drl4
Segments: 2174
URL: https://www.youtube.com/watch?v=t52pTx6drl4
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] foreign
[0:03] [Music]
[0:23] [Applause]
[0:29] you
[0:34] [Music]
[0:56] [Applause]
[1:05] [Music]
[1:16] so
[1:25] [Applause]
[1:29] [Music]
[1:42] [Applause]
[1:43] [Music]
[1:59] [Applause]
[2:20] [Music]
[3:04] my
[3:10] [Applause]
[3:20] [Applause]
[3:25] me
[3:28] [Music]
[3:31] [Applause]
[3:38] [Music]
[3:38] [Applause]
[3:43] [Music]
[3:53] [Applause]
[3:55] [Music]
[3:58] [Applause]
[3:59] you
[4:11] [Music]
[4:15] [Applause]
[4:23] [Music]
[4:25] [Applause]
[4:25] [Music]
[4:29] [Applause]
[4:30] [Music]
[4:58] [Applause]
[5:01] [Music]
[5:09] foreign
[5:11] [Music]
[5:14] [Applause]
[5:22] [Applause]
[5:22] [Music]
[5:38] [Applause]
[5:41] [Music]
[5:46] me
[6:01] [Applause]
[6:33] foreign
[6:40] [Applause]
[6:41] [Music]
[6:46] [Applause]
[6:49] [Music]
[7:01] you
[7:05] [Applause]
[7:08] [Music]
[7:11] [Applause]
[7:13] [Music]
[7:28] me
[7:34] [Applause]
[7:35] [Music]
[8:25] you
[8:26] [Applause]
[8:32] [Music]
[8:35] [Applause]
[8:40] [Music]
[8:45] [Applause]
[8:53] [Music]
[8:55] [Applause]
[9:01] [Music]
[9:04] [Applause]
[9:06] [Music]
[9:16] [Applause]
[9:24] me
[9:44] [Music]
[9:55] so
[9:57] [Music]
[10:05] [Applause]
[10:14] [Applause]
[10:18] so
[10:31] [Music]
[10:57] [Applause]
[11:02] [Music]
[11:05] [Applause]
[11:08] [Music]
[11:23] [Applause]
[11:27] [Music]
[11:56] me
[12:04] [Applause]
[12:23] you
[12:30] [Music]
[12:41] [Applause]
[12:44] [Music]
[12:50] [Applause]
[12:53] so
[13:12] [Music]
[13:14] [Applause]
[13:15] [Music]
[13:29] so
[14:11] [Music]
[14:40] [Applause]
[14:43] you
[14:44] [Applause]
[15:05] [Applause]
[15:10] bye
[15:16] [Music]
[15:41] [Applause]
[15:43] [Music]
[15:53] i
[15:54] [Music]
[16:01] [Applause]
[16:06] [Music]
[16:14] [Applause]
[16:18] [Music]
[16:21] i
[16:24] [Applause]
[16:28] [Music]
[18:29] [Music]
[18:59] so
[19:02] [Music]
[19:21] [Applause]
[19:31] [Music]
[19:36] bye
[19:45] [Music]
[20:05] you
[20:07] [Music]
[20:41] [Applause]
[20:42] [Music]
[20:53] so
[20:54] [Music]
[21:06] so
[21:07] [Music]
[21:21] do
[21:22] [Music]
[22:00] [Applause]
[22:05] [Music]
[22:18] so
[22:19] [Music]
[22:31] so
[22:35] [Music]
[22:54] [Music]
[23:15] so
[23:18] [Music]
[23:25] [Applause]
[23:25] [Music]
[23:42] so
[23:45] [Music]
[24:09] so
[24:13] [Music]
[25:18] so
[25:22] [Music]
[25:30] [Music]
[26:09] [Music]
[27:05] [Music]
[27:14] [Music]
[27:20] [Music]
[27:32] [Applause]
[27:33] [Music]
[27:40] so
[27:41] [Music]
[27:54] so
[27:59] [Music]
[28:14] [Music]
[29:06] god bless you
[29:08] you please stand
[29:09] i'm really happy to be in the house of
[29:11] the lord
[29:12] amen good to see each and every one of
[29:14] you
[29:15] welcome we welcome everybody online may
[29:17] god richly bless you it's good to have
[29:19] you online with us
[29:20] amen let's bow our heads for word of
[29:22] prayer
[29:23] dear lord at this time fathers we're
[29:25] here lord in our post of duty father we
[29:27] just
[29:28] want to tell you lord how grateful we
[29:29] are today father to have another day of
[29:31] life lord be able to come lord and
[29:34] and worship you with all of our hearts
[29:35] lord and be able to come and hear your
[29:37] word today father
[29:39] i ask lord that you bless all of my
[29:40] brothers here today father my brothers
[29:42] and my sisters everybody online father
[29:44] our pastor lord who will be bringing the
