################################################################################
TIMESTAMPED TRANSCRIPT
################################################################################
Source: 2021-04-10 - 2021-0410  Bro. Zachary Horning & Sis. Melody Abeyta’s Wedding - Zachary Horning.txt
Video ID: QpnfVqJe58I
Segments: 783
URL: https://www.youtube.com/watch?v=QpnfVqJe58I
================================================================================
Click any timestamp to jump to that point in the video.
Format: [M:SS] or [H:MM:SS] followed by transcript text.
================================================================================

[0:00] [Music]
[0:14] foreign
[0:17] [Music]
[0:28] sleep
[0:31] [Music]
[0:56] so
[0:58] [Music]
[1:10] [Music]
[1:50] [Applause]
[1:52] hmm
[1:58] [Music]
[2:20] foreign
[2:22] [Music]
[3:29] [Music]
[3:44] me
[3:47] [Music]
[3:59] [Applause]
[4:00] [Music]
[4:12] hey
[4:16] [Music]
[4:25] [Applause]
[4:25] [Music]
[4:26] hey
[4:31] [Music]
[5:08] hey
[5:23] foreign
[5:25] [Music]
[7:05] [Applause]
[7:12] [Music]
[7:14] foreign
[7:17] [Music]
[7:33] [Applause]
[7:33] [Music]
[7:38] [Applause]
[7:39] [Music]
[7:56] me
[8:04] [Music]
[8:38] foreign
[8:42] [Music]
[8:57] [Applause]
[8:59] [Music]
[9:02] [Applause]
[9:02] [Music]
[10:02] hmm
[10:04] [Music]
[10:30] then
[10:32] [Music]
[10:58] oh
[11:26] so
[11:32] [Music]
[11:37] [Applause]
[11:37] [Music]
[11:54] to
[11:56] [Music]
[12:08] me
[12:23] you
[12:26] [Music]
[13:21] [Music]
[13:46] me
[13:48] [Music]
[14:00] foreign
[14:05] [Music]
[14:14] foreign
[14:16] [Music]
[14:28] [Applause]
[14:30] [Music]
[14:42] so
[14:46] [Music]
[14:56] me
[14:58] [Applause]
[15:00] [Music]
[15:14] [Music]
[15:24] great
[15:27] [Music]
[15:52] [Music]
[16:06] so
[16:12] [Music]
[16:33] [Applause]
[16:34] hmm
[16:41] [Music]
[17:02] foreign
[17:05] [Music]
[17:16] hey
[17:20] [Music]
[17:58] so
[18:03] [Music]
[18:12] [Music]
[18:26] me
[18:28] [Music]
[18:42] [Applause]
[18:43] [Music]
[18:54] hey
[18:56] [Music]
[19:07] [Applause]
[19:08] [Music]
[20:04] so
[20:18] so
[20:22] [Music]
[20:33] you
[20:35] [Music]
[21:00] uh
[21:02] [Music]
[21:47] [Applause]
[21:56] foreign
[22:00] [Music]
[22:16] [Applause]
[22:16] [Music]
[22:21] [Applause]
[22:22] [Music]
[23:40] [Applause]
[23:42] [Music]
[23:44] [Applause]
[23:45] [Music]
[24:16] now
[24:20] [Music]
[24:31] i
[24:33] [Music]
[24:58] foreign
[25:01] [Music]
[25:12] them
[25:13] [Music]
[25:26] oh
[25:28] [Music]
[25:40] oh
[25:54] um
[26:15] [Music]
[26:20] [Applause]
[26:20] [Music]
[26:50] hey
[27:04] [Music]
[27:17] there must be a
[27:19] [Music]
[27:33] have a plan for
[27:36] our lives
[27:50] [Music]
[27:54] like i am in a small man here with you
[28:01] [Music]
[28:09] and i pray every day
[28:19] [Music]
[28:28] i
[28:32] [Music]
[28:43] but the strength you have
[28:47] just ain't strong enough
[28:58] [Music]
[29:11] before like i am
[29:14] in this woman here with you
[29:19] and now for better or worse
[29:22] so much
[29:31] [Music]
[29:38] i
[29:39] [Music]
[29:50] take this ring
[29:56] [Music]
[30:16] i have never been so sure
[30:20] of anything
[30:28] [Music]
[30:34] so much more that only works
[30:37] and i pray every day when i see
[30:50] [Music]
[30:54] when i see
[31:08] [Music]
[31:29] [Music]
[31:56] [Applause]
[31:58] me
[32:01] [Music]
[32:12] me
[32:14] [Music]
[32:40] so
[32:42] [Music]
[33:08] hey
[33:11] [Music]
[33:13] [Applause]
[33:18] [Music]
[33:22] foreign
[33:27] [Music]
[33:46] [Applause]
[33:50] hey
[33:52] [Music]
[33:58] [Laughter]
[34:00] [Music]
[35:00] me
[35:10] [Music]
[35:28] oh
[35:35] [Music]
[35:42] here
[35:46] [Music]
[35:50] i found the love
[36:00] [Music]
[36:08] beautiful and sweet
[36:18] we were just kids
[36:26] [Music]
[36:33] [Music]
[36:38] your
[36:39] [Music]
[37:03] while listening to our favorite songs
[37:08] [Applause]
[37:09] [Music]
[37:20] tonight
[37:27] well i've found a woman
[37:31] stronger than anyone now know
[37:35] [Music]
[37:47] to carry more than just
[37:54] [Music]
[38:02] against
[38:07] [Music]
[38:13] [Music]
[38:27] baby i'm
[38:31] dancing in the dark
[38:34] with you between my arms
[38:38] a baby foot on the cross
[38:42] while listening to our favorite
[38:45] [Music]
[38:59] tonight
[39:01] [Music]
[39:13] baby i'm
[39:16] dancing in the dark
[39:20] with you between my young
[39:23] [Music]
[39:26] baby
[39:28] listening to a favorite song
[39:31] i have faith in what i see
[39:34] now i know i
[39:37] [Music]
[39:41] and am looks perfect
[39:44] i don't deserve
[39:48] this you'll look perfect
[39:52] [Music]
[39:54] tonight
[39:56] [Laughter]
[39:59] [Music]
[40:09] all right
[40:28] [Music]
[40:50] hey
[40:52] [Music]
[41:08] [Applause]
[41:10] [Music]
[41:18] so
[41:22] [Music]
[41:46] matrimony
[42:03] let us pray
[42:06] gracious and heavenly father as we come
[42:08] before you lord this afternoon
[42:10] with our hearts full of joy at these
[42:15] two people have found
[42:18] each other but we pray father that
[42:22] they have found you first for you are
[42:25] the author and the finisher of our faith
[42:28] and everything that we do in word and
[42:31] indeed
[42:32] and we always do it in the name of jesus
[42:35] and father
[42:36] as we draw an eye to you we ask father
[42:39] that you will come to this ceremony
[42:41] and maybe you seal it with what you have
[42:44] come to
[42:45] give us today and that is your love and
[42:48] father
[42:48] when this is all over we'll be sure to
[42:51] give you all the honor
[42:52] and all the glory in the name of the
[42:54] lord jesus christ we pray
[42:56] amen you may be seated
[43:06] for a few moments i i want to express to
[43:10] you a few things
[43:11] this afternoon as
[43:15] we have for the last few weeks we've
[43:20] been to two weddings three funerals so
[43:22] this is a completely
[43:25] different occasion
[43:28] and i asked joe as i saw him
[43:31] two two weeks ago him and rebecca got
[43:33] married
[43:34] and i asked him uh if he still liked her
[43:38] and uh he says no i
[43:41] love her and that's really really good i
[43:45] appreciate appreciate that and we're
[43:49] appreciative to to this fine couple that
[43:51] has come here
[43:52] this uh afternoon i've never seen a
[43:55] wedding party more colorful than you all
[43:58] today
[43:59] but that that that that is always good
[44:01] to bring color
[44:03] into the situation the bible speaks to
[44:06] us
[44:07] for a few moments charity suffereth long
[44:11] and is kind charity envieth not
[44:16] charity wanteth not itself
[44:19] is not puffed up does not behave itself
[44:23] unseemly seeketh not her own
[44:27] is not easily provoked thinketh no evil
[44:32] rejoices not in iniquity but rejoices
[44:36] in the truth charity
[44:39] the bible says never
[44:42] faileth but whether there be
[44:46] prophecies they shall fail whether there
[44:48] shall be tongues
[44:49] they shall cease whether there be
[44:51] knowledge it shall
[44:53] vanish away and again
[44:56] charity never fails
[45:00] charity is the term that is used in
[45:03] scripture
[45:04] but as we understand that charity is
[45:07] love in the book of matthew the 19th
[45:10] chapter and the eighth verse and the
[45:12] last part of that verse it says
[45:14] but from the beginning it was not
[45:18] so the prophet of god tells us
[45:21] marriage is the oldest institution in
[45:23] the world
[45:25] marriage was first performed and
[45:27] instituted
[45:28] in the garden of eden in understanding
[45:32] what has been given to us around the
[45:35] world
[45:36] there are many things that have have
[45:38] have eluded us
[45:40] and have come into into into direct
[45:43] conflict with what we believe as as a
[45:46] people
[45:47] it was not an accident that god started
[45:50] creation with a marriage
[45:53] and in in ourselves around the world
[45:55] when we see
[45:56] the the the battle fronts and and we see
[45:59] the assault completely on the marriage
[46:01] and
[46:02] in the institution that we know that it
[46:04] is between a man
[46:06] and a woman that is what god instituted
[46:09] in the beginning
[46:10] adam and eve it was not again
[46:13] it was it was it is not an accident that
[46:16] god started creation with the marriage
[46:19] when you look into the scripture the
[46:21] bible speaks to us but from the
[46:23] beginning of the creation
[46:25] god made them male and female and then
[46:28] he says for this cause shall a man leave
[46:30] his father and mother
[46:31] and cleave to his wife and they twain
[46:34] shall be one flesh
[46:36] so then they are no more twain but one
[46:39] flesh
[46:40] what therefore god hath joined together
[46:43] let not man put asunder
[46:46] when each time i think as
[46:49] we hear the man say the level of
[46:52] violence and evil that has been
[46:54] unleashed these days all i can think
[46:57] about is the teachings of the ancient
[46:58] prophet
[46:59] jeremiah as he sought to speak to the
[47:02] children of judah
[47:03] in vain to depart from their evil ways
[47:06] and their waywardness
[47:08] that earned him the name the weeping
[47:10] prophet
[47:11] one of the institutions that has
[47:13] received the greatest bastion of all
[47:16] is the institution of marriage i say
[47:18] this afternoon that the church should
[47:20] not be
[47:21] silent upon that that issue when you
[47:24] come into the
[47:25] the basis of the knowledge of the truth
[47:27] anything happens today and anything is
[47:30] normal living together becomes normal
[47:33] doing different things of the world has
[47:35] become normal
[47:36] but in the beginning it was not so and
[47:39] when we understand
[47:41] the ruling of god in our lives we come
[47:44] here today because
[47:46] i don't come here today just to see such
[47:48] beautiful people
[47:49] even though we we see a great audience
[47:52] of
[47:53] very nice people we come today for god
[47:56] himself to come
[47:57] and put his seal of approval on this
[47:59] marriage that's the only way that this
[48:01] this marriage will ever
[48:02] last even amongst evangelicals today
[48:07] 50 of the people getting a
[48:10] a divorce out in the world in the
[48:13] secular world
